Age,2012,2013,2014,2015,2016,Population,Percentfullyinsured,Population.1,Percentfullyinsured.1,Population.2,Percentfullyinsured.2,Population.3,Percentfullyinsured.3,Population.4,Percentfullyinsured.4
Total,,,,,,,,,,,,,,,
Total,320520.0,a87,322871.0,a87,325478.0,a87,328380.0,a87,331372.0,a87,,,,,
<15,63570.0,b,63506.0,b,63527.0,b,63566.0,b,63771.0,b,,,,,
15-19,21432.0,9,21393.0,10,21473.0,10,21701.0,11,21869.0,12,,,,,
20-24,22747.0,69,22868.0,68,22826.0,67,22645.0,65,22500.0,64,,,,,
25-29,21701.0,89,21960.0,89,22348.0,88,22816.0,87,23263.0,87,,,,,
30-34,21632.0,89,21884.0,89,22025.0,89,22115.0,89,22258.0,89,,,,,
35-39,20013.0,89,20298.0,89,20654.0,89,21202.0,89,21658.0,89,,,,,
40-44,21385.0,91,21119.0,91,20825.0,90,20366.0,90,20133.0,90,,,,,
45-49,21882.0,92,21459.0,92,21197.0,92,21349.0,91,21455.0,91,,,,,
50-54,22864.0,92,22920.0,92,22886.0,92,22561.0,92,22151.0,92,,,,,
55-59,21053.0,91,21437.0,92,21754.0,92,22112.0,92,22302.0,92,,,,,
60-64,17999.0,90,18372.0,90,18869.0,90,19371.0,91,19868.0,91,,,,,
65-69,14359.0,88,14984.0,89,15689.0,89,16475.0,89,16878.0,90,,,,,
70-74,10505.0,85,10991.0,86,11427.0,86,11722.0,87,12430.0,88,,,,,
75+,19380.0,79,19679.0,80,19978.0,80,20378.0,80,20835.0,81,,,,,
Male,,,,,,,,,,,,,,,
Subtotal,159172.0,90,160358.0,90,161709.0,89,163211.0,89,164757.0,89,,,,,
<15,32483.0,b,32448.0,b,32466.0,b,32492.0,b,32605.0,b,,,,,
15-19,10960.0,9,10932.0,9,10976.0,10,11099.0,11,11191.0,12,,,,,
20-24,11634.0,68,11708.0,67,11695.0,66,11605.0,64,11532.0,64,,,,,
25-29,11039.0,89,11152.0,89,11354.0,88,11602.0,87,11844.0,87,,,,,
30-34,11052.0,89,11165.0,89,11214.0,89,11239.0,89,11295.0,89,,,,,
35-39,10194.0,90,10348.0,89,10534.0,89,10818.0,88,11046.0,88,,,,,
40-44,10836.0,92,10700.0,92,10555.0,91,10325.0,91,10212.0,90,,,,,
45-49,11021.0,94,10818.0,94,10696.0,93,10779.0,93,10836.0,92,,,,,
50-54,11392.0,94,11437.0,94,11432.0,94,11286.0,94,11094.0,94,,,,,
55-59,10345.0,94,10542.0,94,10710.0,94,10901.0,94,11010.0,94,,,,,
60-64,8704.0,93,8882.0,93,9128.0,94,9381.0,94,9633.0,94,,,,,
65-69,6845.0,94,7147.0,94,7486.0,94,7860.0,94,8046.0,94,,,,,
70-74,4888.0,93,5119.0,93,5324.0,93,5464.0,94,5805.0,94,,,,,
75+,7778.0,92,7960.0,92,8139.0,92,8361.0,92,8608.0,92,,,,,
Female,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Subtotal,161348.0,85,162513.0,85,163769.0,85,165169.0,85,166615.0,85,,,,,
<15,31087.0,b,31058.0,b,31062.0,b,31073.0,b,31166.0,b,,,,,
15-19,10472.0,10,10461.0,10,10497.0,11,10602.0,12,10678.0,12,,,,,
20-24,11112.0,70,11160.0,69,11131.0,67,11040.0,66,10968.0,65,,,,,
25-29,10662.0,90,10808.0,89,10993.0,89,11214.0,88,11420.0,87,,,,,
30-34,10579.0,90,10719.0,89,10811.0,89,10876.0,89,10963.0,89,,,,,
35-39,9819.0,89,9950.0,89,10120.0,89,10385.0,89,10613.0,89,,,,,
40-44,10549.0,90,10419.0,89,10270.0,89,10041.0,89,9921.0,89,,,,,
45-49,10862.0,90,10641.0,90,10501.0,90,10570.0,90,10619.0,89,,,,,
50-54,11472.0,90,11483.0,91,11454.0,91,11275.0,90,11058.0,90,,,,,
55-59,10708.0,89,10895.0,89,11043.0,89,11212.0,90,11293.0,90,,,,,
60-64,9294.0,86,9490.0,87,9741.0,87,9990.0,88,10235.0,88,,,,,
65-69,7514.0,83,7837.0,84,8203.0,85,8615.0,85,8832.0,86,,,,,
70-74,5617.0,78,5873.0,80,6102.0,80,6259.0,81,6625.0,82,,,,,
75+,11601.0,71,11719.0,71,11840.0,72,12017.0,73,12227.0,73,,,,,
"Note:  Population in the Social Security area includes residents of the  50 states and the District of Columbia adjusted  for net census undercount; civilian residents of Puerto Rico, the Virgin  Islands, Guam, American Samoa and Northern Mariana Islands; federal civilian  employees and persons in the Armed Forces abroad and their dependents;  crew members of merchant vessels, and all other U.S. citizens abroad.  Population estimates are subject to revision.  a Percent of population  fully insured aged 20 or older.  b Less than 0.5 percent.  Source: Social Security Administration, Estimates from the 2016 Trustees Report.",,,,,,,,,,,,,,,
