Calendaryear,Totalreceipts,Netpayroll taxcontributions,Income fromtaxationof benefits,General Fund Reimbursements a,Netinterest b
1937,$767,$765,…,…,$2
1938,375,360,…,…,15
1939,607,580,…,…,27
1940,368,325,…,…,43
1941,845,789,…,…,56
1942,1085,1012,…,…,72
1943,1328,1239,…,…,88
1944,1422,1316,…,…,107
1945,1420,1285,…,…,134
1946,1447,1295,…,…,152
1947,1722,1557,…,$1,164
1948,1969,1685,…,3,281
1949,1816,1666,…,4,146
1950,2928,2667,…,4,257
1951,3784,3363,…,4,417
1952,4184,3819,…,…,365
1953,4359,3945,…,…,414
1954,5610,5163,…,…,447
1955,6167,5713,…,…,454
1956,6697,6172,…,…,526
1957,7381,6825,…,…,556
1958,8117,7566,…,…,552
1959,8584,8052,…,…,532
1960,11382,10866,…,…,516
1961,11833,11285,…,…,548
1962,12585,12059,…,…,526
1963,15063,14541,…,…,521
1964,16258,15689,…,…,569
1965,16610,16017,…,…,593
1966,21302,20580,…,78,644
1967,24034,23138,…,78,818
1968,25040,23719,…,382,939
1969,29554,27947,…,442,1165
1970,32220,30256,…,449,1515
1971,35877,33723,…,488,1667
1972,40050,37781,…,475,1794
1973,48344,45975,…,442,1928
1974,54688,52081,…,447,2159
1975,59605,56816,…,425,2364
1976,66276,63362,…,614,2301
1977,72412,69572,…,613,2227
1978,78094,75471,…,615,2008
1979,90274,87919,…,557,1797
1980,105841,103456,…,540,1845
1981,125361,122627,…,675,2060
1982,125198,123673,…,680,845
1983,150584,138337,…,5541,6706
1984,169328,159515,2835,4712,2266
1985,184239,175128,3208,4032,1871
1986,197393,189136,3424,1764,3069
1987,210736,201092,3257,1697,4690
1988,240770,227683,3384,2134,7568
1989,264653,248128,2439,2101,11985
1990,286653,266110,4848,-668,16363
1991,299286,272477,5864,115,20829
1992,311162,281132,5852,-126,24303
1993,323277,290865,5335,50,27027
1994,328271,293316,4995,13,29946
1995,342801,304659,5490,-168,32820
1996,363741,321555,6471,9,35706
1997,397169,349945,7426,3,39795
1998,424848,371206,9149,2,44491
1999,457040,396352,10899,1,49789
2000,490513,421390,11594,1,57529
2001,518100,441458,11903,1,64737
2002,539706,455198,12909,415,71184
2003,543811,456077,12497,(c),75237
2004,566338,472758,14593,1,78986
2005,604335,506862,13843,-350,83979
2006,642231,534786,15628,(c),91817
2007,675035,560877,17192,(c),96966
2008,695462,574555,15566,(c),105340
2009,698208,570392,19930,(c),107886
2010,677111,544773,22090,2042,108206
2011,698781,482350,22211,87753,106468
2012,731075,503893,26675,97735,102773
2013,743793,620814,20694,4169,98114
2014,769417,646232,27957,395,94833
2015,801561,679503,30554,278,91227
2016,797457,678787,31623,87,86960
"aIncludes reimbursements from the General Fund of the Treasury to the OASI Trust Fund for: (1) the cost of noncontributory wage credits for military service before 1957; (2) the cost in 1971-82 of deemed wage credits for military service performed after 1956; (3) the cost of benefits to certain uninsured persons who attained age 72 before 1968; (4) the cost of payroll tax credits provided to employees in 1984 and self-employed persons in 1984-89 by Public Law 98-21; (5) the cost in 2009-13 of excluding certain self-employment earnings from SECA taxes under Public Law 110-246; and (6) payroll tax revenue forgone under the provisions of Public Laws 111-147, 111-312, 112-78, and 112-96.  b Includes relatively small amounts of gifts to the fund.  c Less than $500,000.",,,,,
