Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133,Unnamed: 134,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138,Unnamed: 139,Unnamed: 140,Unnamed: 141,Unnamed: 142,Unnamed: 143,Unnamed: 144,Unnamed: 145,Unnamed: 146,Unnamed: 147,Unnamed: 148,Unnamed: 149,Unnamed: 150,Unnamed: 151,Unnamed: 152,Unnamed: 153,Unnamed: 154,Unnamed: 155,Unnamed: 156,Unnamed: 157,Unnamed: 158,Unnamed: 159,Unnamed: 160,Unnamed: 161,Unnamed: 162,Unnamed: 163,Unnamed: 164,Unnamed: 165,Unnamed: 166,Unnamed: 167,Unnamed: 168,Unnamed: 169,Unnamed: 170,Unnamed: 171,Unnamed: 172,Unnamed: 173,Unnamed: 174,Unnamed: 175,Unnamed: 176,Unnamed: 177,Unnamed: 178,Unnamed: 179,Unnamed: 180,Unnamed: 181,Unnamed: 182,Unnamed: 183,Unnamed: 184,Unnamed: 185,Unnamed: 186,Unnamed: 187,Unnamed: 188,Unnamed: 189,Unnamed: 190,Unnamed: 191,Unnamed: 192,Unnamed: 193,Unnamed: 194,Unnamed: 195,Unnamed: 196,Unnamed: 197,Unnamed: 198,Unnamed: 199,Unnamed: 200,Unnamed: 201,Unnamed: 202,Unnamed: 203,Unnamed: 204,Unnamed: 205,Unnamed: 206,Unnamed: 207,Unnamed: 208,Unnamed: 209,Unnamed: 210,Unnamed: 211,Unnamed: 212,Unnamed: 213,Unnamed: 214,Unnamed: 215,Unnamed: 216,Unnamed: 217,Unnamed: 218,Unnamed: 219,Unnamed: 220,Unnamed: 221,Unnamed: 222,Unnamed: 223,Unnamed: 224,Unnamed: 225,Unnamed: 226,Unnamed: 227,Unnamed: 228,Unnamed: 229,Unnamed: 230,Unnamed: 231,Unnamed: 232,Unnamed: 233,Unnamed: 234,Unnamed: 235,Unnamed: 236,Unnamed: 237,Unnamed: 238,Unnamed: 239,Unnamed: 240,Unnamed: 241,Unnamed: 242,Unnamed: 243,Unnamed: 244,Unnamed: 245,Unnamed: 246,Unnamed: 247,Unnamed: 248,Unnamed: 249,Unnamed: 250,Unnamed: 251,Unnamed: 252,Unnamed: 253,Unnamed: 254,Unnamed: 255,Unnamed: 256,Unnamed: 257,Unnamed: 258,Unnamed: 259,Unnamed: 260,Unnamed: 261,Unnamed: 262,Unnamed: 263,Unnamed: 264,Unnamed: 265,Unnamed: 266,Unnamed: 267,Unnamed: 268,shift
"Contributions to the Social Security and Medicare Trust Funds,  by program and source, 2007-2016 (in millions of dollars)  Program and source  2007 2008 2009 2010 2011 2012 2013 2014 2015 2016  Social Security Trust Funds  Old-Age and Survivors Insurance  a $578,069 $590,122 $590,322 $569,018 $592,314 $628,302 $645,678 $674,584 $710,334 $710,497 Employer 265,753 272,060 269,586 257,245 271,395 285,328 294,995 305,279 322,395 322,652 Employee 263,856 269,956 267,440 257,893 184,227 191,028 292,241 302,850 319,939 319,940 Self-employed 31,269 32,540 33,366 29,635 26,728 27,538 33,578 38,104 37,169 36,195 General Fund Reimbursement b b b 2,155 87,753 97,735 4,169 395 278 87 Taxation of benefits 17,192 15,566 19,930 22,090 22,211 26,675 20,694 27,957 30,554 31,623  Disability Insurance  a 96,636 98,879 98,820 94,728 98,389 102,744 106,523 111,488 116,508 158,600 Employer 45,127 46,199 45,783 43,684 46,086 48,451 50,095 51,840 54,747 75,347 Employee 44,804 45,841 45,418 43,794 31,259 32,487 49,603 51,427 54,330 74,887 Self-employed 5,312 5,526 5,664 5,034 4,537 4,677 5,704 6,470 6,312 7,157 General Fund Reimbursement b b b 366 14,927 16,546 729 71 47 15 Taxation of benefits 1,393 1,313 1,955 1,852 1,581 583 391 1,680 1,071 1,194 Medicare Trust Funds Hospital Insurance a 205,289 213,364 206,173 199,102 214,003 227,814 238,544 248,762 264,489 279,821 Employer 89,093 91,981 88,242 84,397 91,381 95,618 102,318 104,720 112,027 118,309 Employee 89,093 91,981 88,242 84,397 91,381 95,618 102,318 104,720 112,027 118,309 Self-employed 13,669 14,732 14,405 13,238 12,830 14,494 16,182 18,006 17,020 16,899 Voluntarily enrolledc 2,841 2,938 2,908 3,310 3,267 3,441 3,417 3,251 3,206 3,282 Taxation of benefits 10,593 11,733 12,376 13,760 15,143 18,643 14,310 18,066 20,208 23,022 Supplementary Medical  Insurancea, d 46,773 50,232 56,040 51,986 57,514 58,024 63,085 65,644 69,446 72,055 Aged 39,676 42,335 47,433 43,168 47,646 48,495 52,814 55,164 58,593 60,618 Disabled 7,096 7,897 8,606 8,818 9,868 9,529 10,270 10,479 10,852 11,438  a Totals do not necessarily equal the sum of rounded components.  Employment taxes depend on tax rates,  and, for the Old-Age and Survivors Insurance and Disability Insurance Trust Funds, wage bases (taxable maximums). (Beginning in 1994,  no wage base applies to Medicare's Hospital Insurance program.) Employer and employee contributions differ by estimated amounts of employee tax  overpayments and by employee tax on tips.  b Between -$500,000 and $500,000. c Beginning in July 1973, aged ineligibles may voluntarily enroll  for Hospital Insurance.  d Includes premiums paid on behalf of eligibles by State governments under ""buy-in"" arrangements.",Program and source,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016.0,,Social Security Trust Funds,,Old-Age and Survivors Insurance  a,"$578,069","$590,122","$590,322","$569,018","$592,314","$628,302","$645,678","$674,584","$710,334","$710,497",,Employer,265753.0,272060.0,269586.0,257245.0,271395.0,285328.0,294995.0,305279.0,322395.0,322652.0,,Employee,263856.0,269956.0,267440.0,257893.0,184227.0,191028.0,292241.0,302850.0,319939.0,319940.0,,Self-employed,31269.0,32540.0,33366.0,29635.0,26728.0,27538.0,33578.0,38104.0,37169.0,36195.0,,General Fund Reimbursement,b,b,b,2155.0,87753.0,97735.0,4169.0,395.0,278.0,87.0,,Taxation of benefits,17192.0,15566.0,19930.0,22090.0,22211.0,26675.0,20694.0,27957.0,30554.0,31623.0,,Disability Insurance  a,96636.0,98879.0,98820.0,94728.0,98389.0,102744.0,106523.0,111488.0,116508.0,158600.0,,Employer,45127.0,46199.0,45783.0,43684.0,46086.0,48451.0,50095.0,51840.0,54747.0,75347.0,,Employee,44804.0,45841.0,45418.0,43794.0,31259.0,32487.0,49603.0,51427.0,54330.0,74887.0,,Self-employed,5312.0,5526.0,5664.0,5034.0,4537.0,4677.0,5704.0,6470.0,6312.0,7157.0,,General Fund Reimbursement,b,b,b,366.0,14927.0,16546.0,729.0,71.0,47.0,15.0,,Taxation of benefits,1393.0,1313.0,1955.0,1852.0,1581.0,583.0,391.0,1680.0,1071.0,1194.0,,Medicare Trust Funds,,Hospital Insurance a,205289.0,213364.0,206173.0,199102.0,214003.0,227814.0,238544.0,248762.0,264489.0,279821.0,,Employer,89093.0,91981.0,88242.0,84397.0,91381.0,95618.0,102318.0,104720.0,112027.0,118309.0,,Employee,89093.0,91981.0,88242.0,84397.0,91381.0,95618.0,102318.0,104720.0,112027.0,118309.0,,Self-employed,13669.0,14732.0,14405.0,13238.0,12830.0,14494.0,16182.0,18006.0,17020.0,16899.0,,Voluntarily enrolledc,2841.0,2938.0,2908.0,3310.0,3267.0,3441.0,3417.0,3251.0,3206.0,3282.0,,Taxation of benefits,10593.0,11733.0,12376.0,13760.0,15143.0,18643.0,14310.0,18066.0,20208.0,23022.0,,"Supplementary Medical  Insurancea, d",46773.0,50232.0,56040.0,51986.0,57514.0,58024.0,63085.0,65644.0,69446.0,72055.0,,Aged,39676.0,42335.0,47433.0,43168.0,47646.0,48495.0,52814.0,55164.0,58593.0,60618.0,,Disabled,7096.0,7897.0,8606.0,8818.0,9868.0,9529.0,10270.0,10479.0,10852.0,11438.0,"a Totals do not necessarily equal the sum of rounded components.  Employment taxes depend on tax rates,  and, for the Old-Age and Survivors Insurance and Disability Insurance Trust Funds, wage bases (taxable maximums). (Beginning in 1994,  no wage base applies to Medicare's Hospital Insurance program.) Employer and employee contributions differ by estimated amounts of employee tax  overpayments and by employee tax on tips.  b Between -$500,000 and $500,000. c Beginning in July 1973, aged ineligibles may voluntarily enroll  for Hospital Insurance.  d Includes premiums paid on behalf of eligibles by State governments under ""buy-in"" arrangements.",0
Program and source,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Social Security Trust Funds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Old-Age and Survivors Insurance  a,"$578,069","$590,122","$590,322","$569,018","$592,314","$628,302","$645,678","$674,584","$710,334","$710,497",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Employer,265753,272060,269586,257245,271395,285328,294995,305279,322395,322652.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1
Employee,263856,269956,267440,257893,184227,191028,292241,302850,319939,319940.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1
Self-employed,31269,32540,33366,29635,26728,27538,33578,38104,37169,36195.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1
General Fund Reimbursement,b,b,b,2155,87753,97735,4169,395,278,87.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1
