"Awards
    b",In current payment status,"Terminations
    c",Time period,"Numberof 
     appli-cations a",Number,Increaseover priorperiod,"Percentof 
    appli-cations",Numberat endof period,Increaseover priorperiod.1,Number.1,Increaseover priorperiod.2,Termi-nationrate
—by calendar year—,,,,,,,,,,,,
2002 .....,1682454.0,750464.0,8.56%,44.61%,5543981.0,5.12%,479606.0,5.12%,8.34%,,,
2003 .....,1895521.0,777905.0,3.66%,41.04%,5873673.0,5.95%,450720.0,-6.02%,7.46%,,,
2004 .....,2137531.0,797226.0,2.48%,37.30%,6201362.0,5.58%,466332.0,3.46%,7.32%,,,
2005 .....,2122109.0,832201.0,4.39%,39.22%,6524582.0,5.21%,494592.0,6.06%,7.36%,,,
2006 .....,2134088.0,812596.0,-2.36%,38.08%,6811679.0,4.40%,513292.0,3.78%,7.28%,,,
2007 .....,2190196.0,823106.0,1.29%,37.58%,7101355.0,4.25%,525012.0,2.28%,7.14%,,,
2008 .....,2320396.0,895011.0,8.74%,38.57%,7427203.0,4.59%,564518.0,7.52%,7.34%,,,
2009 .....,2816244.0,985940.0,10.16%,35.01%,7789113.0,4.87%,628478.0,11.33%,7.79%,,,
2010 .....,2935798.0,1052551.0,6.76%,35.85%,8204710.0,5.34%,646387.0,2.85%,7.64%,,,
2011 .....,2878920.0,1025003.0,-2.62%,35.60%,8576067.0,4.53%,656902.0,1.63%,7.42%,,,
2012 .....,2824024.0,979973.0,-4.39%,34.70%,8827795.0,2.94%,726432.0,10.58%,7.90%,,,
2013 .....,2653939.0,884894.0,-9.70%,33.34%,8942584.0,1.30%,767738.0,5.69%,8.17%,,,
2014 .....,2536174.0,810973.0,-8.35%,31.98%,8954518.0,0.13%,793646.0,3.37%,8.37%,,,
2015 .....,2427443.0,775739.0,-4.34%,31.96%,8909430.0,-0.50%,817045.0,2.95%,8.62%,,,
2016 .....,2321583.0,744268.0,-4.06%,32.06%,8808736.0,-1.13%,830044.0,1.59%,8.81%,,,
,,,,,,,,,,,,
—by quarter—,,,,,,,,,,,,
2013 Q1,683996.0,228922.0,-5.95%,33.47%,8853614.0,0.29%,201245.0,0.50%,2.22%,,,
2013 Q2,695191.0,228909.0,-0.01%,32.93%,8892515.0,0.44%,189796.0,-5.69%,2.09%,,,
2013 Q3,677674.0,225905.0,-1.31%,33.34%,8925372.0,0.37%,192523.0,1.44%,2.11%,,,
2013 Q4,597078.0,201158.0,-10.95%,33.69%,8942584.0,0.19%,184174.0,-4.34%,2.01%,,,
2014 Q1,640990.0,196765.0,-2.18%,30.70%,8932828.0,-0.11%,203364.0,10.42%,2.22%,,,
2014 Q2,666531.0,215638.0,9.59%,32.35%,8954010.0,0.24%,192440.0,-5.37%,2.10%,,,
2014 Q3,646030.0,209492.0,-2.85%,32.43%,8958415.0,0.05%,204413.0,6.22%,2.22%,,,
2014 Q4,582623.0,189078.0,-9.74%,32.45%,8954518.0,-0.04%,193429.0,-5.37%,2.10%,,,
2015 Q1,608319.0,187921.0,-0.61%,30.89%,8935549.0,-0.21%,206356.0,6.68%,2.25%,,,
2015 Q2,638754.0,206392.0,9.83%,32.31%,8937961.0,0.03%,202486.0,-1.88%,2.21%,,,
2015 Q3,614438.0,194443.0,-5.79%,31.65%,8921350.0,-0.19%,209710.0,3.57%,2.29%,,,
2015 Q4,565932.0,186983.0,-3.84%,33.04%,8909430.0,-0.13%,198493.0,-5.35%,2.17%,,,
