Year,Total,"Old-Age and Survivors
Insurance",Disability Insurance,Total.1,Retired workers and dependents,Survivors,Disabled workers and dependents
1970,25700924.0,23035295.0,16566674.0,6468621.0,2665629.0,,
1971,26817466.0,23887566.0,17188035.0,6699531.0,2929900.0,,
1972,28075659.0,24804173.0,17870175.0,6933998.0,3271486.0,,
1973,29513677.0,25952971.0,18793039.0,7159932.0,3560706.0,,
1974,30575739.0,26663788.0,19409560.0,7254228.0,3911951.0,,
1975,31861668.0,27509170.0,20140731.0,7368439.0,4352498.0,,
1976,32835497.0,28211670.0,20715021.0,7496649.0,4623827.0,,
1977,33923098.0,29068892.0,21476517.0,7592375.0,4854206.0,,
1978,34453027.0,29584451.0,22006468.0,7577983.0,4868576.0,,
1979,35012958.0,30235740.0,22617898.0,7617842.0,4777218.0,,
1980,35526086.0,30843914.0,23243078.0,7600836.0,4682172.0,,
1981,35930048.0,31473774.0,23859047.0,7614727.0,4456274.0,,
1982,35777795.0,31804330.0,24362481.0,7441849.0,3973465.0,,
1983,36033976.0,32221046.0,24971472.0,7249574.0,3812930.0,,
1984,36438574.0,32616770.0,25435753.0,7181017.0,3821804.0,,
1985,37026698.0,33119529.0,25958585.0,7160944.0,3907169.0,,
1986,37683434.0,33690155.0,26524806.0,7165349.0,3993279.0,,
1987,38171185.0,34126461.0,26970080.0,7156381.0,4044724.0,,
1988,38612903.0,34538603.0,27375814.0,7162789.0,4074300.0,,
1989,39141080.0,35012253.0,27842330.0,7169923.0,4128827.0,,
1990,39824692.0,35558711.0,28361385.0,7197326.0,4265981.0,,
1991,40586874.0,36073834.0,28818483.0,7255351.0,4513040.0,,
1992,41503506.0,36613810.0,29301178.0,7312632.0,4889696.0,,
1993,42243262.0,36989696.0,29635117.0,7354579.0,5253566.0,,
1994,42881850.0,37298331.0,29914265.0,7384066.0,5583519.0,,
1995,43386232.0,37528576.0,30140418.0,7388158.0,5857656.0,,
1996,43736183.0,37664149.0,30310865.0,7353284.0,6072034.0,,
1997,43970692.0,37817653.0,30637863.0,7179790.0,6153039.0,,
1998,44245506.0,37910936.0,30813491.0,7097445.0,6334570.0,,
1999,44595481.0,38071751.0,31027701.0,7044050.0,6523730.0,,
2000,45414705.0,38741343.0,31756099.0,6985244.0,6673362.0,,
2001,45877465.0,38964222.0,32045800.0,6918422.0,6913243.0,,
2002,46444296.0,39223028.0,32347974.0,6875054.0,7221268.0,,
2003,47038475.0,39443023.0,32633335.0,6809688.0,7595452.0,,
2004,47687713.0,39738441.0,33004844.0,6733597.0,7949272.0,,
2005,48434436.0,40120122.0,33467225.0,6652897.0,8314314.0,,
2006,49122826.0,40503441.0,33937576.0,6565865.0,8619385.0,,
2007,49864978.0,40944607.0,34450034.0,6494573.0,8920371.0,,
2008,50898396.0,41624557.0,35168515.0,6456042.0,9273839.0,,
2009,52522819.0,42826421.0,36416781.0,6409640.0,9696398.0,,
2010,54032097.0,43846211.0,37487862.0,6358349.0,10185886.0,,
2011,55404480.0,44790082.0,38484666.0,6305416.0,10614398.0,,
2012,56758185.0,45867289.0,39611707.0,6255582.0,10890896.0,,
2013,57978610.0,46990341.0,40801365.0,6188976.0,10988269.0,,
2014,59007158.0,48076066.0,41947747.0,6128319.0,10931092.0,,
2015,59963425.0,49156959.0,43073398.0,6083561.0,10806466.0,,
2016,60907307.0,50297237.0,44266144.0,6031093.0,10610070.0,,
Numbers above exclude transitionally  uninsured beneficiaries. Benefits to such beneficiares are initially paid  from the Old-Age and Survivors Insurance Trust Fund and are subsequently  reimbursed from the general fund of the Treasury.,,,,,,,
