Calendaryear,Totalreceipts,Netpayroll taxcontributions,Income fromtaxationof benefits,General fund reimbursements a,Net interest b
1957,$709,$702,…,…,$7
1958,991,966,…,…,25
1959,931,891,…,…,40
1960,1063,1010,…,…,53
1961,1104,1038,…,…,66
1962,1114,1046,…,…,68
1963,1165,1099,…,…,66
1964,1218,1154,…,…,64
1965,1247,1188,…,…,59
1966,2079,2006,…,$16,58
1967,2379,2286,…,16,78
1968,3454,3316,…,32,106
1969,3792,3599,…,16,177
1970,4774,4481,…,16,277
1971,5031,4620,…,50,361
1972,5572,5107,…,51,414
1973,6443,5932,…,52,458
1974,7378,6826,…,52,500
1975,8035,7444,…,90,502
1976,8757,8233,…,103,422
1977,9570,9138,…,128,304
1978,13810,13413,…,142,256
1979,15590,15114,…,118,358
1980,13871,13255,…,130,485
1981,17078,16738,…,168,172
1982,22715,21995,…,174,546
1983,20682,17991,…,1121,1569
1984,17309,15503,$190,441,1174
1985,19301,17014,222,1195,870
1986,19439,18247,238,152,803
1987,20303,19538,-36,153,648
1988,22699,21837,61,202,600
1989,24795,23797,95,196,707
1990,28791,28403,144,-639,883
1991,30390,29128,190,9,1063
1992,31430,30148,232,-12,1062
1993,32301,31182,281,4,835
1994,52841,51372,311,1,1157
1995,56696,54404,341,-207,2158
1996,60710,57325,373,(c),3012
1997,60499,56037,470,(c),3992
1998,64357,58966,558,(c),4832
1999,69541,63203,661,(c),5677
2000,77920,71093,721,-836,6942
2001,83903,74933,811,(c),8158
2002,87379,77272,930,(c),9178
2003,88074,77442,944,(c),9689
2004,91380,80281,1111,(c),9988
2005,97423,86077,1073,(c),10273
2006,102641,90808,1230,(c),10603
2007,109854,95243,1393,8,13210
2008,109840,97566,1313,(c),10961
2009,109283,96865,1955,(c),10463
2010,104017,92511,1852,363,9292
2011,106276,81881,1581,14927,7887
2012,109115,85615,583,16546,6371
2013,111228,105402,391,729,4706
2014,114858,109737,1680,71,3371
2015,118595,115389,1071,47,2088
2016,159996,157391,1194,15,1396
"aIncludes reimbursements from the General Fund of the Treasury to the DI Trust Fund for: (1) the cost of noncontributory wage credits for military service before 1957; (2) the cost in 1971-82 of deemed wage credits for military service performed after 1956; (3) the cost of benefits to certain uninsured persons who attained age 72 before 1968; (4) the cost of payroll tax credits provided to employees in 1984 and self-employed persons in 1984-89 by Public Law 98-21; (5) the cost in 2009-13 of excluding certain self-employment earnings from SECA taxes under Public Law 110-246; and (6) payroll tax revenue forgone under the provisions of Public Laws 111-147, 111-312, 112-78, and 112-96. b Includes relatively small amounts of gifts to the fund.  c Less than $500,000.",,,,,
