Year,Total,"Old-Age and Survivors
Insurance",Disability Insurance,Total.1,Retired workers and dependents,Survivors,Disabled workers and dependents,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133,Unnamed: 134,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138,Unnamed: 139,Unnamed: 140,Unnamed: 141,Unnamed: 142,Unnamed: 143,Unnamed: 144,Unnamed: 145,Unnamed: 146,Unnamed: 147,Unnamed: 148,Unnamed: 149,Unnamed: 150,Unnamed: 151,Unnamed: 152,Unnamed: 153,Unnamed: 154,Unnamed: 155,Unnamed: 156,Unnamed: 157,Unnamed: 158,Unnamed: 159,Unnamed: 160,Unnamed: 161,Unnamed: 162,Unnamed: 163,Unnamed: 164,Unnamed: 165,Unnamed: 166,Unnamed: 167,Unnamed: 168,Unnamed: 169,Unnamed: 170,Unnamed: 171,Unnamed: 172,Unnamed: 173,Unnamed: 174,Unnamed: 175,Unnamed: 176,Unnamed: 177,Unnamed: 178,Unnamed: 179,Unnamed: 180,Unnamed: 181,Unnamed: 182,Unnamed: 183,Unnamed: 184,Unnamed: 185,Unnamed: 186,Unnamed: 187,Unnamed: 188,Unnamed: 189,Unnamed: 190,Unnamed: 191,Unnamed: 192,Unnamed: 193,Unnamed: 194,Unnamed: 195,Unnamed: 196,Unnamed: 197,Unnamed: 198,Unnamed: 199,Unnamed: 200,Unnamed: 201,Unnamed: 202,Unnamed: 203,Unnamed: 204,Unnamed: 205,Unnamed: 206,Unnamed: 207,Unnamed: 208,Unnamed: 209,Unnamed: 210,Unnamed: 211,Unnamed: 212,Unnamed: 213,Unnamed: 214,Unnamed: 215,Unnamed: 216,Unnamed: 217,Unnamed: 218,Unnamed: 219,Unnamed: 220,Unnamed: 221,Unnamed: 222,Unnamed: 223,Unnamed: 224,Unnamed: 225,Unnamed: 226,Unnamed: 227,Unnamed: 228,Unnamed: 229,Unnamed: 230,Unnamed: 231,Unnamed: 232,Unnamed: 233,Unnamed: 234,Unnamed: 235,Unnamed: 236,Unnamed: 237,Unnamed: 238,Unnamed: 239,Unnamed: 240,Unnamed: 241,Unnamed: 242,Unnamed: 243,Unnamed: 244,Unnamed: 245,Unnamed: 246,Unnamed: 247,Unnamed: 248,Unnamed: 249,Unnamed: 250,Unnamed: 251,Unnamed: 252,Unnamed: 253,Unnamed: 254,Unnamed: 255,Unnamed: 256,Unnamed: 257,Unnamed: 258,Unnamed: 259,Unnamed: 260,Unnamed: 261,Unnamed: 262,Unnamed: 263,Unnamed: 264,Unnamed: 265,Unnamed: 266,Unnamed: 267,Unnamed: 268,Unnamed: 269,Unnamed: 270,Unnamed: 271,Unnamed: 272,Unnamed: 273,Unnamed: 274,Unnamed: 275,Unnamed: 276,Unnamed: 277,Unnamed: 278,Unnamed: 279,Unnamed: 280,Unnamed: 281,Unnamed: 282,Unnamed: 283,Unnamed: 284,Unnamed: 285,Unnamed: 286,Unnamed: 287,Unnamed: 288,Unnamed: 289,Unnamed: 290,Unnamed: 291
"Number of beneficiaries receiving benefits on  December 31, 1970-2016  Year  Total  Old-Age and Survivors Insurance  Disability Insurance  Total  Retired workers and dependents  Survivors  Disabled workers and dependents  1970  25,700,924  23,035,295  16,566,674  6,468,621  2,665,629  1971  26,817,466  23,887,566  17,188,035  6,699,531  2,929,900  1972  28,075,659  24,804,173  17,870,175  6,933,998  3,271,486  1973  29,513,677  25,952,971  18,793,039  7,159,932  3,560,706  1974  30,575,739  26,663,788  19,409,560  7,254,228  3,911,951  1975  31,861,668  27,509,170  20,140,731  7,368,439  4,352,498  1976  32,835,497  28,211,670  20,715,021  7,496,649  4,623,827  1977  33,923,098  29,068,892  21,476,517  7,592,375  4,854,206  1978  34,453,027  29,584,451  22,006,468  7,577,983  4,868,576  1979  35,012,958  30,235,740  22,617,898  7,617,842  4,777,218  1980  35,526,086  30,843,914  23,243,078  7,600,836  4,682,172  1981  35,930,048  31,473,774  23,859,047  7,614,727  4,456,274  1982  35,777,795  31,804,330  24,362,481  7,441,849  3,973,465  1983  36,033,976  32,221,046  24,971,472  7,249,574  3,812,930  1984  36,438,574  32,616,770  25,435,753  7,181,017  3,821,804  1985  37,026,698  33,119,529  25,958,585  7,160,944  3,907,169  1986  37,683,434  33,690,155  26,524,806  7,165,349  3,993,279  1987  38,171,185  34,126,461  26,970,080  7,156,381  4,044,724  1988  38,612,903  34,538,603  27,375,814  7,162,789  4,074,300  1989  39,141,080  35,012,253  27,842,330  7,169,923  4,128,827  1990  39,824,692  35,558,711  28,361,385  7,197,326  4,265,981  1991  40,586,874  36,073,834  28,818,483  7,255,351  4,513,040  1992  41,503,506  36,613,810  29,301,178  7,312,632  4,889,696  1993  42,243,262  36,989,696  29,635,117  7,354,579  5,253,566  1994  42,881,850  37,298,331  29,914,265  7,384,066  5,583,519  1995  43,386,232  37,528,576  30,140,418  7,388,158  5,857,656  1996  43,736,183  37,664,149  30,310,865  7,353,284  6,072,034  1997  43,970,692  37,817,653  30,637,863  7,179,790  6,153,039  1998  44,245,506  37,910,936  30,813,491  7,097,445  6,334,570  1999  44,595,481  38,071,751  31,027,701  7,044,050  6,523,730  2000  45,414,705  38,741,343  31,756,099  6,985,244  6,673,362  2001  45,877,465  38,964,222  32,045,800  6,918,422  6,913,243  2002  46,444,296  39,223,028  32,347,974  6,875,054  7,221,268  2003  47,038,475  39,443,023  32,633,335  6,809,688  7,595,452  2004  47,687,713  39,738,441  33,004,844  6,733,597  7,949,272  2005  48,434,436  40,120,122  33,467,225  6,652,897  8,314,314  2006  49,122,826  40,503,441  33,937,576  6,565,865  8,619,385  2007  49,864,978  40,944,607  34,450,034  6,494,573  8,920,371  2008  50,898,396  41,624,557  35,168,515  6,456,042  9,273,839  2009  52,522,819  42,826,421  36,416,781  6,409,640  9,696,398  2010  54,032,097  43,846,211  37,487,862  6,358,349  10,185,886  2011  55,404,480  44,790,082  38,484,666  6,305,416  10,614,398  2012  56,758,185  45,867,289  39,611,707  6,255,582  10,890,896  2013  57,978,610  46,990,341  40,801,365  6,188,976  10,988,269  2014  59,007,158  48,076,066  41,947,747  6,128,319  10,931,092  2015  59,963,425  49,156,959  43,073,398  6,083,561  10,806,466  2016  60,907,307  50,297,237  44,266,144  6,031,093  10,610,070  Numbers above exclude transitionally  uninsured beneficiaries. Benefits to such beneficiares are initially paid  from the Old-Age and Survivors Insurance Trust Fund and are subsequently  reimbursed from the general fund of the Treasury.",Year,Total,Old-Age and Survivors Insurance,Disability Insurance,Total,Retired workers and dependents,Survivors,Disabled workers and dependents,1970.0,25700924.0,23035295.0,16566674.0,6468621.0,2665629.0,1971.0,26817466.0,23887566.0,17188035.0,6699531.0,2929900.0,1972.0,28075659.0,24804173.0,17870175.0,6933998.0,3271486.0,1973.0,29513677.0,25952971.0,18793039.0,7159932.0,3560706.0,1974.0,30575739.0,26663788.0,19409560.0,7254228.0,3911951.0,1975.0,31861668.0,27509170.0,20140731.0,7368439.0,4352498.0,1976.0,32835497.0,28211670.0,20715021.0,7496649.0,4623827.0,1977.0,33923098.0,29068892.0,21476517.0,7592375.0,4854206.0,1978.0,34453027.0,29584451.0,22006468.0,7577983.0,4868576.0,1979.0,35012958.0,30235740.0,22617898.0,7617842.0,4777218.0,1980.0,35526086.0,30843914.0,23243078.0,7600836.0,4682172.0,1981.0,35930048.0,31473774.0,23859047.0,7614727.0,4456274.0,1982.0,35777795.0,31804330.0,24362481.0,7441849.0,3973465.0,1983.0,36033976.0,32221046.0,24971472.0,7249574.0,3812930.0,1984.0,36438574.0,32616770.0,25435753.0,7181017.0,3821804.0,1985.0,37026698.0,33119529.0,25958585.0,7160944.0,3907169.0,1986.0,37683434.0,33690155.0,26524806.0,7165349.0,3993279.0,1987.0,38171185.0,34126461.0,26970080.0,7156381.0,4044724.0,1988.0,38612903.0,34538603.0,27375814.0,7162789.0,4074300.0,1989.0,39141080.0,35012253.0,27842330.0,7169923.0,4128827.0,1990.0,39824692.0,35558711.0,28361385.0,7197326.0,4265981.0,1991.0,40586874.0,36073834.0,28818483.0,7255351.0,4513040.0,1992.0,41503506.0,36613810.0,29301178.0,7312632.0,4889696.0,1993.0,42243262.0,36989696.0,29635117.0,7354579.0,5253566.0,1994.0,42881850.0,37298331.0,29914265.0,7384066.0,5583519.0,1995.0,43386232.0,37528576.0,30140418.0,7388158.0,5857656.0,1996.0,43736183.0,37664149.0,30310865.0,7353284.0,6072034.0,1997.0,43970692.0,37817653.0,30637863.0,7179790.0,6153039.0,1998.0,44245506.0,37910936.0,30813491.0,7097445.0,6334570.0,1999.0,44595481.0,38071751.0,31027701.0,7044050.0,6523730.0,2000.0,45414705.0,38741343.0,31756099.0,6985244.0,6673362.0,2001.0,45877465.0,38964222.0,32045800.0,6918422.0,6913243.0,2002.0,46444296.0,39223028.0,32347974.0,6875054.0,7221268.0,2003.0,47038475.0,39443023.0,32633335.0,6809688.0,7595452.0,2004.0,47687713.0,39738441.0,33004844.0,6733597.0,7949272.0,2005.0,48434436.0,40120122.0,33467225.0,6652897.0,8314314.0,2006.0,49122826.0,40503441.0,33937576.0,6565865.0,8619385.0,2007.0,49864978.0,40944607.0,34450034.0,6494573.0,8920371.0,2008.0,50898396.0,41624557.0,35168515.0,6456042.0,9273839.0,2009.0,52522819.0,42826421.0,36416781.0,6409640.0,9696398.0,2010.0,54032097.0,43846211.0,37487862.0,6358349.0,10185886.0,2011.0,55404480.0,44790082.0,38484666.0,6305416.0,10614398.0,2012.0,56758185.0,45867289.0,39611707.0,6255582.0,10890896.0,2013.0,57978610.0,46990341.0,40801365.0,6188976.0,10988269.0,2014.0,59007158.0,48076066.0,41947747.0,6128319.0,10931092.0,2015.0,59963425.0,49156959.0,43073398.0,6083561.0,10806466.0,2016.0,60907307.0,50297237.0,44266144.0,6031093.0,10610070.0,Numbers above exclude transitionally  uninsured beneficiaries. Benefits to such beneficiares are initially paid  from the Old-Age and Survivors Insurance Trust Fund and are subsequently  reimbursed from the general fund of the Treasury.
Year,Total,Old-Age and Survivors Insurance,Disability Insurance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,Retired workers and dependents,Survivors,Disabled workers and dependents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970,25700924,23035295,16566674,6468621,2665629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971,26817466,23887566,17188035,6699531,2929900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1972,28075659,24804173,17870175,6933998,3271486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1973,29513677,25952971,18793039,7159932,3560706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1974,30575739,26663788,19409560,7254228,3911951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1975,31861668,27509170,20140731,7368439,4352498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976,32835497,28211670,20715021,7496649,4623827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
