,Â,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,(R) 2012,(R) 2013,(R) 2014,2015
0,"GDP by industry, total",11684,12226,12706,12826,13060,13401,13876,14320,14701,14918,14833,14419,14731,14946,15243,15437,15776,16149
1,"Agriculture, forestry, fishing, and hunting",74,79,100,93,98,111,120,127,133,111,121,138,140,134,121,147,151,164
2,Mining,228,218,202,232,225,205,203,201,225,243,245,290,271,288,319,333,356,369
3,Utilities,250,292,302,269,266,258,266,258,264,270,275,251,274,274,272,272,262,250
4,Construction,705,732,760,750,729,743,769,773,753,725,662,577,551,548,568,583,589,617
5,"Manufacturing, durable goods",623,670,774,721,747,812,872,930,998,1041,1027,874,976,1037,1071,1081,1101,1112
6,"Manufacturing, nondurable goods",786,815,807,804,800,828,882,858,879,895,850,853,845,800,783,800,813,828
7,Wholesale trade,674,699,742,755,759,803,848,892,926,957,947,823,848,866,891,919,950,978
8,Retail trade,736,759,782,805,835,883,896,925,930,905,867,842,862,868,884,908,924,957
9,Transportation and warehousing,372,375,381,355,342,357,393,415,441,436,435,399,421,436,441,443,448,439
10,Information,403,448,426,454,505,522,586,619,634,697,732,705,735,737,746,796,827,878
11,"Finance, insurance, real estate, rental, and leasing",2074,2216,2331,2482,2512,2540,2574,2744,2816,2867,2763,2874,2925,2986,3069,3043,3114,3170
12,Professional and business services,1281,1341,1413,1447,1467,1507,1547,1612,1658,1702,1778,1661,1718,1783,1856,1868,1946,2039
13,"Educational services, health care, and social assistance",873,896,920,946,985,1018,1058,1076,1117,1129,1188,1214,1221,1240,1263,1281,1309,1347
14,"Arts, entertainment, recreation, accommodation, and food services",467,492,519,503,516,532,556,558,571,572,558,522,541,562,576,589,607,617
15,"Other services, except government",384,388,396,363,372,361,367,367,369,360,348,330,324,323,329,327,335,339
16,"Government, total",1812,1835,1871,1890,1925,1948,1966,1982,1995,2016,2052,2066,2080,2071,2066,2048,2045,2038
17,"Government, federal",1775,1769,1788,1776,1817,1859,1897,1914,1926,1943,2002,2066,2119,2118,2107,2048,2027,2014
18,"Government, state and local",1232,1258,1287,1312,1336,1347,1354,1365,1374,1390,1408,1402,1399,1389,1388,1387,1390,1387
19,Percent of GDP,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
20,"Agriculture, forestry, fishing, and hunting",0.63,0.65,0.79,0.72,0.75,0.83,0.86,0.89,0.91,0.75,0.82,0.95,0.95,0.89,0.79,0.95,0.96,1.02
21,Mining,1.95,1.78,1.59,1.81,1.73,1.53,1.46,1.41,1.53,1.63,1.65,2.01,1.84,1.93,2.09,2.16,2.25,2.29
22,Utilities,2.14,2.39,2.38,2.10,2.04,1.92,1.92,1.80,1.80,1.81,1.85,1.74,1.86,1.83,1.78,1.76,1.66,1.55
23,Construction,6.04,5.99,5.98,5.85,5.58,5.54,5.54,5.40,5.12,4.86,4.46,4.00,3.74,3.66,3.73,3.78,3.73,3.82
24,"Manufacturing, durable goods",5.33,5.48,6.09,5.62,5.72,6.06,6.28,6.49,6.79,6.98,6.93,6.06,6.62,6.94,7.02,7.00,6.98,6.89
25,"Manufacturing, nondurable goods",6.73,6.66,6.35,6.27,6.12,6.18,6.36,5.99,5.98,6.00,5.73,5.91,5.74,5.35,5.14,5.18,5.15,5.13
26,Wholesale trade,5.77,5.72,5.84,5.89,5.81,5.99,6.11,6.23,6.30,6.42,6.39,5.71,5.76,5.79,5.84,5.95,6.02,6.05
27,Retail trade,6.30,6.21,6.15,6.28,6.40,6.59,6.46,6.46,6.33,6.06,5.84,5.84,5.85,5.80,5.80,5.88,5.86,5.93
28,Transportation and warehousing,3.19,3.07,3.00,2.77,2.62,2.66,2.83,2.90,3.00,2.93,2.93,2.77,2.86,2.92,2.89,2.87,2.84,2.72
29,Information,3.45,3.66,3.36,3.54,3.87,3.89,4.22,4.32,4.31,4.67,4.93,4.89,4.99,4.93,4.89,5.16,5.24,5.44
30,"Finance, insurance, real estate, rental, and leasing",17.75,18.13,18.34,19.35,19.23,18.95,18.55,19.16,19.15,19.22,18.63,19.93,19.86,19.98,20.13,19.71,19.74,19.63
31,Professional and business services,10.96,10.97,11.12,11.28,11.23,11.25,11.15,11.26,11.28,11.41,11.99,11.52,11.66,11.93,12.18,12.10,12.34,12.62
32,"Educational services, health care, and social assistance",7.47,7.33,7.24,7.37,7.54,7.59,7.62,7.52,7.60,7.57,8.01,8.42,8.29,8.30,8.29,8.30,8.30,8.34
33,"Arts, entertainment, recreation, accommodation, and food services",4.00,4.02,4.09,3.92,3.95,3.97,4.01,3.90,3.89,3.84,3.76,3.62,3.67,3.76,3.78,3.81,3.84,3.82
34,"Other services, except government",3.29,3.17,3.12,2.83,2.85,2.70,2.64,2.57,2.51,2.42,2.34,2.29,2.20,2.16,2.16,2.12,2.12,2.10
35,"Government, total",15.51,15.01,14.73,14.73,14.74,14.54,14.17,13.84,13.57,13.51,13.84,14.33,14.12,13.85,13.55,13.27,12.96,12.62
36,"Government, federal",15.19,14.47,14.07,13.85,13.91,13.87,13.67,13.36,13.10,13.02,13.49,14.33,14.38,14.17,13.82,13.26,12.85,12.47
37,"Government, state and local",10.54,10.29,10.13,10.23,10.23,10.05,9.75,9.53,9.35,9.31,9.49,9.72,9.50,9.29,9.10,8.99,8.81,8.59
