,Â,1960,1965,1970,1975,1980,1985,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,(R) 2010,(R) 2011,(R) 2012,(R) 2013,2014
0,"Domestic production, totala",7.96,9.01,11.3,10.01,10.17,10.58,8.91,9.08,8.87,8.58,8.39,8.32,8.29,8.27,8.01,7.73,7.73,7.67,7.62,7.37,7.25,(R) 6.90,(R) 6.83,(R) 6.86,(R) 6.78,(R) 7.26,7.55,7.85,8.88,10.06,11.72
1,Crude oilb,7.04,7.8,9.64,8.37,8.60,8.97,7.36,7.42,7.17,6.85,6.66,6.56,6.46,6.45,6.25,5.88,5.82,5.80,5.74,5.65,5.44,(R) 5.18,(R) 5.09,(R) 5.08,(R) 5.00,(R) 5.35,5.48,5.64,6.48,7.45,8.71
2,Natural gas plant liquids,0.93,1.21,1.66,1.63,1.57,1.61,1.56,1.66,1.70,1.74,1.73,1.76,1.83,1.82,1.76,1.85,1.91,1.87,1.88,1.72,1.81,1.72,1.74,1.78,1.78,1.91,2.07,2.22,2.41,2.61,3.01
3,"Gross imports, total",1.81,2.47,3.42,6.06,6.91,5.07,8.02,7.63,7.89,8.62,9.00,8.83,9.48,10.16,10.71,10.85,11.46,11.87,11.53,12.26,13.15,13.71,13.71,13.47,12.92,11.69,11.79,11.44,10.6,9.86,9.24
4,"Crude oilb,c",1.02,1.24,1.32,4.1,5.26,3.20,5.89,5.78,6.08,6.79,7.06,7.23,7.51,8.23,8.71,8.73,9.07,9.33,9.14,9.66,10.09,10.13,10.12,10.03,9.78,9.01,9.21,8.94,8.53,7.73,7.34
5,Petroleum productsd,0.8,1.23,2.1,1.95,1.65,1.87,2.12,1.84,1.80,1.83,1.93,1.61,1.97,1.94,2.00,2.12,2.39,2.54,2.39,2.60,3.06,3.59,3.59,3.44,3.13,2.68,2.58,2.5,2.07,2.13,1.9
6,Exports,0.2,0.19,0.26,0.21,0.54,0.78,0.86,1.00,0.95,1.00,0.94,0.95,0.98,1.00,0.94,0.94,1.04,0.97,0.98,1.03,1.05,1.16,1.32,1.43,1.80,2.02,2.35,2.99,3.2,3.62,4.18
7,U.S. net importse,1.61,2.28,3.16,5.85,6.36,4.29,7.16,6.63,6.94,7.62,8.05,7.89,8.50,9.16,9.76,9.91,10.42,10.90,10.55,11.24,12.10,12.55,12.39,12.04,11.11,9.67,9.44,8.45,7.39,6.24,5.07
8,U.S. petroleum consumption,9.8,11.51,14.7,16.32,17.06,15.73,16.99,16.71,17.03,17.24,17.72,17.72,18.31,18.62,18.92,19.52,19.70,19.65,19.76,20.03,20.73,20.80,20.69,20.68,19.50,18.77,19.18,18.88,18.49,18.96,19.11
9,By the transportation sector,5.14,6.04,7.78,8.95,9.55,9.84,10.89,10.76,10.88,11.12,11.42,11.67,11.92,12.10,12.42,12.76,13.01,12.94,13.21,13.29,13.72,13.96,14.18,14.29,13.62,13.30,13.51,13.3,13.03,13.27,13.47
10,Transportation petroleum use as a percent of domestic petroleum production,64.5,67.0,68.8,89.4,93.9,93.0,122.1,118.6,122.7,129.6,136.1,140.2,143.7,146.3,155.0,165.1,168.3,168.7,173.2,180.3,189.2,(R) 202.3,(R) 207.7,(R) 208.3,(R) 200.8,(R) 183.0,178.9,169.4,146.7,131.9,114.9
11,Transportation petroleum use as a percent of domestic petroleum consumption,52.4,52.4,52.9,54.8,56.0,62.6,64.1,64.4,63.9,64.5,64.4,65.8,65.1,65.0,65.7,65.4,66.0,65.8,66.8,66.3,66.2,67.1,68.5,69.1,69.9,70.8,70.4,70.5,70.5,70.0,70.5
12,World petroleum consumption,21.34,31.14,46.81,56.2,(R) 63.99,(R) 59.16,(R) 66.44,(R) 66.34,(R) 66.55,(R) 67.10,(R) 68.64,(R) 70.30,(R) 71.99,(R) 74.22,(R) 75.68,(R) 74.84,(R) 77.73,(R) 77.67,(R) 77.10,(R) 79.61,(R) 83.40,(R) 85.10,(R) 85.13,(R) 85.13,(R) 86.51,(R) 85.70,88.1,88.53,90.47,91.01,93.2
13,U.S. petroleum consumption as percent of world petroleum consumption,45.9,37.0,31.4,29.0,(R) 26.7,(R) 26.6,(R) 25.6,(R) 25.2,(R) 25.6,(R) 25.7,(R) 25.8,(R) 25.2,(R) 25.4,(R) 25.1,(R) 25.0,(R) 26.1,(R) 25.3,(R) 25.3,(R) 25.6,(R) 25.2,(R) 24.9,(R) 24.4,(R) 24.3,(R) 24.3,(R) 22.5,(R) 21.9,21.8,21.3,20.4,20.8,20.5
