,Â,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001h,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,(R) 2013,2014
0,All occupational fatalities,6217,6331,6632,6275,6202,6238,6055,6054,5920,5915,5534,5575,5764,5734,5840,5657,5214,4551,4690,4693,4628,4585,4821
1,"Transportation-related fatalities, totalb",2484,2499,2762,2587,2601,2605,2645,2618,2573,2524,2385,2364,2490,2493,2459,2351,2130,1795,1857,1937,1923,1865,1984
2,Highwayc,1158,1242,1343,1346,1346,1393,1442,1496,1365,1409,1373,1353,1398,1437,1356,1414,1215,985,1044,1103,1153,1099,1157
3,Nonhighwayd,436,392,409,387,374,377,388,352,399,326,323,347,338,340,345,296,284,261,276,222,233,227,248
4,Aircraft,353,282,426,283,324,261,224,228,280,247,194,211,231,149,217,174,191,159,152,145,127,136,135
5,Pedestrian struck by vehiclee,346,365,391,388,353,367,413,377,370,383,356,337,378,391,379,345,329,268,280,316,293,294,318
6,Water vehiclef,109,119,94,87,119,109,112,102,84,90,71,69,91,88,96,71,76,86,60,72,63,60,55
7,Railwayg,66,86,81,82,74,93,60,56,71,62,64,43,50,83,65,49,34,34,45,50,38,41,57
8,As a percent of all occupational fatalities,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
9,"Transportation-related fatalities, totalb",40.0,39.5,41.6,41.2,41.9,41.8,43.7,43.2,43.5,42.7,43.1,42.4,43.2,43.5,42.1,41.6,40.9,39.4,39.6,41.3,41.6,40.7,41.2
10,Highway,18.6,19.6,20.3,21.5,21.7,22.3,23.8,24.7,23.1,23.8,24.8,24.3,24.3,25.1,23.2,25.0,23.3,21.6,22.3,23.5,24.9,24.0,24.0
11,Nonhighway,7.0,6.2,6.2,6.2,6.0,6.0,6.4,5.8,6.7,5.5,5.8,6.2,5.9,5.9,5.9,5.2,5.4,5.7,5.9,4.7,5.0,5.0,5.1
12,Aircraft,5.7,4.5,6.4,4.5,5.2,4.2,3.7,3.8,4.7,4.2,3.5,3.8,4.0,2.6,3.7,3.1,3.7,3.5,3.2,3.1,2.7,3.0,2.8
13,Pedestrian struck by vehicle,5.6,5.8,5.9,6.2,5.7,5.9,6.8,6.2,6.3,6.5,6.4,6.0,6.6,6.8,6.5,6.1,6.3,5.9,6.0,6.7,6.3,6.4,6.6
14,Water vehicle,1.8,1.9,1.4,1.4,1.9,1.7,1.8,1.7,1.4,1.5,1.3,1.2,1.6,1.5,1.6,1.3,1.5,1.9,1.3,1.5,1.4,1.3,1.1
15,Railway,1.1,1.4,1.2,1.3,1.2,1.5,1.0,0.9,1.2,1.0,1.2,0.8,0.9,1.4,1.1,0.9,0.7,0.7,1.0,1.1,0.8,0.9,1.2
