,Â,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,(R) 2014,(P) 2015,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34
0,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,
1,TOTAL fatalities,43975,100.0,44276,100.0,44873,100.0,45292,100,45121,100.0,45028,100.0,"(R) 45,641",100.0,"(R) 45,061",100.0,"(R) 43,347",100.0,39542,100.0,35978,100.0,"(R) 35,036",100.0,"(R) 34,570",100.0,35696,100.0,34685,100.0,34641,100.0,36982,100.0
2,Passenger car occupants,20862,47.4,20699,46.7,20320,45.3,20569,45.4,19725,43.7,19192,42.6,18512,40.6,17925,39.8,16614,38.3,14646,37.0,13135,36.5,12491,35.7,12014,34.8,12361,34.6,12037,34.7,11947,34.5,12628,34.1
3,"Truck occupantsa, light",11265,25.6,11526,26.0,11723,26.1,12274,27.1,12546,27.8,12674,28.1,13037,28.6,12761,28.3,12458,28.7,10816,27.4,10312,28.7,9782,27.9,9302,26.9,9418,26.4,9187,26.5,9103,26.3,9813,26.5
4,Pedestrians,4939,11.2,4763,10.8,4901,10.9,4851,10.7,4774,10.6,4675,10.4,4892,10.7,4795,10.6,4699,10.8,4414,11.2,4109,11.4,4302,12.3,4457,12.9,4818,13.5,4779,13.8,4910,14.2,5376,14.5
5,Motorcyclists,2483,5.6,2897,6.5,3197,7.1,3270,7.2,3714,8.2,4028,8.9,4576,10.0,4837,10.7,5174,11.9,5312,13.4,4469,12.4,4518,12.9,4630,13.4,4986,14.0,4692,13.5,4594,13.3,4976,13.5
6,Pedalcyclists,754,1.7,693,1.6,732,1.6,665,1.5,629,1.4,727,1.6,786,1.7,772,1.7,701,1.6,718,1.8,628,1.7,623,1.8,682,2.0,734,2.1,749,2.2,729,2.1,818,2.2
7,"Highway, other incidentb",596,1.4,591,1.3,581,1.3,642,1.4,729,1.6,732,1.6,845,1.9,786,1.7,772,1.8,768,1.9,705,2.0,709,2.0,699,2.0,729,2.0,701,2.0,761,2.2,765,2.1
8,"Truck occupantsa, large",759,1.7,754,1.7,708,1.6,689,1.5,726,1.6,766,1.7,804,1.8,805,1.8,805,1.9,682,1.7,499,1.4,530,1.5,640,1.9,697,2.0,695,2.0,656,1.9,667,1.8
9,Recreational boatingc,734,1.7,701,1.6,681,1.5,750,1.7,703,1.6,676,1.5,697,1.5,710,1.6,685,1.6,709,1.8,736,2.0,672,1.9,758,2.2,651,1.8,560,1.6,610,1.8,626,1.7
10,"Railroad, trespassers",479,1.1,463,1.0,511,1.1,540,1.2,498,1.1,472,1.0,458,1.0,511,1.1,470,1.1,457,1.2,416,1.2,441,1.3,400,1.2,410,1.1,425,1.2,470,1.4,459,1.2
11,General aviationd,621,1.4,596,1.3,562,1.3,581,1.3,633,1.4,559,1.2,563,1.2,706,1.6,496,1.1,496,1.3,479,1.3,458,1.3,(R) 458,1.3,(R) 438,1.2,391,1.1,424,1.2,376,1.0
12,Highway-rail grade crossing,402,0.9,425,1.0,421,0.9,357,0.8,334,0.7,371,0.8,359,0.8,369,0.8,339,0.8,290,0.7,248,0.7,261,0.7,246,0.7,231,0.6,232,0.7,262,0.8,235,0.6
13,"Transit, other incident",N,,N,,N,,130,0.3,143,0.3,136,0.3,94,0.2,133,0.3,153,0.4,134,0.3,167,0.5,166,0.5,189,0.5,192,0.5,196,0.6,174,0.5,220,0.6
14,"Rail, other incidentsf",42,0.1,39,0.1,33,0.1,39,0.1,29,0.1,35,0.1,34,0.1,17,0.0,33,0.1,30,0.1,27,0.1,25,0.1,30,0.1,24,0.1,32,0.1,31,0.1,52,0.1
15,Bus occupants,59,0.1,22,0.0,34,0.1,45,0.1,41,0.1,42,0.1,58,0.1,27,0.1,36,0.1,67,0.2,26,0.1,44,0.1,55,0.2,39,0.1,54,0.2,44,0.1,49,0.1
16,"Water, freightj",N,,N,,N,,48,0.1,39,0.1,37,0.1,33,0.1,37,0.1,42,0.1,34,0.1,30,0.1,22,0.1,18,0.1,14,0.0,19,0.1,18,0.1,40,0.1
17,Transit passenger/occupant,N,,N,,N,,47,0.1,51,0.1,33,0.1,48,0.1,20,0.0,26,0.1,30,0.1,48,0.1,49,0.1,36,0.1,67,0.2,60,0.2,58,0.2,30,0.1
18,On-demand air taxig,38,0.1,71,0.2,60,0.1,35,0.1,42,0.1,64,0.1,18,0.0,16,0.0,43,0.1,69,0.2,17,0.0,17,0.0,41,0.1,12,0.0,25,0.1,20,0.1,27,0.1
19,"Water, passengere",N,,15,0.0,0,0.0,48,0.1,52,0.1,55,0.1,52,0.1,91,0.2,79,0.2,65,0.2,62,0.2,87,0.2,96,0.3,84,0.2,26,0.1,14,0.0,14,0.0
20,"Railroad, train accidents",9,0.0,10,0.0,6,0.0,15,0.0,4,0.0,13,0.0,33,0.1,6,0.0,9,0.0,27,0.1,4,0.0,8,0.0,6,0.0,9,0.0,11,0.0,5,0.0,13,0.0
21,"Water, industrial/otherh",N,,N,,N,,44,0.1,50,0.1,47,0.1,47,0.1,45,0.1,36,0.1,46,0.1,37,0.1,40,0.1,32,0.1,16,0.0,45,0.1,32,0.1,12,0.0
22,Gas pipeline,18,0.0,37,0.1,7,0.0,11,0.0,12,0.0,18,0.0,(R) 14,0.0,(R) 19,0.0,(R) 12,0.0,6,0.0,9,0.0,(R) 18,0.1,(R) 11,0.0,(R) 7,0.0,(R) 7,0.0,19,0.1,9,0.0
23,"Train, employee/worker",N,,N,,N,,5,0.0,8,0.0,8,0.0,7,0.0,9,0.0,9,0.0,8,0.0,11,0.0,6,0.0,3,0.0,5,0.0,10,0.0,4,0.0,4,0.0
24,Commuter carrierk,12,0.0,5,0.0,13,0.0,0,0.0,2,0.0,0,0.0,0,0.0,2,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,5,0.0,0,0.0,1,0.0
25,Hazardous liquid pipeline,4,0.0,1,0.0,0.0,0.0,1,0.0,0,0.0,5,0.0,2,0.0,0,0.0,4,0.0,2,0.0,4,0.0,1,0.0,1,0.0,3,0.0,1,0.0,0,0.0,1,0.0
26,U.S. air carrieri,12,0.0,92,0.2,531,1.2,0,0.0,22,0.0,14,0.0,22,0.0,50,0.1,1,0.0,3,0.0,52,0.1,2,0.0,0,0.0,0,0.0,9,0.0,0,0.0,0,0.0
27,"Other counts, redundant with above",Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
