,Table of Contents,File Formats,Unnamed: 2,Unnamed: 3,Unnamed: 4
0,Entire Report,PDF  (3.01MB),Â,Â,Â
1,Front Matter,Â,HTML  (5KB),Â,Â
2,Introduction,Â,HTML  (3KB),Â,Â
3,Table A - Social and Economic Characteristics of the United States,Â,HTML  (23KB),Excel  (33KB),CSV  (9KB)
4,Chapter 1. The Transportation System,Â,Â,Â,Â
5,Section A. Physical Extent,Â,Â,Â,Â
6,1-1 - System Mileage Within the United States,Â,HTML  (43KB),Excel  (25KB),CSV  (25KB)
7,"1-2 - Number of Air Carriers, Railroads, Interstate Motor Carriers, Marine Vessel Operators, and Pipeline Operators",Â,HTML  (32KB),Excel  (23KB),CSV  (23KB)
8,1-3 - Number of U.S. Airports,Â,HTML  (36KB),Excel  (23KB),CSV  (23KB)
9,1-4 - Public Road and Street Mileage in the United States by Type of Surface,Â,HTML  (38KB),Excel  (24KB),CSV  (24KB)
10,1-5 - U.S. Public Road and Street Mileage by Functional System,Â,HTML  (53KB),Excel  (27KB),CSV  (27KB)
11,1-6 - Estimated U.S. Roadway Lane-Miles by Functional System,Â,HTML  (42KB),Excel  (22KB),CSV  (22KB)
12,"1-7 - Number of Stations Served by Amtrak and Rail Transit, Fiscal Year",Â,HTML  (21KB),Excel  (19KB),CSV  (19KB)
13,1-8 - U.S. Oil and Gas Pipeline Mileage,Â,HTML  (43KB),Excel  (19KB),CSV  (19KB)
14,"Section B. Vehicle, Aircraft, and Vessel Inventory",Â,Â,Â,Â
15,"1-9 - Number of U.S. Aircraft, Vehicles, Vessels, and Other Conveyances",Â,HTML  (79KB),Excel  (34KB),CSV  (34KB)
16,"1-10 - Sales or Deliveries of New Aircraft, Vehicles, Vessels, and other Conveyances",Â,HTML  (61KB),Excel  (31KB),CSV  (31KB)
17,1-11 - Active Air Carrier and General Aviation Fleet by Type of Aircraft,Â,HTML  (82KB),Excel  (32KB),CSV  (32KB)
18,1-12 - U.S. Automobile and Truck Fleets by Use,Â,HTML  (30KB),Excel  (19KB),CSV  (19KB)
19,1-13 - Annual U.S. Motor Vehicle Production and Factory (Wholesale) Sales,Â,HTML  (26KB),Excel  (17KB),CSV  (17KB)
20,1-14 - Retail New Passenger Car Sales,Â,HTML  (23KB),Excel  (17KB),CSV  (17KB)
21,1-15 - New and Used Passenger Car Sales and Leases,Â,HTML  (26KB),Excel  (18KB),CSV  (18KB)
22,1-16 - Retail Sales of New Cars by Sector,Â,HTML  (23KB),Excel  (17KB),CSV  (17KB)
23,"1-17 - Period Sales, Market Shares, and Sales-Weighted Fuel Economies of New Domestic and Imported Automobiles, Selected Sales Periods",Â,HTML  (39KB),Excel  (24KB),CSV  (24KB)
24,"1-18 - Period Sales, Market Shares, and Sales-Weighted Fuel Economies of New Domestic and Imported Light Trucks, Selected Sales Periods",Â,HTML  (52KB),Excel  (25KB),CSV  (25KB)
25,"1-19 - World Motor Vehicle Production, Selected Countries",Â,HTML  (93KB),Excel  (37KB),CSV  (37KB)
26,1-20 - Number and Size of the U.S. Flag Merchant Fleet and Its Share of the World Fleet,Â,HTML  (68KB),Excel  (26KB),CSV  (26KB)
27,Section C. Condition,Â,Â,Â,Â
28,1-21 - U.S. Airport Runway Pavement Conditions,Â,HTML  (24KB),Excel  (20KB),CSV  (20KB)
29,1-22 - Median Age of Automobiles and Trucks in Operation in the U.S.,Â,HTML  (23KB),Excel  (28KB),CSV  (28KB)
30,1-23 - Condition of U.S. Roadways by Functional System,Â,HTML  (79KB),Excel  (33KB),CSV  (33KB)
31,1-24 - Condition of U.S. Bridges,Â,HTML  (28KB),Excel  (22KB),CSV  (22KB)
32,1-25 - Average Age of Urban Transit Vehicles,Â,HTML  (21KB),Excel  (17KB),CSV  (17KB)
33,1-26 - Class I Railroad Locomotive Fleet by Year Built,Â,HTML  (24KB),Excel  (18KB),CSV  (18KB)
34,1-27 - Age and Availability of Amtrak Locomotive and Car Fleets,Â,HTML  (21KB),Excel  (19KB),CSV  (19KB)
35,1-28 - U.S. Flag Vessels by Type and Age,Â,HTML  (52KB),Excel  (36KB),CSV  (36KB)
36,Section D. Travel and Goods Movement,Â,Â,Â,Â
37,1-29 - U.S. Vehicle-Miles,Â,HTML  (63KB),Excel  (35KB),CSV  (35KB)
38,1-30 - Roadway Vehicle-Miles Traveled (VMT) and VMT per Lane-Mile by Functional Class,Â,HTML  (45KB),Excel  (24KB),CSV  (24KB)
39,1-31 - U.S. Passenger-Miles,Â,HTML  (77KB),Excel  (92KB),CSV  (92KB)
40,1-32 - Principal Means of Transportation to Work,Â,HTML  (28KB),Excel  (19KB),CSV  (19KB)
41,1-33 - Long-Distance Travel in the United States by Selected Trip Characteristics: 1995,Â,HTML  (71KB),Excel  (35KB),CSV  (35KB)
42,1-34 - Long-Distance Travel in the United States by Selected Traveler Characteristics: 1995,Â,HTML  (77KB),Excel  (35KB),CSV  (35KB)
43,"1-35 - U.S. Air Carrier Aircraft Departures, Enplaned Revenue Passengers, and Enplaned Revenue Tons",Â,HTML  (63KB),Excel  (38KB),CSV  (38KB)
44,1-36 - Passengers Boarded at the Top 50 U.S. Airports,Â,HTML  (66KB),Excel  (32KB),CSV  (32KB)
45,1-37 - Air Passenger Travel Arrivals in the United States from Selected Foreign Countries,Â,HTML  (48KB),Excel  (24KB),CSV  (24KB)
46,1-38 - Air Passenger Travel Departures from the United States to Selected Foreign Countries,Â,HTML  (45KB),Excel  (24KB),CSV  (24KB)
47,1-39 - U.S.-Canadian Border Land-Passenger Gateways: 1999,Â,HTML  (28KB),Excel  (24KB),CSV  (24KB)
48,1-40 - U.S.-Mexican Border Land-Passenger Gateways: 1999,Â,HTML  (26KB),Excel  (21KB),CSV  (21KB)
49,1-41 - U.S. Ton-Miles of Freight,Â,HTML  (53KB),Excel  (24KB),CSV  (24KB)
50,"1-42 - Average Length of Haul, Domestic Freight and Passenger Modes",Â,HTML  (38KB),Excel  (26KB),CSV  (26KB)
51,1-43 - Top U.S. Foreign Trade Freight Gateways by Value of Shipments: 1998,Â,HTML  (37KB),Excel  (23KB),CSV  (23KB)
52,"1-44 - U.S.-Canadian Border, Land Freight Gateways: 1999",Â,HTML  (24KB),Excel  (20KB),CSV  (20KB)
53,"1-45 - U.S.-Mexican Border, Land Freight Gateways: 1999",Â,HTML  (23KB),Excel  (22KB),CSV  (22KB)
54,1-46 - U.S. Waterborne Freight,Â,HTML  (25KB),Excel  (17KB),CSV  (17KB)
55,"1-47 - Tonnage of Top 50 U.S. Water Ports, Ranked by Total Tons",Â,HTML  (54KB),Excel  (28KB),CSV  (28KB)
56,1-48 - Growth of Freight Activity in the United States: Comparison of the 1997 and 1993 Commodity Flow Surveys,Â,HTML  (29KB),Excel  (21KB),CSV  (21KB)
57,"1-49 - Value, Tons, and Ton-Miles of Freight Shipments within the United States by Domestic Establishments, 1997",Â,HTML  (39KB),Excel  (20KB),CSV  (20KB)
58,1-50 - Value of U.S. Land Exports to and Imports from Canada and Mexico by Mode,Â,HTML  (74KB),Excel  (27KB),CSV  (27KB)
59,1-51 - Crude Oil and Petroleum Products Transported in the United States by Mode,Â,HTML  (41KB),Excel  (24KB),CSV  (24KB)
60,"1-52 - U.S. Hazardous Materials Shipments by Mode of Transportation, 1997",Â,HTML  (21KB),Excel  (16KB),CSV  (16KB)
61,"1-53 - U.S. Hazardous Materials Shipments by Hazard Class, 1997",Â,HTML  (23KB),Excel  (15KB),CSV  (15KB)
62,1-54 - Worldwide Commercial Space Launches,Â,HTML  (46KB),Excel  (25KB),CSV  (25KB)
63,Section E. Physical Performance,Â,Â,Â,Â
64,1-55 - Passengers Denied Boarding by the Largest U.S. Air Carriers,Â,HTML  (28KB),Excel  (19KB),CSV  (19KB)
65,1-56 - Mishandled-Baggage Reports Filed by Passengers with the Largest U.S. Air Carriers,Â,HTML  (25KB),Excel  (20KB),CSV  (20KB)
66,1-57 - Flight Operations Arriving On Time by the Largest U.S. Air Carriers,Â,HTML  (18KB),Excel  (15KB),CSV  (15KB)
67,1-58 - U.S. Air Carrier Delay Greater Than 15 Minutes by Cause,Â,HTML  (23KB),Excel  (18KB),CSV  (18KB)
68,"1-59 - Major U.S. Air Carrier Delays, Cancellations, and Diversions",Â,HTML  (19KB),Excel  (15KB),CSV  (15KB)
69,1-60 - Annual Person-Hours of Delay Per Eligible Driver,Â,HTML  (68KB),Excel  (43KB),CSV  (43KB)
70,1-61 - Roadway Congestion Index,Â,HTML  (73KB),Excel  (44KB),CSV  (44KB)
71,1-62 - Congestion Index and Cost Values,Â,HTML  (71KB),Excel  (41KB),CSV  (41KB)
72,1-63 - Amtrak On-Time Performance Trends and Hours of Delay by Cause,Â,HTML  (33KB),Excel  (22KB),CSV  (22KB)
73,Chapter 2. Transportation Safety,Â,Â,Â,Â
74,Section A. Multimodal,Â,Â,Â,Â
75,2-1 - Transportation Fatalities by Mode,Â,HTML  (78KB),Excel  (37KB),CSV  (37KB)
76,2-2 - Injured Persons by Transportation Mode,Â,HTML  (63KB),Excel  (35KB),CSV  (35KB)
77,2-3 - Transportation Accidents by Mode,Â,HTML  (59KB),Excel  (34KB),CSV  (34KB)
78,2-4 - Distribution of Transportation Fatalities by Mode,Â,HTML  (35KB),Excel  (23KB),CSV  (23KB)
79,2-5 - Highway-Rail Grade-Crossing Safety and Property Damage Data,Â,HTML  (29KB),Excel  (21KB),CSV  (21KB)
80,2-6 - Hazardous Materials Safety and Property Damage Data,Â,HTML  (64KB),Excel  (60KB),CSV  (60KB)
81,2-7 - Transportation-Related Occupational Fatalities,Â,HTML  (31KB),Excel  (22KB),CSV  (22KB)
82,2-8 - Reporting Thresholds for Property Damage by U.S. Department of Transportation Modal Administrations,Â,HTML  (20KB),Excel  (18KB),CSV  (18KB)
83,Section B. Air,Â,Â,Â,Â
84,2-9 - U.S. Air Carrier Safety Data,Â,HTML  (140KB),Excel  (46KB),CSV  (46KB)
85,2-10 - U.S. Commuter Air Carrier Safety Data,Â,HTML  (51KB),Excel  (26KB),CSV  (26KB)
86,2-11 - U.S. Air Carrier Fatal Accidents by First Phase of Operation,Â,HTML  (26KB),Excel  (19KB),CSV  (19KB)
87,2-12 - U.S. Commuter Air Carrier Fatal Accidents by First Phase of Operation,Â,HTML  (22KB),Excel  (17KB),CSV  (17KB)
88,2-13 - U.S. On-Demand Air Taxi Safety Data,Â,HTML  (36KB),Excel  (23KB),CSV  (23KB)
89,2-14 - U.S. General Aviation Safety Data,Â,HTML  (43KB),Excel  (23KB),CSV  (23KB)
90,2-15 - Number of Pilot-Reported Near Midair Collisions (NMAC) by Degree of Hazard,Â,HTML  (31KB),Excel  (19KB),CSV  (19KB)
