,Â,1960,1970,1980,1990,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
0,"Passenger operating revenues1, total ($ millions)",1407,1707,6510,16053.0,17968.0,18241.0,17964,18357,19124,20576,21979,23725,24186.0,25826.0,27089.0,28828.0,32186.0,33762.0,36502.0,37490.0
1,"Operating  revenues, total",1407,1707,2805,6786.0,7398.0,8069.0,9790,10265,10658,11304,11789,12082,11906.0,13124.0,13468.0,13927.0,16427.0,15391.0,16124.0,16483.0
2,"Passenger fares, total",1335,1639,2557,5891.0,6756.0,6801.0,6965,7174,7369,7680,8008,8354,8144.0,8510.0,9009.0,9470.0,11819.0,10625.0,11426.0,11845.0
3,Motor  bus,910,1194,1791,2967.0,3250.0,3287.0,U,U,U,U,U,U,3603.0,3691.0,3835.0,4044.0,5961.0,4469.0,4726.0,4886.0
4,Heavy  rail,270,369,717,1741.0,1976.0,2018.0,U,U,U,U,U,U,2492.0,2654.0,2903.0,3007.0,3218.0,3346.0,3639.0,3801.0
5,Light  rail,74,47,31,83.0,135.0,127.0,U,U,U,U,U,U,226.0,229.0,233.0,249.0,293.0,309.0,368.0,390.0
6,Trolley  bus,81,30,26,46.0,55.0,54.0,U,U,U,U,U,U,59.0,53.0,55.0,57.0,60.0,59.0,63.0,68.0
7,Demand  responsive,U,U,U,41.0,171.0,146.0,U,U,U,U,U,U,184.0,176.0,180.0,193.0,209.0,207.0,216.0,238.0
8,Ferryboata,U,U,U,56.0,41.0,60.0,U,U,U,U,U,U,63.0,86.0,91.0,93.0,71.0,117.0,119.0,115.0
9,Commuter  rail,U,U,U,952.0,1083.0,1078.0,U,U,U,U,U,U,1447.0,1551.0,1614.0,1727.0,1860.0,1979.0,2161.0,2173.0
10,Otherb,U,U,3,6.0,46.0,31.0,U,U,U,U,U,U,69.0,69.0,98.0,101.0,148.0,141.0,133.0,174.0
11,Other  operating revenue,72,68,248,895.0,642.0,1268.0,2825,3091,3288,3624,3781,3728,3762.0,4615.0,4460.0,4457.0,4609.0,4766.0,4698.0,4637.0
12,"Operating assistancec, total",U,U,3705,9267.0,10570.0,10172.0,8174,8092,8467,9271,10190,11643,12281.0,12702.0,13621.0,14901.0,15759.0,18371.0,20378.0,21008.0
