,Â,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
0,"TOTAL, all modes",146366,147822,150379,164753,182235,173694,165439,169112,164595,161860,167844,167806,171508,163934,158587,157570,163336,167939
1,Federal,47088,46970,47086,57386,73913,63684,56702,59017,57441,54851,59789,56234,57178,53126,48190,47290,48867,51708
2,State and Local,99277,100851,103293,107367,108322,110010,108736,110095,107154,107009,108055,111572,114330,110808,110397,110280,114470,116231
3,"Highway, total",104708,110516,110523,117141,131282,123783,115022,117781,114628,114371,119073,116012,120078,112320,109398,108709,112184,116536
4,Federal,34513,39571,37823,42073,55833,47644,41670,43006,42843,41821,45829,42132,42284,38350,35144,34114,34957,37531
5,State and Local,70195,70945,72700,75068,75449,76139,73351,74776,71785,72550,73244,73880,77794,73970,74254,74594,77227,79005
6,"Air, total",22546,18101,20712,27934,31295,30291,30730,31590,30216,27726,29206,29549,30768,30808,27931,27687,28347,28991
7,Federal,9785,4772,6711,12759,15756,14365,13383,14525,13313,11712,12423,12287,12676,12636,11109,10709,11354,11927
8,State and Local,12761,13329,14001,15175,15539,15926,17347,17066,16902,16014,16783,17261,18092,18171,16822,16978,16993,17064
9,"Railroads, total",56,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10,Federal,56,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11,"Transit, total",13331,13332,13456,13834,13989,14531,14455,14785,14820,14744,14181,16416,14425,14545,15288,14929,16302,16411
12,State and Local,13331,13332,13456,13834,13989,14531,14455,14785,14820,14744,14181,16416,14425,14545,15288,14929,16302,16411
13,"Water, total",5659,5809,5630,5787,5613,5011,5155,4854,4848,4943,5312,5745,6158,6185,5871,6129,6394,5888
14,Federal,2669,2563,2494,2498,2268,1597,1572,1386,1201,1242,1465,1729,2139,2063,1839,2351,2447,2137
15,State and Local,2990,3246,3136,3290,3345,3414,3583,3468,3647,3701,3847,4016,4019,4122,4032,3778,3947,3751
16,"Pipeline, total",54,47,45,43,43,41,49,67,71,66,63,63,62,63,78,88,85,84
17,Federal,54,47,45,43,43,41,49,67,71,66,63,63,62,63,78,88,85,84
18,"General support, total",11,14,13,13,13,35,28,34,12,10,9,23,17,14,20,28,24,29
19,Federal,11,14,13,13,13,35,28,34,12,10,9,23,17,14,20,28,24,29
