,�,1960,1965,1970,1975,1980,1985,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,(R) 2012,(R) 2013,(R) 2014,2015
0,Total expenditures,331578,443582,647688,1032755,1754616,2722674,3825630,3960151,4215654,4471002,4741018,4984178,5268071,5560720,5903033,6307022,6792396,7103104,7384053,7765529,8260018,8794112,9303992,9750505,10013648,9846968,10202191,10689299,11050627.0,11361174.0,11863366.0,12283683.0
1,Transportation,"(R) 40,766",56529,"(R) 76,502","(R) 124,391","(R) 226,485",357415,442931,418274,"(R) 451,284",485332,528231,"(R) 554,065",598935,"(R) 641,819",668623,"(R) 729,011",795384,"(R) 810,478","(R) 813,117",845959,"(R) 899,250","(R) 960,769","(R) 992,932","(R) 1,032,708",1009672,866981,"(R) 942,142","(R) 1,051,990",1105743.0,1136249.0,1168011.0,1116236.0
2,Transportation as a percent of total expenditures,12.3,12.7,11.8,12.0,12.9,13.1,11.6,10.6,10.7,10.9,11.1,11.1,11.4,11.5,11.3,11.6,11.7,11.4,11.0,10.9,10.9,10.9,10.7,10.6,10.1,8.8,9.2,9.8,10.0,10.0,9.8,9.1
3,Food and beverage,83041,101623,145130,225387,360888,477253,653911,676347,690778,711879,740407,759884,788437,818204,849273,895860,949361,983666,1011363,1061478,1129028,1198859,1266512,1332965,1385350,1370292,1406610,1478650,1533918.0,1568374.0,1645088.0,1709474.0
4,Clothing and footwear,"(R) 29,262",36483,49944,71433,108834,154309,206534,"(R) 210,118","(R) 223,025",231122,"(R) 240,072",244705,"(R) 253,502","(R) 262,011",273082,"(R) 287,191",297541,294642,"(R) 295,169",301463,"(R) 313,500",326573,336346,"(R) 339,726",335351,"(R) 321,608",335798,"(R) 354,578",370080.0,379965.0,387780.0,396759.0
5,Communication,5206,"(R) 7,536","(R) 11,606","(R) 19,956","(R) 31,797",53104,70093,73870,81142,85767,93263,98943,108317,120106,"(R) 129,495",142299,"(R) 158,256","(R) 164,927",168929,174388,"(R) 181,117","(R) 186,987",201197,216417,"(R) 230,691","(R) 230,567","(R) 239,590","(R) 253,714",264630.0,270914.0,288171.0,296866.0
6,Final consumption expenditures of nonprofit institutions serving� households,5059,6962,10474,17013,30033,47907,75861,80127,87934,90065,97762,102328,110044,105588,123807,138229,158041,179082,198342,205512,206372,210268,239185,248780,282144,276017,275350,274999,292870.0,304851.0,313562.0,327910.0
7,Health,"(R) 20,362","(R) 31,978",56849,"(R) 102,718",195473,345323,"(R) 583,725",638374,700443,"(R) 741,682",779896,"(R) 826,008","(R) 868,313","(R) 919,881","(R) 979,652","(R) 1,033,335","(R) 1,109,594",1209403,"(R) 1,317,081","(R) 1,411,307","(R) 1,516,185",1614016,1717339,"(R) 1,826,827",1914173,2000918,2080439,"(R) 2,176,926",2266212.0,2322992.0,2446456.0,2602443.0
8,Household operationa,26179,34706,46617,"(R) 67,804","(R) 110,736","(R) 155,992",200559,"(R) 199,110","(R) 209,399",221891,"(R) 238,615","(R) 251,693","(R) 263,722",277270,297117,320243,343425,352401,"(R) 365,296","(R) 380,369",407131,"(R) 431,154","(R) 449,922",453747,442035,"(R) 409,813",417317,"(R) 435,205",452360.0,468552.0,487975.0,506312.0
9,"Housing, utilities, and fuels",60525,80999,113786,"(R) 184,844",327662,"(R) 513,936","(R) 709,298","(R) 747,524",783255,827304,876082,"(R) 926,674",976690,1023056,1077040,1135488,1214463,"(R) 1,302,992","(R) 1,347,873","(R) 1,411,556","(R) 1,488,440",1605961,1706098,"(R) 1,783,811",1869894,1905264,1935142,1989006,2021768.0,2080791.0,2170575.0,2253892.0
10,Financial services and insurance,13551,19395,31073,54018,95609,188094,247390,266788,295090,332586,346875,366379,392349,429244,467277,509124,566284,552822,562584,588472,635347,689633,724208,768491,771483,718956,763238,795799,789303.0,830742.0,885667.0,921054.0
11,Recreation,"(R) 19,712",28891,"(R) 47,016",77053,"(R) 127,439",207163,"(R) 314,744","(R) 326,271","(R) 346,840",378423,"(R) 413,997","(R) 449,769","(R) 481,537","(R) 509,503",544345,"(R) 589,944","(R) 633,685","(R) 646,980","(R) 669,336","(R) 704,292",758713,804574,"(R) 854,113","(R) 893,840","(R) 899,642",861781,888288,"(R) 922,796",968157.0,1003037.0,1041847.0,1087027.0
12,Education,"(R) 3,361",5465,"(R) 9,913",15886,"(R) 25,444","(R) 41,171","(R) 65,957",70561,76442,"(R) 81,087",86364,92304,99626,107120,"(R) 115,245",123931,"(R) 134,290",143615,"(R) 149,528",159516,168997,180507,"(R) 193,073",205998,218374,229051,244931,256286,262459.0,269168.0,278590.0,288267.0
13,"Foreign travel, net",2121,2858,4514,4445,3540,"(R) 7,741",-7673,"-(R) 15,220","-(R) 20,034",-20674,-17417,-21291,"-(R) 24,236","-(R) 21,480","-(R) 15,645",-26984,-26424,-15804,-11366,-5303,"-(R) 3,121",-4730,"-(R) 1,463","-(R) 10,410","-(R) 18,138","-(R) 16,990","-(R) 27,297",-33725,-31775.0,-48784.0,-52030.0,-56887.0
14,Other,"(R) 22,434","(R) 30,158",44263,"(R) 67,806",110675,173267,"(R) 262,298",268009,"(R) 290,056",304538,"(R) 316,870",332720,"(R) 350,832","(R) 368,397","(R) 393,720","(R) 429,351","(R) 458,495","(R) 477,903",496803,"(R) 526,522","(R) 559,062","(R) 589,541","(R) 624,535","(R) 657,602","(R) 672,974","(R) 672,712","(R) 700,647","(R) 733,077",754903.0,774322.0,801673.0,834329.0
15,Disposable Personal Income (DPI),376500,513200,761500,1219300,2018000,3098500,4311800,4484500,4800200,5000200,5244200,5532600,5829900,6148800,6561300,6876300,7400500,7752300,8099200,8485800,9002300,9400800,10036900,10507000,10994400,10942500,11237900,11801400,12403700.0,12395800.0,13022700.0,13519800.0
16,Transportation as a percent of DPI,10.8,11.0,10.0,10.2,11.2,11.5,10.3,9.3,9.4,9.7,10.1,10.0,10.3,10.4,10.2,10.6,10.7,10.5,10.0,10.0,10.0,10.2,9.9,9.8,9.2,7.9,8.4,8.9,8.9,9.2,9.0,8.3
