,Â,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,(R) 2012,(R) 2013,2014
0,"Employee fatalities, total",40,35,34,47,31,34,33,37,27,31,24,22,20,19,25,25,16,17,25,16,20,21,16,14,10
1,Grade-crossing accidents and incidents,5,1,2,3,1,2,1,0,4,2,2,1,1,1,2,2,4,1,3,0,0,6,1,1,0
2,Train accidents and incidents only (grade-crossing excluded),35,34,32,44,30,32,32,37,23,29,22,21,19,18,23,23,12,16,22,16,20,15,15,13,10
3,"Employee injuries, total",20970,19626,17755,15363,13080,10777,9199,8295,8398,8622,8423,7815,6644,6248,6022,5822,5274,5456,5000,4500,4411,"(R) 4,224",3988,4279,4446
4,Grade-crossing accidents and incidents,169,147,157,143,126,123,79,111,122,140,100,97,110,76,116,111,96,105,75,72,80,(R) 72,76,84,55
5,Train accidents and incidents only (grade-crossing excluded),20801,19479,17598,15220,12954,10654,9120,8184,8276,8482,8323,7718,6534,6172,5906,5711,5178,5351,4925,4428,4331,"(R) 4,152",3912,4195,4391
6,Employee hours (millions),553.6,530.7,517.0,519.7,518.6,510.3,504.6,503.9,514.9,510.0,490.9,475.1,454.1,451.1,458.4,478.5,485.9,483.6,478.1,430.0,437.5,460.1,458.9,462.9,483.1
7,Fatality rates per million employee hours,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
8,All accidents / incidents,0.07,0.07,0.07,0.09,0.06,0.07,0.07,0.07,0.05,0.06,0.05,0.05,0.04,0.04,0.05,0.05,0.03,0.04,0.05,0.04,0.05,0.05,0.03,0.03,0.02
9,Grade-crossing accidents and incidents,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,0.01,<0.01,<0.01,<0.01
10,Train accidents and incidents only (grade-crossing excluded),0.06,0.06,0.06,0.08,0.06,0.06,0.06,0.07,0.04,0.06,0.04,0.04,0.04,0.04,0.05,0.05,0.02,0.03,0.05,0.04,0.05,0.03,0.03,0.03,0.02
11,Injury rates per million employee hours,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
12,All accidents / incidents,37.9,37.0,34.3,29.6,25.2,21.1,18.2,16.5,16.3,16.9,17.2,16.4,14.6,13.8,13.1,12.2,10.9,11.3,10.5,10.5,10.1,9.2,8.7,9.2,9.2
13,Grade-crossing accidents and incidents,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1
14,Train accidents and incidents only (grade-crossing excluded),37.6,36.7,34.0,29.3,25.0,20.9,18.1,16.2,16.1,16.6,17.0,16.2,14.4,13.7,12.9,11.9,10.7,11.1,10.3,10.3,9.9,9.0,8.5,9.1,9.1
15,"Train-miles (millions)a,b",609,577,594,614,655,670,671,677,683,712,723,712,729,744,770,789,814,794,774,668,705,718,732,749,766
16,Fatality rates per million train-miles,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
17,All accidents / incidents,0.07,0.06,0.06,0.08,0.05,0.05,0.05,0.05,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.03,0.02,0.03,0.03,0.02,0.02,0.01
18,Grade-crossing accidents and incidents,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01
19,Train accidents and incidents only (grade-crossing excluded),0.06,0.06,0.05,0.07,0.05,0.05,0.05,0.05,0.03,0.04,0.03,0.03,0.03,0.02,0.03,0.03,0.01,0.02,0.03,0.02,0.03,0.02,0.02,0.02,0.01
20,Injury rates per million train-miles,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
21,All accidents/incidents,34.4,34.0,29.9,25.0,20.0,16.1,13.7,12.3,12.3,12.1,11.7,11.0,9.1,8.4,7.8,7.4,6.5,6.9,6.5,6.7,6.3,5.9,5.5,5.7,5.8
22,Grade-crossing accidents and incidents,0.3,0.3,0.3,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.1,0.1,0.2,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
23,Train accidents and incidents only (grade-crossing excluded),34.2,33.8,29.6,24.8,19.8,15.9,13.6,12.1,12.1,11.9,11.5,10.8,9.0,8.3,7.7,7.2,6.4,6.7,6.4,6.6,6.1,5.8,5.3,5.6,5.7
