,Â,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
0,"TOTAL, all modes",167820,173523,181251,187924,208306,219989,249606,265986,277450,274638,286599,296268,319304,343856,362297,365414,360064,372931
1,Federal,44493,44360,45372,45670,51936,54898,68768,77965,82016,76195,78559,75339,77685,87355,91823,93937,89430,91580
2,State and local,123327,129163,135878,142254,156371,165090,180838,188021,195434,198443,208040,220929,241619,256501,270474,271476,270633,281350
3,"Highways, total",108540,113466,118225,123068,134218,145620,154722,163550,168445,169337,178184,190377,209341,219026,229364,237664,235087,245842
4,Federal,20149,20698,21407,20734,23536,27900,30112,32632,33112,33352,33528,35759,36817,40405,42435,49893,45288,48337
5,State and local,88391,92768,96817,102334,110683,117720,124610,130918,135334,135986,144656,154618,172524,178622,186930,187771,189799,197505
6,"Air, total",21005,21350,22074,23164,27621,23910,37122,42004,36860,39882,42284,43488,43340,48372,49634,45930,44520,44806
7,Federal,12608,12501,11879,12625,14944,10750,21503,25654,19694,21775,24314,25518,25008,27095,26884,21714,21801,21229
8,State and local,8397,8849,10195,10539,12677,13160,15619,16350,17166,18107,17970,17970,18332,21277,22750,24216,22719,23577
9,"Transit, total",29901,30466,32307,33175,38169,41592,46055,48929,48808,52109,53846,49506,52387,61588,66002,64765,62848,64794
10,Federal,5718,5547,6314,6640,8289,10565,11506,11834,11813,12020,12396,5492,6419,9936,11273,10668,9955,9742
11,State and local,24183,24919,25993,26535,29880,31027,34549,37095,36995,40089,41450,44014,45968,51652,54729,54097,52893,55052
12,"Water, total",6557,6430,6686,6679,7097,7287,9984,7903,11202,10247,9560,10126,11351,11991,13874,13350,13843,13386
13,Federal,4247,3853,3877,3894,4027,4147,3989,4332,5327,6201,5664,5850,6593,7077,7860,8009,8675,8218
14,State and local,2309,2578,2809,2785,3070,3141,5995,3571,5875,4047,3896,4276,4758,4914,6015,5341,5168,5168
15,"Rail, total",1089,1068,1215,1117,447,785,771,1356,1250,1547,1489,1522,1503,1489,1837,2665,2409,2260
16,Federal,1063,1041,1176,1081,413,772,740,1313,1228,1527,1454,1502,1498,1488,1837,2665,2409,2260
17,State and local,26,27,39,36,34,13,31,43,22,20,35,20,5,1,0,0,0,0
18,"Pipeline, total",43,67,63,69,70,77,61,89,125,71,86,92,95,96,117,125,130,111
19,Federal,33,56,51,56,56,64,47,70,106,61,67,73,76,73,82,95,98,86
20,State and local,10,11,12,13,14,13,14,19,19,10,19,19,19,23,35,30,32,25
21,"General support, total",685,677,680,651,683,717,891,2154,10761,1445,1151,1157,1287,1293,1469,915,1226,1730
22,Federal,674,665,668,639,671,701,871,2130,10737,1260,1137,1145,1274,1281,1453,893,1205,1708
23,State and local,11,12,12,12,12,16,20,24,24,185,14,12,13,12,16,22,21,22
