,Â,Petroleum,Electricity,Natural gas,Coal and otherd,Total,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
0,Motor gasoline,Fuel oil,Jet fuel and aviation gas,Otherc,Total,,,,,
1,"FY 2003, total",45.7,189.8,517.9,6.6,760.3,196.1,139.7,40.2,1136.3
2,Agriculture,2.2,0.4,0.0,0.7,3.3,2.6,1.4,0.3,7.7
3,Defense,16.5,166.5,509.9,4.2,697.1,101.1,76.6,27.6,902.3
4,Energy,0.9,2.0,Z,0.1,3.0,18.0,7.0,3.6,31.6
5,GSA,0.1,0.1,0.0,0.0,0.2,10.0,7.6,1.8,19.6
6,Health and Human Services,0.5,0.9,0.0,0.1,1.5,3.6,3.7,1.3,10.1
7,Interior,2.4,1.2,0.1,0.7,4.4,2.4,1.3,0.1,8.2
8,Justice,4.5,0.4,1.5,0.0,6.5,7.0,8.6,0.7,22.7
9,NASA,0.2,0.4,0.6,0.1,1.4,5.8,2.9,0.8,10.8
10,Postal Service,12.9,5.1,0.0,0.2,18.2,21.7,10.4,0.7,50.9
11,Transportation,0.7,0.3,0.6,0.1,1.6,3.2,0.7,0.0,5.6
12,Veterans Affairs,0.9,1.9,0.0,0.0,2.8,10.2,15.6,1.9,30.5
13,Othera,4.1,10.7,5.2,0.3,20.3,10.5,4.2,1.2,36.2
14,"FY 2010, total",(R) 51.3,(R) 158.4,536.2,(R) 4.8,(R) 750.7,(R) 195.1,(R) 129.3,(R) 36.9,"(R) 1,112.0"
15,Agriculture,2.2,0.6,(R) 0.0,0.4,3.2,1.9,1.4,0.3,6.8
16,Defense,18.6,138.2,529.2,2.7,688.8,(R) 103.2,72.9,(R) 24.3,(R) 889.3
17,Energy,0.6,1.6,0.2,0.4,2.8,(R) 17.1,7.1,(R) 4.7,(R) 31.7
18,GSA,0.1,0.1,0.0,Z,0.2,9.9,7.0,1.8,18.8
19,Health and Human Services,0.2,0.6,0.0,0.1,0.8,3.4,5.9,0.1,10.3
20,Interior,2.1,1.3,Z,0.4,3.8,(R) 2.7,1.1,0.8,8.3
21,Justice,2.8,0.3,0.3,0.1,3.4,5.4,6.8,0.1,(R) 15.7
22,NASA,0.1,0.3,0.8,0.1,1.2,(R) 5.4,2.6,(R) 0.8,10.1
23,Postal Service,14.5,4.6,0.0,0.3,19.4,17.8,4.5,0.5,(R) 42.3
24,Transportation,0.6,0.2,0.5,Z,1.5,(R) 4.0,0.3,(R) 0.0,5.7
25,Veterans Affairs,0.9,1.1,0.0,0.1,2.1,(R) 11.1,14.9,2.1,30.2
26,Otherb,(R) 8.5,(R) 9.5,5.1,0.3,(R) 23.4,(R) 13.3,(R) 4.7,(R) 1.4,(R) 42.8
27,"FY 2011P, total",52.5,167.3,534.5,4.7,759.0,195.9,125.7,36.0,1116.6
28,Agriculture,2.6,0.6,1.0,0.4,4.6,1.8,1.7,0.2,8.3
29,Defense,19.7,146.1,526.9,2.6,695.3,104.1,68.6,22.3,890.3
30,Energy,0.7,2.4,0.2,0.4,3.6,17.9,7.4,4.6,33.4
31,GSA,0.1,0.1,0.0,Z,0.2,9.5,7.1,1.8,18.5
32,Health and Human Services,0.2,0.6,0.0,0.1,0.9,3.5,5.9,0.2,10.5
33,Interior,2,1.4,Z,0.2,3.7,2.7,1.2,0.7,8.3
34,Justice,3,0.3,0.7,0.2,4.1,5.3,4.2,0.4,13.9
35,NASA,0.1,0.2,0.7,0.1,1.1,5.4,2.5,1.1,10.1
36,Postal Service,15.4,4.9,0.0,0.3,20.5,16.9,6.3,0.7,44.4
37,Transportation,0.4,0.1,0.5,Z,1.1,4.1,0.8,0.7,6.7
38,Veterans Affairs,1.1,1.1,0.0,0.1,2.3,11.4,15.1,1.8,30.6
39,Otherb,7.3,9.5,4.5,0.3,21.6,13.4,5.0,1.5,41.5
