,SAFETY,1960,1970,1980,1990,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
0,"Fatalities, totalh",787,1310.0,1239.0,770.0,730.0,734.0,636.0,631.0,624.0,621.0,596.0,562.0,581,633.0,559,563,706.0,496,(R) 496,479,458,452,437,391,419
1,Corporate,N,28.0,66.0,21.0,6.0,15.0,20.0,3.0,0.0,30.0,13.0,12.0,5,5.0,10,8,3.0,5,0,U,U,U,U,U,U
2,Business,N,148.0,126.0,80.0,64.0,73.0,44.0,45.0,42.0,55.0,43.0,50.0,39,33.0,45,14,37.0,25,32,U,U,U,U,U,U
3,Instructional,N,93.0,73.0,62.0,47.0,44.0,40.0,38.0,38.0,38.0,64.0,40.0,42,71.0,31,45,47.0,30,37,U,U,U,U,U,U
4,Personal,N,726.0,808.0,492.0,472.0,488.0,413.0,432.0,432.0,383.0,386.0,376.0,407,444.0,369,415,369.0,361,332,U,U,U,U,U,U
5,Aerial application,N,41.0,32.0,17.0,17.0,15.0,10.0,17.0,6.0,14.0,19.0,14.0,14,6.0,10,14,8.0,7,7,U,U,U,U,U,U
6,Other,N,174.0,134.0,95.0,138.0,112.0,119.0,106.0,112.0,105.0,87.0,73.0,77,84.0,95,72,234.0,73,89,U,U,U,U,U,U
7,"Accidents, total",4793,4712.0,3590.0,2242.0,2021.0,2056.0,1908.0,1840.0,1902.0,1905.0,1837.0,1727.0,"(R) 1,716",1741.0,"(R) 1,619","(R) 1,671",1523.0,"(R) 1,654","(R) 1,568",1480,1440,1470,1470,1224,1221
8,Fatal,429,641.0,618.0,444.0,404.0,412.0,361.0,350.0,364.0,340.0,345.0,325.0,345,352.0,314,321,308.0,288,277,275,271,269,272,222,253
9,"Accident rate (per 100,000 flight hours)i,j",36.5,18.1,9.9,7.3,8.4,7.7,7.1,6.6,6.8,6.1,6.1,6.4,(R) 6.3,6.4,(R) 5.8,(R) 6.2,5.5,(R) 5.9,(R) 6.0,6.2,5.8,U,6.0,5.4,5.2
10,Fatal,3.3,2.5,1.7,1.4,1.7,1.5,1.3,1.3,1.3,1.1,1.2,1.2,1.3,1.3,1.1,1.2,1.1,1.0,(R) 1.1,1.2,1.1,U,1.1,1.0,1.1
