,Â,1980,1985,1990,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,(R) 2012,2013
0,Fatalities,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
1,"Rural, total",29545,24492,25786,23978,24281,24811,24751,25185,23984,24835,25735,24860,24954,24387,23406,22707,20807,19190,17968,17633,18166,17636
2,Interstate,2263,2141,2707,2675,2924,3040,3105,3244,3254,3142,3298,3144,3227,3248,2887,2658,2416,2045,2113,1969,1835,1994
3,Other arterialsa,12268,9940,9893,9947,9435,9678,9594,9573,9007,9267,9361,9720,10210,9304,8900,8758,7873,7609,7001,7039,7701,7410
4,Collectorb,10004,8209,8852,7401,7526,7643,7593,7595,7309,7714,8017,7630,7355,7392,7325,7027,6491,5910,5314,5171,5178,4747
5,Local,5010,4202,4334,3955,4396,4450,4459,4773,4414,4712,5059,4366,4162,4443,4294,4264,4027,3626,3540,3454,3452,3485
6,"Urban, total",21546,19333,18813,17839,17299,16758,16143,15970,15855,16895,16978,17693,17370,18553,18742,17467,15956,14460,14642,14542,15334,15102
7,Interstate,2184,2025,2252,2154,2321,2292,2283,2353,2419,2523,2482,2500,2602,2734,2663,2608,2259,2049,2124,2159,2150,2101
8,Other arterialsa,12752,12521,11742,10916,10718,10239,9902,9628,9523,9928,9848,10342,10093,10935,10944,9876,9056,8155,8471,8277,8753,8638
9,Collector,2226,1696,1427,1441,1208,1163,1037,1031,1001,1094,1151,1323,1385,1426,1513,1437,1239,1158,1069,1137,1236,1114
10,Local,4384,3091,3392,3328,3052,3064,2921,2958,2912,3350,3497,3528,3290,3458,3622,3546,3402,3098,2978,2969,3195,3249
11,Vehicle-miles of travel (VMT) (millions),Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
12,"Rural, total",672030,730728,868878,933289,960194,999277,1032528,1062623,1083152,1109363,1127394,1084443,1068426,1032426,1037146,1032790,988235,982180,984148,974038,977078,941912
13,Interstate,135084,154357,200173,223382,232565,240255,251520,260166,268180,273619,280609,269650,266245,256642,257915,256438,243221,242178,245647,243587,245872,234303
14,Other arterialsa,262774,282803,330866,368595,378847,392057,403484,413320,420599,427482,433930,417299,409413,396455,394582,393465,374235,372860,376413,373099,371953,358762
15,Collectorb,189468,206669,240460,236148,241030,254100,257868,264453,267231,272074,274869,262799,260664,250701,251367,246927,236954,231337,229357,227754,228771,221223
16,Local,84704,86899,97379,105164,107752,112865,119656,124684,127142,136188,137986,134695,132104,128628,133282,135960,133825,135805,132731,129597,130482,127623
17,"Urban, total",855265,1044098,1275484,1489534,1523886,1552956,1595620,1627618,1663773,1686247,1728114,1805778,1896362,1957004,1977225,1998334,1988293,1974583,1982358,1972094,1992355,2046411
18,Interstate,161242,216188,278901,341528,351579,361433,374622,383259,393465,399986,409208,432757,455538,470925,477287,483315,476114,474798,477693,476704,484548,505309
19,Other arterialsa,484189,578270,699233,815170,834623,846627,862996,878153,900392,913936,937935,974933,1021705,1051088,1060266,1067127,1061589,1053529,1052572,1044104,1052161,1068927
20,Collector,83043,89578,106297,126929,129310,130146,131905,131603,135372,137921,141964,154453,162218,170265,173216,175966,177140,179993,180565,178778,179497,188547
21,Local,126791,160062,191053,205907,208374,214750,226097,234603,234544,234404,239007,243635,256901,264726,266456,271926,273450,266264,271528,272507,276149,283628
22,Fatality rates per 100 million vehicle miles,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
23,"Rural, total",4.40,3.35,2.97,2.57,2.53,2.48,2.40,2.37,2.21,2.24,2.28,2.29,2.34,2.36,2.26,2.20,2.11,1.95,1.83,1.81,1.86,1.87
24,Interstate,1.68,1.39,1.35,1.20,1.26,1.27,1.23,1.25,1.21,1.15,1.18,1.17,1.21,1.27,1.12,1.04,0.99,0.84,0.86,0.81,0.75,0.85
25,Other arterialsa,4.67,3.51,2.99,2.70,2.49,2.47,2.38,2.32,2.14,2.17,2.16,2.33,2.49,2.35,2.26,2.23,2.10,2.04,1.86,1.89,2.07,2.07
26,Collectorb,5.28,3.97,3.68,3.13,3.12,3.01,2.94,2.87,2.74,2.84,2.92,2.90,2.82,2.95,2.91,2.85,2.74,2.55,2.32,2.27,2.26,2.15
27,Local,5.91,4.84,4.45,3.76,4.08,3.94,3.73,3.83,3.47,3.46,3.67,3.24,3.15,3.45,3.22,3.14,3.01,2.67,2.67,2.67,2.65,2.73
28,"Urban, total",2.52,1.85,1.47,1.20,1.14,1.08,1.01,0.98,0.95,1.00,0.98,0.98,0.92,0.95,0.95,0.87,0.80,0.73,0.74,0.74,0.77,0.74
29,Interstate,1.35,0.94,0.81,0.63,0.66,0.63,0.61,0.61,0.61,0.63,0.61,0.58,0.57,0.58,0.56,0.54,0.47,0.43,0.44,0.45,0.44,0.42
30,Other arterialsa,2.63,2.17,1.68,1.34,1.28,1.21,1.15,1.10,1.06,1.09,1.05,1.06,0.99,1.04,1.03,0.93,0.85,0.77,0.80,0.79,0.83,0.81
31,Collectorb,2.68,1.89,1.34,1.14,0.93,0.89,0.79,0.78,0.74,0.79,0.81,0.86,0.85,0.84,0.87,0.82,0.70,0.64,0.59,0.64,0.69,0.59
32,Local,3.46,1.93,1.78,1.62,1.46,1.43,1.29,1.26,1.24,1.43,1.46,1.45,1.28,1.31,1.36,1.30,1.24,1.16,1.10,1.09,1.16,1.15
