,Â,1980,1985,1990,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,(R) 2010,(R) 2011,(R) 2012,2013,2014
0,TOTAL U.S. resident populationa (thousands),227225,237924,249464,262803,265229,267784,270248,272691,282162,284969,287625,290108,292805,295517,298380,301231,304094,306772,309347,311722,314112,316498,318857
1,Population by Age (thousands),Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
2,Under 18,63683,62624,64177,68555,69109,69603,69903,70199,72376,72671,72936,73101,73298,73524,73758,74019,74105,74134,74123,73917,73712,73610,73584
3,18-24 years,30103,28902,26835,25112,24843,24980,25476,26011,27315,27993,28481,28917,29302,29442,29603,29808,30194,30530,30767,31094,31397,31534,31464
4,25-34,37429,41697,43148,40730,40246,39559,38743,37936,39804,39472,39350,39244,39267,39259,39395,39713,40207,40723,41215,41820,42330,42902,43517
5,35-44,25805,31691,37777,42555,43365,44014,44498,44813,45169,45052,44641,44154,43800,43506,43244,42796,42192,41488,40986,40672,40575,40539,40513
6,45-54,22743,22459,25194,31100,32358,33625,34575,35802,37999,39386,39992,40820,41630,42496,43286,43940,44460,44867,44991,44761,44318,43846,43459
7,55-64,21754,22135,21093,21132,21353,21816,22666,23389,24429,25105,26703,28009,29305,30641,31930,33128,34157,35406,36786,38090,38615,39343,40078
8,65 and over,25707,28416,31241,33619,33957,34185,34385,34540,35070,35290,35522,35864,36203,36650,37164,37826,38778,39623,40479,41367,43165,44723,46243
9,Population by Sexa (thousands),Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
10,Male,110399,115730,121626,128294,129504,130783,132030,133277,138443,139891,141231,142429,143828,145197,146647,148065,149490,150807,152089,153295,154529,155741,156936
11,Female,116826,122194,127838,134510,135724,137001,138218,139414,143719,145077,146395,147679,148977,150320,151733,153166,154604,155964,157258,158427,159584,160756,156936
12,"Population in Metropolitan areasb,c (thousands)",177000,U,198000,210000,212000,214000,216417,218607,233791,236676,239295,241702,244265,246815,249394,252181,254813,257355,263042,265421,267864,270278,272668
13,Large (over 1 million),119000,U,139000,147000,149000,151000,153143,155905,149757,151843,154596,156164,157802,159424,159921,163742,166565,168350,168925,170666,172444,174229,175970
14,"Medium (250,000-999,999)",41000,U,41000,44000,44000,43000,43366,42680,56190,57034,56643,56979,58123,58780,61057,60481,60034,61063,65755,66250,66746,67239,67741
15,"Small (less than 250,000)",17000,U,18000,19000,19000,20000,19908,20022,27843,27799,28055,28559,28341,28611,28416,27958,28214,27942,28362,28505,28673,28810,28957
16,Population in Micropolitan areasb (thousands),,,,,,,,,29189,29261,29374,29488,29634,29784,30010,30186,30339,30450,27171,27198,27218,27230,27243
17,Population in Rural / Urband areas (thousands),Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
18,Rural,59495,U,61656,U,U,U,U,U,59061,U,U,U,U,U,U,U,U,U,U,U,U,U,U
19,Urban,167051,U,187053,U,U,U,U,U,222361,U,U,U,U,U,U,U,U,U,U,U,U,U,U
20,Population in Regionsa (thousands),Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
21,Northeast,49183.0,49869.0,50875.6,51443.9,51520.3,51591.3,51685.7,51830.0,53667.5,53930.0,54167.7,54364.5,54514.3,54598.2,54710.0,54879.4,55060.2,55283.7,55381.7,55635.7,55832.0,56028.2,56152
22,South,75721.0,81409.0,85731.7,91777.7,92947.2,94176.8,95348.8,96468.5,100559.9,101868.6,103185.0,104431.6,105874.0,107411.0,108930.8,110573.4,112021.0,113317.9,114871.2,116089.9,117346.3,118522.8,119772
23,Midwest,58901.2,58820.0,59765.4,61991.9,62371.5,62675.5,62950.5,63242.3,64494.0,64815.4,65074.7,65319.0,65587.7,65806.4,66082.1,66359.2,66595.6,66836.9,66972.4,67149.7,67331.5,67567.9,67745
24,West,43419.4,47827.0,53091.6,57589.7,58389.6,59340.0,60263.0,61150.1,63450.6,64467.5,65376.4,66211.3,67069.7,67937.5,68870.3,69767.9,70698.0,71568.1,72121.7,72846.4,73602.3,74378.6,75188
25,Number of Immigrants admittede,524295,568149,1535872,720177,915560,797847,653206,644787,841002,1058902,1059356,703542,957883,1122257,1266129,1052415,1107126,1130818,1042625,1062040,1031631,990553,U
26,Total areaf (square miles),3618770,U,3717796,U,U,U,U,U,3794083,U,U,U,U,U,U,U,U,U,3796742,U,U,U,U
27,Gross domestic product (billions of chained 2009 dollars)g,5839.0,6849.3,8027.1,9086.0,9425.8,"(R) 11,034.9","(R) 11,525.9","(R) 12,065.9","(R) 12,559.7","(R) 12,682.2","(R) 12,908.8","(R) 13,271.1","(R) 13,773.5","(R) 14,234.2","(R) 14,613.8","(R) 14,873.7","(R) 14,830.4","(R) 14,418.7",14783.8,15020.6,15369.2,15710.3,16085.6
28,"Government, total",U,U,1403.7,1422.9,1429.2,"(R) 1,797.0","(R) 1,818.5","(R) 1,840.5","(R) 1,876.2","(R) 1,893.1","(R) 1,927.7","(R) 1,950.7","(R) 1,968.4","(R) 1,985.2","(R) 1,996.7","(R) 2,017.7","(R) 2,054.6","(R) 2,065.8",2079.8,2071.7,2062.3,2049.4,2042.8
29,"Private industry, total",U,U,6761.7,7738.3,8073.2,"(R) 9,423.9","(R) 9,873.6","(R) 10,385.9","(R) 10,826.2","(R) 10,927.0","(R) 11,120.2","(R) 11,432.2","(R) 11,886.2","(R) 12,311.1","(R) 12,678.6","(R) 12,873.1","(R) 12,760.2","(R) 12,353.0",12650.2,12871.7,13185.8,13482.8,13829.7
30,"Agriculture, forestry, fishing, and hunting",U,U,76.4,75.7,84.3,91.0,(R) 87.6,(R) 92.1,(R) 105.8,(R) 100.4,(R) 104.2,(R) 114.2,(R) 121.4,(R) 127.2,(R) 132.4,(R) 114.3,(R) 122.0,(R) 137.7,140.3,134.0,129.5,145.1,134.6
31,Mining,U,U,251.5,275.9,257.0,(R) 236.7,(R) 248.6,(R) 237.3,(R) 210.7,(R) 246.5,(R) 242.2,(R) 216.1,(R) 214.1,(R) 212.9,(R) 235.7,(R) 251.3,(R) 254.2,(R) 290.3,272.7,290.1,319.5,332.7,356.7
32,Utilities,U,U,196.8,211.3,209.4,(R) 266.9,(R) 254.6,(R) 297.9,(R) 304.0,(R) 257.6,(R) 262.7,(R) 255.0,(R) 267.2,(R) 250.6,(R) 264.2,(R) 267.4,(R) 269.7,(R) 250.8,274.4,277.9,279.2,281.9,281.6
33,Construction,U,U,519.3,540.4,569.5,(R) 686.8,(R) 715.5,(R) 741.3,(R) 768.9,(R) 755.4,(R) 731.5,(R) 744.4,(R) 770.5,(R) 772.8,(R) 753.5,(R) 725.1,(R) 662.2,(R) 577.3,551.6,548.6,570.9,581.6,577.8
