,Â,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
0,Fatalitiesa,339,300,273,281,320,274,264,275,286,299,295,267,280,234,248,236,227,288,220,247,239,323,373,375,332
1,"Injuriesa,b",54556,52125,55089,52668,58193,57196,55288,56132,55990,55325,56697,53945,19260,18235,18982,18131,19238,20625,23067,24614,23584,22250,23099,24697,22333
2,"Accidentsb,c",58002,46467,36380,30559,29972,25683,25166,24924,23937,23310,24261,23891,13968,7793,7842,8151,8970,9398,3366,3433,3400,3532,3379,4205,4693
3,"Incidentsa,b,c (includes accidents)",90163,83139,73531,64986,70693,62471,59392,61561,60094,58703,59898,58149,30331,19797,20939,21016,22593,23935,22163,22995,21526,19492,20061,21885,19305
4,Vehicle-miles (millions),2490,2478,2510,2535,2581,2620,2605,2702,2833,2927,3002,3090,3084,3071,3139,3098,3126,3166,3254,3330,3330,3082,3783,3700,3752
5,Rates per 100 million vehicle-milesd,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
6,Fatalities (all reportable incidents),13.6,12.1,10.9,11.1,12.4,10.5,10.1,10.2,10.1,10.2,9.8,8.6,9.1,7.6,7.9,7.6,7.3,9.1,6.8,7.4,7.2,10.5,9.9,10.1,8.8
7,Injuries (all reportable incidents),2191,2103,2195,2077,2254,2183,2122,2078,1976,1890,1889,1746,624,594,605,585,615,651,709,739,708,722,611,667,595
8,Accidents,2329,1875,1450,1205,1161,980,966,922,845,796,808,773,453,254,250,263,287,297,103,103,102,115,89,114,125
9,"Property damageb,e (current $ millions)",38.0,37.5,37.5,44.9,38.4,46.3,57.6,55.5,61.5,55.3,58.9,73.1,32.2,59.2,43.4,71.7,37.9,39.7,57.9,62.6,50.3,48.0,*453.0,45.0,57.2
