,Urban area,Population group,Annual congestion cost per auto commuter (2014 dollars),Annual congestion cost (2014 dollars- millions),Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69
0,Value,Rank,Value,Rank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,(R) 1998,(R) 1999,(R) 2000,(R) 2001,(R) 2002,(R) 2003,(R) 2004,(R) 2005,(R) 2006,(R) 2007,(R) 2008,(R) 2009,(R) 2010,(R) 2011,2012.0,2013.0,2014.0,(R) 1998,(R) 1999,(R) 2000,(R) 2001,(R) 2002,(R) 2003,(R) 2004,(R) 2005,(R) 2006,(R) 2007,(R) 2008,(R) 2009,(R) 2010,(R) 2011,2012.0,2013.0,2014.0,(R) 1998,(R) 1999,(R) 2000,(R) 2001,(R) 2002,(R) 2003,(R) 2004,(R) 2005,(R) 2006,(R) 2007,(R) 2008,(R) 2009,(R) 2010,(R) 2011,2012.0,2013.0,2014.0,(R) 1998,(R) 1999,(R) 2000,(R) 2001,(R) 2002,(R) 2003,(R) 2004,(R) 2005,(R) 2006,(R) 2007,(R) 2008,(R) 2009,(R) 2010,(R) 2011,2012.0,2013.0,2014.0,,
2,"Akron, OH",Medium,789,783,780,760,767,768,770,759,752,747,699,645,637.0,622.0,625.0,627,634,59,65,69,75,76,79,79,80,80,85,87,88,89.0,90.0,90.0,90,90,354,351,350,341,344,345,345,341,337,335,314,289,286.0,279.0,281.0,281,284,67,68,72,72,72,73,74,75,75,75,79,80,81.0,81.0,81.0,82.0,80.0
3,"Albany-Schenectady, NY",Medium,679,704,762,791,841,936,985,1060,1063,1064,1029,1020,1011.0,990.0,983.0,988,991,74,75,73,72,69,60,53,41,36,38,39,37,38.0,39.0,40.0,41,39,328,340,368,382,406,452,476,512,514,514,497,493,488.0,478.0,475.0,477,479,70,71,67,67,65,64,60,57,58,58,58,58,59.0,59.0,59.0,58.0,58.0
4,"Albuquerque, NM",Medium,1086,1128,1106,1086,1078,1065,1054,1039,1007,992,969,934,917.0,901.0,892.0,889,886,17,17,23,28,33,35,40,44,49,55,52,53,55.0,57.0,61.0,61,63,614,638,625,614,610,602,596,587,569,561,548,528,518.0,509.0,504.0,503,501,48,48,50,51,52,52,53,53,54,56,55,55,55.0,55.0,56.0,57.0,56.0
5,"Allentown-Bethlehem, PA-NJ",Medium,925,930,946,917,906,859,844,827,801,783,725,711,727.0,713.0,704.0,699,694,36,42,42,52,60,71,73,76,77,79,85,82,82.0,83.0,84.0,87,87,524,527,536,520,514,487,478,468,454,444,411,403,412.0,404.0,399.0,396,393,54,55,54,54,55,59,59,61,63,65,67,66,65.0,65.0,67.0,67.0,67.0
6,"Anchorage, AK",Small,772,847,879,903,917,915,914,889,896,901,912,817,854.0,880.0,872.0,874,913,62,58,56,54,56,65,66,69,71,71,64,72,72.0,65.0,65.0,66,54,153,168,174,179,181,181,181,176,177,178,180,162,169.0,174.0,172.0,173,181,87,86,86,87,89,90,90,90,90,91,90,92,91.0,91.0,92.0,92.0,89.0
7,"Atlanta, GA",Very large,1194,1244,1253,1280,1317,1323,1323,1307,1284,1273,1214,1167,1159.0,1140.0,1132.0,1137,1130,10,9,10,10,11,11,13,13,14,15,15,17,20.0,22.0,23.0,22,22,3397,3537,3564,3640,3747,3763,3763,3717,3652,3620,3453,3320,3295.0,3241.0,3221.0,3233,3214,12,12,12,12,11,11,11,12,12,11,11,11,12.0,13.0,13.0,13.0,13.0
8,"Austin, TX",Large,700,761,792,856,893,935,987,1013,1044,1100,1069,1032,1078.0,1098.0,1134.0,1154,1159,73,69,67,63,65,61,52,47,41,32,35,34,31.0,24.0,22.0,20,20,689,749,779,842,878,920,971,996,1027,1082,1052,1015,1060.0,1080.0,1115.0,1135,1140,45,44,44,43,43,43,42,38,37,35,35,36,33.0,32.0,31.0,31.0,31.0
9,"Bakersfield, CA",Medium,167,167,171,204,226,272,337,363,386,419,453,398,420.0,429.0,439.0,437,512,100,100,100,100,100,100,99,98,98,99,99,99,99.0,98.0,98.0,98,94,70,70,72,85,95,114,141,152,162,175,190,166,176.0,180.0,184.0,183,215,96,97,97,96,96,96,96,95,93,92,88,90,90.0,88.0,87.0,88.0,87.0
