,Â,1975,1980,1985,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,(R) 2014,2015
0,Total traffic fatalitiesa,44525,51091,43825,44599,41508,39250,40150,40716,41817,42065,42013,41501,41717,41945,42196,43005,42884,42836,43510,42708,41259,37423,33883,32999,32479,33782,"(R) 32,893",32744,35092
1,Occupant fatalities (by vehicle type),35925,41927,36043,37134,34740,32880,33574,34318,35291,35695,35725,35382,35875,36348,36440,37375,37341,37304,37646,36956,35701,32103,28995,27889,27140,28003,"(R) 27,175",26901,28671
2,"Passenger car, total",25929,27449,23212,24092,22385,21387,21566,21997,22423,22505,22199,21194,20862,20699,20320,20569,19725,19192,18512,17925,16614,14646,13135,12491,12014,12361,12037,11947,12628
3,Subcompactb,3675,7124,7851,8309,7694,7028,6968,7060,6791,6618,6220,5514,4887,4773,4458,4248,3717,3317,2988,2644,2278,1937,1550,1430,1352,1360,1213,1073,1113
4,Compactc,614,927,2635,5310,5338,5354,5707,6322,6899,7288,7195,6804,6942,7022,6731,7061,6769,6650,6288,6105,5538,4780,4147,3977,3801,3866,3628,3441,3457
5,Intermediated,1869,3878,4391,4849,4681,4418,4483,4407,4666,4670,4794,4617,4721,5204,5402,5514,5583,5667,5571,5461,5243,4763,4406,4244,4066,4088,4102,4333,4490
6,Fulle,10800,11577,6586,4635,4040,3796,3675,3560,3413,3417,3481,3106,2887,3184,3208,3262,3233,3161,3287,3293,3190,2965,2858,2678,2647,2860,2838,2883,3065
7,Other/Unknown,8971,3943,1749,989,632,791,733,648,654,512,509,1153,1425,516,521,484,423,397,378,422,365,201,174,162,148,187,256,267,503
8,"Truckf, total",5817,8748,7666,9306,9052,8683,9116,9574,10216,10553,10972,11447,12024,12280,12431,12963,13272,13440,13841,13566,13263,11498,10811,10312,9942,10115,"(R) 9,881",9759,10480
9,Light,4856,7486,6689,8601,8391,8098,8511,8904,9568,9932,10249,10705,11265,11526,11723,12274,12546,12674,13037,12761,12458,10816,10312,9782,9302,9418,"(R) 9,186",9103,9813
10,Large,961,1262,977,705,661,585,605,670,648,621,723,742,759,754,708,689,726,766,804,805,805,682,499,530,640,697,695,656,667
11,"Other vehicles, total",4179,5730,5165,3736,3303,2810,2892,2747,2652,2637,2554,2741,2989,3369,3689,3843,4344,4672,5293,5465,5824,5959,5049,5086,5184,5527,5257,5195,5563
12,Motorcycle,3189,5144,4564,3244,2806,2395,2449,2320,2227,2161,2116,2294,2483,2897,3197,3270,3714,4028,4576,4837,5174,5312,4469,4518,4630,4986,4692,4594,4976
13,Bus,53,46,57,32,31,28,18,18,33,21,18,38,59,22,34,45,41,42,58,27,36,67,26,44,55,39,54,44,49
14,Other / unknown vehicle type,937,540,544,460,466,387,425,409,392,455,420,409,447,450,458,528,589,602,659,601,614,580,554,524,499,502,511,557,538
15,"Nonoccupant fatalities, total",8600,9164,7782,7465,6768,6370,6576,6398,6526,6368,6288,6119,5842,5597,5756,5630,5543,5532,5864,5752,5558,5320,4888,5110,5339,5779,5718,5843,6421
16,Pedestrian,7516,8070,6808,6482,5801,5549,5649,5489,5584,5449,5321,5228,4939,4763,4901,4851,4774,4675,4892,4795,4699,4414,4109,4302,4457,4818,4779,4910,5376
17,Pedalcyclist,1003,965,890,859,843,723,816,802,833,765,814,760,754,693,732,665,629,727,786,772,701,718,628,623,682,734,749,729,818
18,Other,81,129,84,124,124,98,111,107,109,154,153,131,149,141,123,114,140,130,186,185,158,188,151,185,200,227,190,204,227
