,Â,1975,1980,1985,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,(R) 2014,2015
0,Total fatalities,27,19,8,8,10,16,15,11,7,120,12,13,9,16,12,10,15,13,34,6,9,9,13,8,13,13,11,11,11
1,Accident-related,21,14,7,7,10,15,14,11,6,7,10,8,7,11,8,9,9,12,29,6,8,6,8,5,11,10,10,10,11
2,Air fatalitiesa,0,0,0,0,0,0,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Accident-related,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Highway fatalities,27,17,8,8,10,16,15,11,7,8,12,13,9,16,9,9,15,10,24,6,9,6,12,8,12,13,11,11,11
5,Accident-related,21,12,7,7,10,15,14,11,6,5,10,8,7,11,8,8,9,9,19,6,8,6,7,5,11,10,10,10,11
6,Rail fatalities,0,2,0,0,0,0,0,0,0,2,0,0,0,0,3,1,0,3,10,0,0,0,1,0,1,0,0,0,0
7,Accident-related,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,3,10,0,0,0,1,0,0,0,0,0,0
8,Waterb fatalities,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
9,Accident-related,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Otherc fatalities,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Accident-related,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Total injured persons,648,626,253,423,439,604,627,577,400,1175,221,195,265,251,168,136,119,288,915,234,228,223,201,169,165,185,171,163,389
13,Accident-related,168,47,16,18,40,98,62,111,18,864,16,13,15,16,12,15,16,96,700,13,45,9,44,4,20,18,14,6,208
14,Air injured persons,5,8,4,39,31,23,50,57,33,33,24,20,12,5,13,4,1,11,44,2,8,7,10,2,7,20,12,15,20
15,Accident-related,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Highway injured persons,527,493,195,311,333,465,511,425,296,216,152,151,218,164,109,118,105,155,178,192,160,153,153,152,130,147,142,134,156
17,Accident-related,156,43,9,9,27,34,61,95,14,22,11,9,15,15,12,14,16,12,45,11,45,9,34,4,17,12,14,6,12
18,"Rail injured personsd,e",99,121,53,73,75,116,66,95,71,926,45,22,35,82,46,14,13,122,693,25,57,63,38,13,20,18,15,14,213
19,Accident-related,12,4,7,9,13,64,1,16,4,842,5,4,0,1,0,1,0,84,655,2,0,0,10,0,3,6,0,0,196
20,Waterb injured persons,2,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,15,3,0,0,2,8,0,2,0,0
21,Accident-related,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Otherc injured persons,15,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Accident-related,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Total incidents,10951,15719,6019,8879,9110,9393,12838,16105,14853,14077,14065,15495,17616,17557,17792,15114,15156,14843,15926,20336,19302,16929,14818,14795,15029,"(R) 15,445","(R) 16,055",17403,16846
25,Accident-related,440,486,364,297,303,283,266,296,303,338,320,332,398,394,413,362,342,328,382,359,383,337,290,358,377,397,367,351,315
26,Air incidents,147,223,114,297,299,414,622,931,817,925,1029,1387,1582,1419,1083,732,750,993,1654,2406,1556,1278,1356,1295,1401,1460,1441,1327,1129
27,Accident-related,0,0,0,0,0,1,0,0,0,0,1,3,2,3,2,2,0,0,9,7,7,8,2,2,2,2,3,3,3
28,Highway incidents,10063,14161,4752,7296,7644,7843,11095,14011,12869,12034,11929,13108,14953,15063,15804,13502,13594,13068,13460,17159,16932,14803,12730,12648,12812,"(R) 13,254","(R) 13,884",15312,15111
29,Accident-related,330,347,302,249,249,245,217,244,253,294,267,277,331,329,357,319,300,281,323,308,322,302,251,320,335,(R) 362,333,330,277
30,Rail incidents,694,1271,842,1279,1155,1128,1113,1157,1155,1112,1102,989,1073,1058,899,870,802,765,743,703,753,748,642,747,745,661,667,717,582
31,Accident-related,109,134,61,48,54,36,49,52,50,44,52,52,65,62,54,41,42,47,50,44,54,27,37,35,40,33,31,18,34
32,Waterb incidents,28,34,7,7,12,8,8,6,12,6,5,11,8,17,6,10,10,17,69,68,61,100,90,105,71,70,63,47,24
33,Accident-related,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
34,Otherc incidents,19,30,304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Accident-related,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Total property damage (current $ thousands)f,8091,10828,22994,32354,38350,36229,22816,44196,30900,46849,33533,46312,65369,78132,69442,58177,53597,62902,55946,70971,74692,51161,68995,71609,125789,78876,87454,82506,107488
37,Accident-related,6051,6236,20269,24792,30184,28708,13179,25552,23602,37775,25318,37049,51710,62636,56546,41113,40824,44517,44114,56689,63613,39970,57837,60691,95696,62105,74036,66773,92030
38,Air property damage,9,12,12,142,77,99,88,178,100,87,336,267,286,272,309,109,100,188,198,671,88,191,708,20,171,41,143,129,47
39,Accident-related,0,0,0,0,0,0,0,0,0,0,0,0,0,42,50,61,0,0,0,0,0,7,327,0,0,1,0,113,0
40,Highway property damage,5584,7324,12690,20190,29650,24130,19866,25253,22141,29257,24741,28669,34359,51030,47737,48076,49109,47158,40179,59502,47280,42890,50629,63672,113103,60190,49513,59602,61252
41,Accident-related,3694,3782,10175,14132,23953,18350,11263,13539,16342,22315,17871,21597,23085,37837,36404,33529,37650,34322,31052,47467,38456,34383,42383,55981,86150,47014,39053,46376,47861
42,Rail property damage,2488,2952,10274,11952,8469,11857,2649,18673,8485,17385,8418,16362,30663,26547,21248,9745,4126,13901,15454,10740,27305,7942,17557,7342,12310,17839,37780,22657,46186
43,Accident-related,2357,2357,10094,10660,6231,10233,1916,12014,7260,15460,7446,15452,28625,24756,20092,7524,3175,10195,13063,9222,25157,5579,15126,4688,9546,15091,34984,20284,44170
