,Â,1960,1965,1970,1975,1980,1985,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,(R) 2013,(R) 2014,2015
0,TOTAL transportation,40800,56500,76500,124400,226500,357400,442900,418300,451300,485300,528200,554100,598900,641800,668600,729000,795400,810500,813100,846000,899300,960800,992900,1032700,1009700,867000,942100,1052000,1105700,1136200,1168000,1116200
1,"User-operated transportation, total",39510,55325,74483,121054,218784,349065,433278,409458,444552,479512,523379,548274,592165,631796,657020,717448,776311,796463,804620,838541,893280,957572,985639,1028418,1000561,858005,930672,1037594,1087434,1116387,1147299,1096575
2,New cars and net purchases of used cars,16571,25191,26754,36775,57243,110679,118988,103658,112410,120391,133268,132438,135292,138661,145609,155206,159402,156583,154444,144910,148638,154235,154010,148089,132200,113837,114870,123598,137419,140787,144012,137433
3,New and used trucks and RVs,606,1284,2667,7739,11849,40988,63882,60337,70115,80809,91229,96427,109274,124532,145530,166096,174152,196917,217410,226368,229175,221882,204462,213681,166544,161777,182197,191215,208432,225121,248482,277741
4,Motor vehicle parts and accessories,2487,3450,6087,10287,17926,23483,28254,27803,28727,30797,33737,35366,37647,39133,39477,41070,41788,41260,41674,44121,47124,50609,53442,56242,54808,51775,55460,59615,62019,64083,65448,67000
5,Repair and rentala,5262,7214,11776,18971,32597,58035,82033,78832,86705,95755,108622,121371,134351,147753,154548,166189,176972,181925,179036,181590,187002,196395,204800,212087,209776,193454,194553,204596,210385,219624,232871,242720
6,Gasoline and oil,12004,14751,21921,39703,86689,97205,111440,108852,112864,114518,116492,120410,130494,134428,120787,134190,168609,162485,153611,178977,213376,261430,295926,319919,358327,260229,307265,380408,390494,385606,371155,283012
7,Parking fees and tolls,567,816,1205,1652,2529,4004,5171,5546,6427,6864,7281,7766,8405,9482,10687,11463,12318,12859,12747,13504,14449,15405,15806,16421,16954,16967,17386,18209,18837,20059,21378,22821
8,"Insurance premiums, less claims paidb",2013,2619,4073,5927,9951,14671,23510,24430,27304,30378,32750,34496,36702,37807,40382,43234,43070,44434,45698,49071,53516,57616,57193,61979,61952,59966,58941,59953,59848,61107,63953,65848
9,"Purchased intercity transportation, total",1447,2145,4156,7402,15376,21014,29468,28827,29338,31973,34231,37071,40241,45141,49292,52726,59670,54349,51625,55045,58208,59576,61553,63743,64076,57773,59098,61771,65517,68648,72840,75574
10,Railroad,448,429,395,474,588,616,696,697,546,526,488,482,489,490,519,555,635,697,726,721,736,757,847,957,1052,971,1091,1165,1240,1303,1345,1321
11,Intercity bus,154,206,311,455,873,754,615,674,682,724,776,836,895,1022,1118,1202,1360,1410,1412,1435,1432,1420,1455,1383,1493,1250,1076,1099,1144,1168,1182,1203
12,Airline,678,1279,3075,5890,12768,18088,25891,25069,25581,27742,29226,31072,33269,37216,40269,43042,49166,42873,39515,42678,44734,45446,46318,47572,47413,42196,42652,44311,46862,48838,52131,54184
13,Otherc,167,231,375,583,1147,1556,2266,2387,2529,2981,3741,4681,5588,6413,7386,7927,8509,9369,9972,10211,11306,11953,12933,13831,14118,13356,14279,15196,16271,17339,18182,18866
14,"Purchased local transportation, total",1904,1958,2906,4019,4864,7093,9701,10468,11153,11507,11761,11738,11958,11931,13105,13713,14587,15571,14752,15326,16903,18009,19897,19966,20910,21500,21885,23547,24748,26180,26981,27290
15,Mass transit system,1295,1346,1726,2051,2998,4521,7124,7843,8567,8794,8962,8749,8796,8673,9606,10444,11516,12204,11298,12089,13061,13875,15294,15392,16380,16950,17143,18410,19261,20309,20992,21380
16,Taxi,609,612,1180,1968,1866,2572,2577,2625,2586,2713,2799,2989,3162,3258,3499,3269,3071,3367,3454,3237,3842,4134,4603,4574,4530,4550,4742,5137,5487,5871,5989,5910
