,3PL,Third-party logistics
0,4PLs,Fourth-party logistics companies
1,AC,Alternating Current
2,ACC,Adaptive Cruise Control
3,ADA,Americans with Disabilities Act
4,ADF,aircraft deicing fluid
5,ADS-A,automatic dependent surveillance-addressable system
6,ADS-B,automatic dependent surveillance-broadcast
7,AIADA,American International Automobile Dealers Association
8,AIADA,American Imported Automobile Dealers Association
9,AIR-21,Aviation Investment and Reform Act for the 21st Century
10,AM radio,lower frequency radio waves
11,API,American Petroleum Institute
12,ASRS,Aviation Safety Reporting System
13,ASTs,aboveground storage tanks
14,ATC,Air Traffic Control
15,ATO,Air Traffic Organization
16,AVL,Automatic Vehicle Location
17,AVP,Advanced Vehicle Technologies Program
18,B2B,business-to-business
19,B2C,business-to-consumer
20,BAC,Blood Alcohol Concentration
21,BART,Bay Area Rapid Transit
22,BBC,British Broadcasting Corporation
23,Bbl,barrel
24,Big LEO,special handheld telephone
25,BTS,Bureau of Transportation Statistics
26,Btu,British Thermal Unit
27,C02,Carbon dioxide
28,CAB,Civil Aeronautics Board
29,CAD,Computer-Aided Dispatch
30,CAF,Corporate Average Fuel Economy
31,CD-ROM/DVD,Compact Disk-Read Only Memory/Digital Video Disk
32,CDL,Commercial Drivers License
33,CDS,Crashworthiness Data System
34,CFIT,controlled flight into terrain
35,CH4,Methane
36,CNG,Compressed Natural Gas
37,CO,Carbon Monoxide
38,COMSTAC,Commercial Space Transportation Advisory Committee
39,CONUS,Continental U.S.
40,COO,Chief Operating Officer
41,CORS,Continuously operating reference stations
42,CPDLC,Controller-Pilot Data Link Communications
43,CRAF,Civil Reserve Air Fleet
44,CVO,Commercial Vehicles Operations
45,DBA,Decibels
46,DC,Direct Current
47,DFDRs,Digital flight data recorders
48,DGPS,Differential GPS
49,DOD,Department of Defense
50,DOJ,Department of Justice
51,DVD,Digital Video Disk
52,ECP,Electronically Controlled Pneumatic
53,EDI,Electronic Data Interchange
54,EDSs,Explosives Detection Systems
55,EMS,Emergency Medical Services
56,EPA,Environmental Protection Agency
57,ERGS,Electronic Route Guidance System
