,Â,1960,1970,1980,1990,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
0,"Fatalities, all modes16",U,U,U,339,320,274,264,275,286,299,295,267,280,234,248,236,227,(R) 288,(R) 240,291
1,"Transit  highway-rail grade crossing fatalitiesj, 17",U,U,U,U,U,17,7,12,26,21,20,13,24,21,29,23,21,(R) 27,(R) 26,37
2,Other  transit fatalities,U,U,U,U,U,257,257,263,260,278,275,254,256,213,219,213,206,(R) 261,(R) 214,254
3,"Injured  persons, all modesk,  16",U,U,U,54556,58193,57196,55288,56132,55990,55325,56697,53945,19260,18235,18982,18131,19238,20944,25584,24686
4,"Transit  highway-rail grade crossing injuriesj, 17",U,U,U,U,U,195,184,126,58,159,123,74,108,117,153,194,172,224,308,295
5,Other  transit injuries,U,U,U,U,U,57001,55104,56006,55932,55166,56574,53871,19152,18118,18829,17937,19066,20720,25276,24391
6,"Incidents,  all modes16",U,U,U,90163,70693,62471,59392,61561,60094,58703,59898,58149,30331,19797,20939,21016,22275,22718,22261,23115
7,"Transit  highway-rail grade crossing incidentsj, 17",U,U,U,U,U,127,134,119,106,140,148,101,398,276,311,504,131,134,245,206
8,Other  transit incidents,U,U,U,U,U,62344,59258,61442,59988,58563,59750,58048,29933,19521,20628,20512,22144,22584,22016,22909
9,Major  incidentsl,U,U,U,U,U,U,U,U,U,U,U,U,2282,1913,2515,3335,2505,2839,4300,3737
