,Â,1960,1970,1980,1990,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,(R) 2005,(R) 2006,2007
0,"Personal  auto expenditures, totala ($ millions)",39886,73390,209563,377492,442346,462166,494691,519828,529047,573429,628952,631527,622369,646756,695320,772607,828900,863036
1,"New and used carsa,1",16600,26700,57200,119000,133200,132600,136000,139400,147300,158400,164300,162900,162100,152000,152600,161600,165100,158500
2,"Tires, tubes, accessories, and parts1",2500,6100,17900,29900,36000,37800,40300,41900,43900,47000,49000,49100,50300,52000,54400,57900,59800,62800
3,Gasoline and oil1,12000,21900,86700,111200,116200,120200,130400,134400,122400,137900,175700,171600,164500,192700,230400,280700,318600,340600
4,Tolls1,300,700,1100,2300,3400,3700,4000,4400,4400,4800,5100,5100,5300,5500,5700,6500,6900,7400
5,Insurance premiums less claims paid1,2000,3800,9400,23500,32800,34500,36700,37800,40400,43200,43000,44600,45800,49200,53700,57800,60100,59400
6,"Repair, greasing, washing, parking, storage, rental, and  leasing1",5500,12300,34000,84900,112500,125500,138700,152900,161100,172600,183500,189100,186000,186800,189500,198400,208400,224200
7,Auto  registration fees2,867,1668,2893,6054,7423,7043,7698,8163,8630,8625,7607,8278,7415,7478,7826,8484,8774,8916
8,Driver's  license fees2,119,222,370,638,823,823,893,865,917,904,745,849,954,1078,1194,1223,1226,1220
9,Taxi expenditures ($ millions)1,600,1200,1900,2600,2800,3000,3200,3300,3500,3300,3100,3200,3300,3500,3600,3900,4200,4500
