,Â,1960,1965,1970,1975,1980,1985,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,(R) 2014,2015
0,TOTAL,N,N,N,N,N,N,3271903,3136005,3109431,3185361,3302962,3499643,3515777,3380064,3221955,3264955,3218900,3061790,2946446,2906666,2806810,2716586,2592859,2510311,2366743,2237367,"(R) 2,259,336","(R) 2,237,019","(R) 2,381,624","(R) 2,333,494",2351319,U
1,"Aira, total",N,N,822,850,757,589,485,514,456,430,484,452,467,417,369,406,359,368,337,367,302,305,286,291,299,301,278,363,274,(R) 249,263,284
2,U.S. air carrier b,N,N,107,81,19,30,29,26,22,19,31,25,77,43,30,67,31,19,24,31,20,14,9,16,26,23,17,20,18,(R) 9,14,23
3,Commuter carrier c,N,N,N,N,14,14,11,31,7,2,6,17,2,1,2,2,7,4,0,1,0,0,1,0,2,1,2,0,0,9,0,4
4,On-demand air taxi d,N,N,N,N,43,44,36,26,19,24,32,14,22,23,10,15,12,24,16,12,17,20,11,20,12,4,3,15,9,16,15,9
5,General aviation e,N,N,715,769,681,501,409,431,408,385,415,396,366,350,327,322,309,321,297,323,265,271,265,255,259,273,256,328,247,(R) 215,234,248
6,"Highway, total",N,N,N,N,N,N,3230666,3096870,3069603,3149164,3265928,3465279,3483319,3347614,3192035,3236238,3188750,3032672,2925758,2888601,2788378,2699000,2575000,2491000,2346000,2217000,2239000,2217000,2362000,2313000,2332000,2424000
7,Passenger car occupants,N,N,N,N,N,N,2376439,2234594,2231703,2264809,2363595,2469358,2458080,2340612,2201375,2137503,2051609,1926625,1804788,1756495,1642549,1573396,1474536,1379181,1304006,1216000,1253000,1240000,1328000,1296000,1292000,1378000
8,Motorcyclists,N,N,N,N,N,N,84285,80435,65099,59436,57405,57480,55281,52574,48974,49986,57723,60236,64713,67103,76379,87335,88652,102994,95986,90000,82000,81000,93000,88000,92000,88000
9,"Truck occupants f, light",N,N,N,N,N,N,505144,562601,544657,600874,631411,722496,761478,754820,762506,846865,886566,860527,879338,889048,900171,872137,856896,841451,768410,759000,733000,728000,762000,750000,782000,803000
