,Â,1960d,1965d,1970d,1975,1980,1985,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,(R) 2011,(R) 2012,(R) 2013,(P) 2014
0,Total fatalities,787,1029,1310,1252,1239,956,770,800,866,744,730,734,636,631,624,621,596,562,581,633,559,563,706,496,496,479,(R) 458,452,437,391,419
1,Total seriously injured persons,U,U,715,769,681,501,409,431,408,385,415,396,366,350,327,322,309,321,297,323,265,271,265,255,259,273,256,328,247,216,238
2,"Total accidentsa,b",4793,5196,4712,3995,3590,2739,2242,2197,2110,2064,2021,2056,1908,1840,1902,1905,1837,1727,1716,1741,1619,1671,1523,1654,1569,1480,1440,1470,1470,1224,1221
3,"Total accidentsa,b, fatal",429,538,641,633,618,498,444,439,450,401,404,412,361,350,364,340,345,325,345,352,314,321,308,288,277,275,(R) 271,269,272,222,253
4,Flight hours (thousands),13121,16733,26030,28799,36402,28322,28510,27678,24780,22796,22235,24906,24881,25591,25518,29246,27838,25431,25545,25998,24888,23168,23963,23819,22805,20862,21688,20862,20881,19492,18103
5,"Rates per 100,000 flight hoursc",Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
6,Fatalities,6.00,6.15,5.03,4.35,3.40,3.38,2.70,2.89,3.49,3.26,3.28,2.95,2.56,2.47,2.45,2.12,2.14,2.21,2.27,2.43,2.25,2.43,2.95,2.08,2.17,2.30,(R) 2.11,2.17,2.09,2.01,2.31
7,Seriously injured persons,U,U,2.75,2.67,1.87,1.77,1.43,1.56,1.65,1.69,1.87,1.59,1.47,1.37,1.28,1.10,1.11,1.27,1.16,1.24,1.06,1.17,1.11,1.07,1.14,1.31,1.18,1.57,1.18,1.11,1.31
8,"Total accidentsa,b",36.53,31.05,18.10,13.87,9.86,9.67,7.86,7.94,8.51,9.05,9.09,8.26,7.67,7.19,7.45,6.51,6.60,6.79,6.72,6.70,6.51,7.21,6.36,6.94,6.88,7.09,6.64,7.05,7.04,6.28,6.74
9,"Total accidents, fatala,b",3.27,3.22,2.46,2.20,1.70,1.76,1.56,1.59,1.82,1.76,1.82,1.65,1.45,1.37,1.43,1.16,1.24,1.28,1.35,1.35,1.26,1.39,1.29,1.21,1.21,1.32,(R) 1.25,1.29,1.30,1.14,1.40
