,Â,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
0,"TOTAL, all modes",260897,264292,270798,276083,295877,299585,330345,343536,345341,327157,324813,321730,332124,342889,362297,355900,340592,347604
1,Federal,69170,67564,67789,67095,73769,74762,91012,100696,102085,90766,89034,81814,80804,87109,91823,91492,84594,85361
2,State and local,191728,196727,203009,208988,222108,224824,239333,242840,243256,236391,235779,239916,251320,255779,270474,264409,255998,262243
3,"Highways, total",168739,172818,176634,180802,190643,198309,204770,211234,209663,201719,201942,206738,217746,218410,229364,231476,222374,229147
4,Federal,31324,31524,31984,30461,33430,37994,39852,42146,41214,39729,37998,38832,38296,40291,42435,48594,42839,45055
5,State and local,137415,141294,144650,150341,157213,160314,164918,169088,168449,161990,163944,167906,179451,178119,186930,182882,179535,184092
6,"Air, total",32656,32518,32980,34031,39233,32561,49129,54251,45879,47508,47922,47226,45080,48236,49634,44734,42113,41763
7,Federal,19601,19040,17748,18548,21226,14640,28459,33134,24513,25939,27556,27712,26012,27019,26884,21149,20622,19787
8,State and local,13055,13477,15232,15483,18007,17921,20671,21117,21366,21569,20366,19514,19068,21218,22750,23586,21491,21976
9,"Transit, total",46485,46402,48269,48738,54215,56641,60953,63195,60751,62074,61025,53760,54490,61415,66002,63079,59449,60394
10,Federal,8889,8449,9433,9755,11774,14388,15228,15284,14704,14319,14049,5964,6677,9908,11273,10390,9417,9080
11,State and local,37595,37954,38835,38983,42442,42254,45725,47911,46048,47755,46976,47796,47814,51507,54729,52688,50033,51314
12,"Water, total",10193,9794,9989,9813,10081,9924,13213,10207,13943,12207,10835,10996,11807,11957,13874,13002,13094,12477
13,Federal,6603,5868,5792,5721,5720,5647,5279,5595,6630,7387,6419,6353,6857,7057,7860,7801,8205,7660
14,State and local,3590,3926,4197,4091,4361,4277,7934,4612,7312,4820,4416,4644,4949,4900,6015,5202,4889,4817
15,"Rail, total",1693,1627,1815,1641,635,1069,1021,1752,1556,1843,1688,1653,1563,1485,1837,2596,2279,2107
16,Federal,1653,1586,1757,1588,587,1051,979,1696,1528,1819,1648,1631,1558,1484,1837,2596,2279,2107
17,State and local,40,41,58,53,48,18,41,56,27,24,40,22,5,1,0,0,0,0
18,"Pipeline, total",68,102,94,102,100,105,81,114,155,85,97,100,99,96,117,122,123,103
19,Federal,52,85,76,83,80,87,62,90,132,73,76,79,79,73,82,93,93,80
20,State and local,16,17,18,19,20,18,19,25,24,12,22,21,20,23,35,29,30,23
21,"General support, total",1065,1031,1016,956,970,976,1179,2782,13394,1721,1304,1256,1339,1289,1469,891,1160,1613
22,Federal,1048,1013,998,939,953,955,1153,2751,13364,1501,1289,1243,1325,1277,1453,870,1140,1592
23,State and local,17,18,18,18,17,22,26,31,30,220,16,13,14,12,16,21,20,21
