,Â,1960,1970,1980,1990,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,(R) 2005,(R) 2006,2007
0,Number  of occupants and nonoccupant fatalities,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
1,Passenger car,N,N,27449,24092,21997,22423,22505,22199,21194,20862,20699,20320,20569,19725,19192,18512,17925,16520
2,Light Truck,N,N,"(R)  1,262",(R)  705,(R)  670,(R)  648,(R)  621,(R)  723,(R)  742,(R)  759,(R)  754,(R)  708,(R)  689,(R)  726,(R)  766,(R)  804,805,802
3,Motorcycle,790,2280,5144,3244,2320,2227,2161,2116,2294,2483,2897,3197,3270,3714,4028,4576,4837,5154
4,Bicycled,490,760,965,859,802,833,765,814,760,754,693,732,665,629,727,786,772,698
5,Pedestriand,7210,8950,8070,6482,5489,5584,5449,5321,5228,4939,4763,4901,4851,4774,4675,4892,4795,4654
6,Occupant  fatality rates,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
7,Per  100 million vehicle-milesg,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
8,Passenger car,4.7,3.8,(R)  2.5,1.7,1.5,1.5,1.5,1.5,(R)  1.5,1.3,1.3,1.3,1.3,1.2,1.2,1.2,1.1,1.0
9,Light Truck,N,N,2.5,1.6,1.3,1.3,1.3,1.2,1.2,1.3,1.2,1.2,1.2,1.2,1.2,1.2,1.1,1.1
10,Motorcycle,N,76.5,50.4,33.9,22.7,22.7,21.8,21.0,22.3,23.5,27.7,33.2,34.2,38.8,39.8,43.8,40.1,37.9
11,"Per  10,000 registered vehiclesg",Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
12,Passenger car,5.1,3.9,2.6,2.0,1.8,1.8,1.8,1.8,(R)  1.8,1.6,1.6,1.6,1.6,1.5,1.4,1.4,1.3,1.2
13,Light Truck,N,N,2.5,1.7,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.4,1.4,1.3,1.2
14,Motorcycle,13.8,8.1,9.0,7.6,6.2,5.7,5.6,5.5,5.9,6.0,6.7,6.5,6.5,6.9,7.0,7.3,7.2,7.2
15,Fatal Crashes,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
16,Total Fatal Crashes,U,U,U,39836,36254,37241,37494,37324,37107,37140,37526,37862,38491,38477,38444,39252,38648,37248
17,Number of vehicles involved in fatal crashes,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
18,Passenger car,U,U,39059,34085,30273,30940,30727,30059,29040,28027,27802,27586,27374,26562,25682,25169,24260,22716
19,Light Truck,U,U,12680,15620,16353,17587,18246,18628,19363,19959,20498,20831,21668,22299,22486,22964,22411,21686
20,Motorcycles,U,U,5194,3276,2339,2268,2176,2160,2334,2532,2975,3265,3365,3802,4121,4682,4963,5286
21,Vehicle  involvement rate (fatal crashes),Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
22,Per  100 million vehicle-milesg,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
23,Passenger car,N,5.6,3.5,2.4,2.1,2.1,2.1,2.0,1.9,1.8,1.8,1.7,1.7,1.7,1.6,1.6,1.5,1.4
24,Light Truck,N,N,4.3,2.8,2.3,2.4,2.3,2.3,2.3,2.2,2.2,2.1,2.1,2.1,2.1,2.0,1.9,1.8
25,Motorcycle,N,22.9,50.9,34.3,22.8,23.2,21.9,21.4,22.7,23.9,28.4,33.9,35.2,39.7,40.7,44.8,41.2,38.8
26,"Per  10,000 registered vehiclesg",Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
27,Passenger car,N,5.6,3.7,2.8,2.5,2.5,2.5,2.4,2.3,2.2,2.2,2.1,2.1,2.0,1.9,(R) 1.9,1.8,1.6
28,Light Truck,N,N,4.2,3.1,2.7,2.8,2.8,2.8,2.8,2.7,2.7,2.6,2.6,2.6,2.5,2.4,2.3,2.1
29,Motorcycle,N,8.2,9.1,7.7,6.2,5.8,5.6,5.6,6.0,6.1,6.8,6.7,6.7,7.1,7.1,7.5,7.4,7.4
