,Â,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
0,"TOTAL, all modes",94148,97054,100652,112144,128299,127545,125004,130936,132237,135876,148097,154526,164888,164396,158587,161782,172674,180175
1,Federal,30289,30839,31516,39061,52037,46764,42844,45695,46149,46045,52755,51784,54971,53276,48190,48554,51660,55475
2,State and local,63859,66215,69136,73083,76262,80781,82160,85242,86089,89831,95342,102743,109917,111120,110397,113227,121014,124699
3,"Highway, total",67352,72560,73975,79736,92427,90895,86909,91193,92094,96011,105064,106830,115443,112637,109398,111614,118598,125026
4,Federal,22200,25981,25316,28638,39308,34986,31486,33298,34421,35107,40437,38798,40652,38458,35144,35026,36955,40265
5,State and local,45152,46579,48660,51097,53119,55910,55423,57896,57673,60904,64627,68033,74791,74179,74254,76588,81642,84761
6,"Air, total",14503,11884,13863,19014,22033,22243,23219,24459,24276,23275,25770,27210,29580,30895,27931,28427,29968,31103
7,Federal,6294,3133,4492,8685,11093,10548,10112,11246,10696,9832,10961,11315,12187,12672,11109,10995,12003,12796
8,State and local,8209,8751,9371,10329,10940,11695,13107,13213,13580,13443,14809,15895,17393,18223,16822,17432,17965,18307
9,"Railroads, Total",36,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10,Federal,36,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11,"Transit, total",8575,8753,9006,9417,9849,10670,10922,11448,11906,12377,12512,15117,13874,14586,15288,15328,17234,17607
12,State and local,8575,8753,9006,9417,9849,10670,10922,11448,11906,12377,12512,15117,13868,14586,15288,15328,17234,17607
13,"Water, total",3640,3814,3768,3939,3952,3680,3895,3758,3895,4150,4687,5290,5920,6202,5871,6293,6760,6317
14,Federal,1717,1683,1669,1700,1597,1173,1188,1073,965,1043,1293,1592,2056,2069,1839,2414,2587,2293
15,State and local,1923,2131,2099,2239,2355,2507,2707,2685,2930,3107,3394,3698,3864,4133,4032,3879,4173,4024
16,"Pipeline, total",35,31,30,29,30,30,37,52,57,55,56,58,60,63,78,90,90,90
17,Federal,35,31,30,29,30,30,37,52,57,55,56,58,60,63,78,90,90,90
18,"General support, total",7,9,9,9,9,26,21,26,10,8,8,21,16,14,20,29,25,31
19,Federal,7,9,9,9,9,26,21,26,10,8,8,21,16,14,20,29,25,31
