,Â,1980,1985,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,(R) 2013,(R) 2014,2015
0,Gross Domestic Demand,2862.5,4346.7,5979.6,6174.0,6539.3,6878.7,7308.8,7664.1,8100.2,8608.5,9089.2,9660.6,10284.8,10621.8,10977.5,11510.7,12274.9,13093.7,13855.9,14477.6,14718.6,14418.7,14964.4,15517.9,16155.3,16691.5,17393.1,18036.6
1,Total domestic transportation-related final demand,332.6,486.4,598.3,595.8,638.0,682.7,742.0,772.1,828.1,895.7,931.1,1009.4,1059.9,1052.6,1075.4,1097.3,1160.5,1248.2,1312.4,1391.1,1359.7,1175.6,1320.2,1467.1,1560.5,1608.0,1661.1,1630.6
2,Total transportation in GDD (percent),11.6,11.2,10.0,9.7,9.8,9.9,10.2,10.1,10.2,10.4,10.2,10.4,10.3,9.9,9.8,9.5,9.5,9.5,9.5,9.6,9.2,8.2,8.8,9.5,9.7,9.6,9.6,9.0
3,"Personal consumption of transportation, total",226.5,357.4,442.9,418.3,451.3,485.3,528.2,554.0,599.0,641.8,668.6,729.0,795.3,810.5,813.1,846.0,899.3,960.8,993.0,1032.7,1009.6,867.0,942.2,1052.0,1105.8,1136.2,1168.1,1116.2
4,Motor vehicles and parts,84.4,170.1,205.1,185.7,204.8,224.7,249.8,255.7,273.5,293.1,320.2,350.7,363.2,383.3,401.3,401.5,409.3,410.0,395.0,400.6,339.6,317.1,342.0,363.5,395.8,416.1,442.8,464.8
5,Gasoline and oil,86.7,97.2,111.4,108.9,112.9,114.5,116.5,120.4,130.5,134.4,120.8,134.2,168.6,162.5,153.6,179.0,213.4,261.4,295.9,319.9,358.3,260.2,307.3,380.4,390.5,385.6,371.2,283.0
6,Transportation services,55.4,90.1,126.4,123.7,133.6,146.1,161.9,177.9,195.0,214.3,227.6,244.1,263.5,264.7,258.2,265.5,276.6,289.4,302.1,312.2,311.7,289.7,292.9,308.1,319.5,334.5,354.1,368.4
7,"Gross private domestic investment, total",51.6,73.7,73.4,74.6,78.3,93.3,111.9,120.5,128.6,141.6,154.3,180.9,177.6,161.2,148.4,140.7,166.0,186.7,203.0,197.8,156.1,79.7,137.4,183.4,224.0,251.6,284.0,321.6
8,Transportation structures,3.2,4.7,3.4,3.1,3.6,3.9,4.2,4.4,5.4,6.1,7.2,6.5,6.8,7.0,6.8,6.6,6.8,7.1,8.7,9.0,9.9,9.1,9.9,9.5,10.9,11.0,12.2,13.5
9,Transportation equipment,48.4,69.0,70.0,71.5,74.7,89.4,107.7,116.1,123.2,135.5,147.1,174.4,170.8,154.2,141.6,134.1,159.2,179.6,194.3,188.8,146.2,70.6,127.5,173.9,213.1,240.6,271.8,308.1
10,"Government transportation-related purchases, total",60.2,84.0,111.9,123.7,122.9,126.8,133.2,135.5,140.8,148.3,155.4,167.3,179.8,194.4,205.3,220.3,225.7,236.8,250.3,269.9,288.5,297.1,304.2,309.3,307.5,305.3,314.1,329.1
11,Federal purchasesa,7.4,10.5,12.8,14.5,15.3,16.2,17.5,16.5,17.2,17.5,18.5,18.5,19.0,20.6,24.8,29.1,28.4,29.8,31.5,31.4,34.9,35.9,38.9,40.9,41.7,39.0,39.4,41.2
12,State and local purchasesa,48.6,67.3,90.3,93.5,96.2,101.3,107.3,110.6,115.0,122.6,128.4,139.8,151.8,163.8,170.3,174.6,180.6,191.1,203.9,218.8,232.9,238.7,240.6,243.8,247.0,251.3,260.3,274.7
13,Defense-related purchasesb,4.2,6.2,8.8,15.7,11.4,9.3,8.4,8.4,8.6,8.2,8.5,9.0,9.0,10.0,10.2,16.6,16.7,15.9,14.9,19.7,20.7,22.5,24.7,24.6,18.8,15.0,14.4,13.2
14,Others,(5.7),(28.7),(29.9),(20.8),(14.5),(22.7),(31.3),(37.9),(40.3),(36.0),(47.2),(67.8),(92.8),(113.5),(91.4),(109.7),(130.5),(136.1),(133.9),(109.3),(94.5),(68.2),(63.6),(77.6),(76.8),(85.1),(105.1),(136.3)
15,Exports & Imports,(1.1),(34.8),(28.5),(17.2),(15.8),(26.4),(38.7),(43.6),(42.9),(40.4),(49.0),(80.2),(104.7),(104.2),(108.6),(122.5),(137.8),(133.2),(133.2),(112.2),(82.2),(35.3),(75.9),(78.9),(99.2),(102.7),(113.4),(143.8)
16,Private Inventories,(4.6),6.1,(1.4),(3.6),1.3,3.7,7.4,5.7,2.6,4.4,1.8,12.4,11.9,(9.3),17.2,12.8,7.3,(2.9),(0.7),2.9,(12.3),(32.9),12.3,1.3,22.4,17.6,8.3,7.5
