YEAR,NET INCOME,,,,,,,,,,,,,EXPENDITURES,NET TRANSFERS (6),CLOSING BALANCE
,FROM EXCISE TAXES,,,,,,,,,,,,TOTAL (2),,,
,MOTOR FUEL,,,TIRES,INNER TUBES ,TREAD RUBBER ,"TRUCKS, BUSES, AND TRAILERS",HEAVY VEHICLE USE,LUB-RICATING OIL ,PARTS AND ACCES-SORIES ,TOTAL (2),MISCELLANEOUS (3),,,,
,GASOHOL,DIESEL AND SPECIAL FUELS,TOTAL (2),,,,,,,,,,,,,
2009, , , , , , , , , , , , , , , , 
 Highways,"19,958,795","7,009,779","26,968,574","314,276",-,-,"1,890,021","962,528",-,-,"30,135,399","26,737","30,162,136","37,571,317","6,258,289","8,881,338"
 Transit,"3,788,790","1,020,468","4,809,258",-,-,-,-,-,-,-,"4,809,258",0,"4,809,258","7,280,702","897,054","5,212,232"
 Total,"23,747,585","8,030,247","31,777,832","314,276",-,-,"1,890,021","962,528",-,-,"34,944,657","26,737","34,971,394","44,852,019","7,155,343","14,093,570"
2010, , , , , , , , , , , , , , , , 
 Highways,"20,312,909","7,069,770","27,382,679","318,251",-,-,"1,562,325","886,623",-,-,"30,149,878","30,322","30,180,200","32,006,716","13,688,447","20,743,269"
 Transit,"3,820,612","990,630","4,811,242",-,-,-,-,-,-,-,"4,811,242","5,169","4,816,411","7,362,975","5,823,670","8,489,338"
 Total,"24,133,521","8,060,400","32,193,921","318,251",-,-,"1,562,325","886,623",-,-,"34,961,120","35,491","34,996,611","39,369,691","19,512,117","29,232,607"
2011, , , , , , , , , , , , , , , , 
 Highways,"20,644,612","8,094,336","28,738,948","440,764",-,-,"2,416,742","364,228",-,-,"31,960,682","38,053","31,998,735","37,324,658","-1,094,807","14,322,539"
 Transit,"3,843,980","1,078,378","4,922,358",-,-,-,-,-,-,-,"4,922,358","4,774","4,927,132","7,207,213","1,106,018","7,315,275"
 Total,"24,488,592","9,172,714","33,661,306","440,764",-,-,"2,416,742","364,228",-,-,"36,883,040","42,827","36,925,867","44,531,871","11,211","21,637,814"
2012, , , , , , , , , , , , , , , , 
 Highways,"21,138,400","8,010,157","29,148,557","420,131",-,-,"3,855,111","1,719,067",-,-,"35,142,866","98,260","35,241,126","41,149,827","1,316,907","9,730,745"
 Transit,"3,937,417","1,066,031","5,003,448",-,-,-,-,-,-,-,"5,003,448","2,451","5,005,899","8,209,981","1,083,091","5,194,284"
 Total,"25,075,817","9,076,188","34,152,005","420,131",-,-,"3,855,111","1,719,067",-,-,"40,146,314","100,711","40,247,025","49,359,808","2,399,998","14,925,029"
2013, , , , , , , , , , , , , , , , 
 Highways,"19,389,184","7,763,753","27,152,937","359,315",-,-,"3,197,407","1,090,601",-,-,"31,800,260","15,455","31,815,715","42,917,222","5,141,823","3,771,061"
 Transit,"3,613,614","1,034,832","4,648,446",-,-,-,-,-,-,-,"4,648,446","1,813","4,650,259","8,098,183","745,715","2,492,075"
 Total,"23,002,798","8,798,585","31,801,383","359,315",-,-,"3,197,407","1,090,601",-,-,"36,448,706","17,268","36,465,974","51,015,405","5,887,538","6,263,136"
2014, , , , , , , , , , , , , , , , 
 Highways,"20,685,613","8,343,520","29,029,133","446,604",-,-,"3,645,185","945,182",-,-,"34,066,104","21,202","34,087,306","43,791,139","17,308,349","11,375,577"
 Transit,"3,854,396","1,196,037","5,050,433",-,-,-,-,-,-,-,"5,050,433","1,069","5,051,502","9,136,279","5,149,451","3,470,837"
 Total,"24,540,009","9,539,557","34,079,566","446,604",-,-,"3,645,185","945,182",-,-,"39,116,537","22,271","39,138,808","52,927,418","22,457,800","14,846,414"
2015, , , , , , , , , , , , , , , , 
 Highways,"21,009,013","8,526,186","29,535,199","500,968",-,-,"4,554,325","1,149,768",-,-,"35,740,260","25,581","35,765,841","42,951,543","4,850,484","9,040,358"
 Transit,"3,914,741","1,133,786","5,048,527",-,-,-,-,-,-,-,"5,048,527",495,"5,049,022","8,867,985","3,217,516","2,869,391"
 Total,"24,923,754","9,659,972","34,583,726","500,968",-,-,"4,554,325","1,149,768",-,-,"40,788,787","26,076","40,814,863","51,819,528","8,068,000","11,909,749"
