,STATE,INTERNATIONAL    ROUGHNESS INDEX (IRI)    (1),TOTAL URBAN NHS,NOT REPORTED (2),< 60,60-94,95-119,120-144,145-170,171-194,195-220,> 220,TOTAL REPORTED
0,Alabama,133,630,540,157,89,57,36,23,33,1565,,
1,Alaska,-,32,89,37,24,17,12,8,17,235,,
2,Arizona,145,302,295,128,76,43,25,15,36,921,,
3,Arkansas,41,147,316,160,108,75,51,32,60,949,,
4,California,0,859,1521,1028,1002,944,789,704,2438,9285,,
5,Colorado,1,145,442,285,251,196,117,89,158,1683,,
6,Connecticut,-,185,277,176,146,115,78,63,224,1264,,
7,Delaware,11,38,122,43,22,12,6,5,10,258,,
8,Dist. of Columbia,-,-,-,2,8,8,3,6,108,134,,
9,Florida,303,1348,2146,704,370,188,99,60,91,5006,,
10,Georgia,347,977,1246,400,215,113,65,43,101,3161,,
11,Hawaii,-,21,64,59,56,57,34,27,51,369,,
12,Idaho,26,101,154,68,36,31,23,15,33,461,,
13,Illinois,-,457,1236,797,669,383,246,193,319,4300,,
14,Indiana,726,457,523,259,169,112,72,48,76,1716,,
15,Iowa,77,119,260,192,142,101,60,49,104,1025,,
16,Kansas,16,250,239,90,65,41,23,19,21,749,,
17,Kentucky,117,277,252,102,71,47,24,18,28,820,,
18,Louisiana,108,204,317,207,177,168,112,91,183,1458,,
19,Maine,-,44,75,30,27,16,11,7,22,232,,
20,Maryland,15,348,572,229,168,123,87,65,225,1817,,
21,Massachusetts,56,439,442,314,296,287,217,186,481,2663,,
22,Michigan,35,393,882,517,392,319,237,191,455,3385,,
23,Minnesota,27,273,465,201,108,71,40,30,70,1259,,
24,Mississippi,7,263,348,184,127,93,63,43,138,1260,,
25,Missouri,30,525,685,247,155,107,63,40,66,1888,,
26,Montana,6,64,105,47,28,20,14,10,21,309,,
27,Nebraska,142,52,96,54,44,41,31,29,70,416,,
28,Nevada,5,231,153,75,48,26,12,8,13,566,,
29,New Hampshire,1,165,101,44,26,16,12,10,27,401,,
30,New Jersey,4,343,618,338,284,254,187,166,537,2729,,
31,New Mexico,27,187,168,93,84,64,40,30,66,731,,
32,New York,63,342,1259,738,545,431,314,260,990,4879,,
33,North Carolina,132,508,1154,551,326,183,96,60,153,3030,,
34,North Dakota,-,35,76,41,31,23,12,8,19,246,,
35,Ohio,12,719,1226,594,446,338,222,166,413,4123,,
36,Oklahoma,20,170,356,191,144,129,94,81,132,1299,,
37,Oregon,3,203,379,182,111,81,56,42,99,1152,,
38,Pennsylvania,19,439,1131,676,546,425,272,216,449,4153,,
39,Rhode Island,1,29,74,50,62,59,46,44,112,475,,
40,South Carolina,-,85,445,405,281,151,48,29,23,1465,,
41,South Dakota,0,17,87,39,26,19,17,11,24,240,,
42,Tennessee,49,957,729,277,157,107,63,49,90,2430,,
43,Texas,92,940,2537,1451,995,734,443,328,827,8256,,
44,Utah,150,203,335,151,80,52,24,15,14,873,,
45,Vermont,6,48,60,25,16,12,6,5,12,185,,
46,Virginia,69,318,958,524,336,233,140,94,131,2734,,
47,Washington,1,273,553,345,234,188,125,113,371,2201,,
48,West Virginia,10,128,247,106,68,43,27,18,24,661,,
49,Wisconsin,3,202,408,381,332,274,170,134,381,2283,,
50,Wyoming,11,50,114,59,35,20,13,11,24,327,,
51,U.S. Total,3045,15542,26875,14059,10255,7647,5076,4006,10568,94028,,
52,Puerto Rico (3),4,-,32,82,58,77,49,19,31,347,,
53,Grand Total,3048,15542,26907,14141,10313,7723,5125,4025,10599,94375,,
