FEDERAL-AID URBANIZED AREA (3),STATE,"UN-
        REPORTED (4)",INTERNATIONAL ROUGHNESS INDEX (IRI) (1),,,,,,,,,,,,,,,,,,INTERNATIONAL ROUGHNESS INDEX (1) / PRESENT SERVICEABILITY    RATING (PSR) (2),,,,,
,,,INTERSTATE,,,,,,OTHER    FREEWAYS & EXPRESSWAYS,,,,,,OTHER    PRINCIPAL ARTERIAL,,,,,,MINOR  ARTERIAL (5),,,,,
,,,< 95,95-119,120-169,170-220,> 220,TOTAL REPORTED,< 95,95-119,120-169,170-220,> 220,TOTAL REPORTED,< 95,95-119,120-169,170-220,> 220,TOTAL REPORTED,"<95

        >=3.5","95-119

        3.1-3.4","120-169

        2.6-3.0","170-220

        2.1-2.5",">220

        <=2.0","TOTAL
        REPORTED"
Aberdeen--Bel Air South--Bel Air North,MD,3,10,1,1,0,0,12,4,1,1,0,0,7,12,3,2,1,0,17,13,13,22,14,9,71
Abilene,TX,7,8,0,0,0,0,8,11,1,1,0,0,13,2,3,5,3,3,17,61,40,23,25,23,172
Akron,OH,0,11,2,3,0,0,15,7,2,3,1,0,12,7,2,6,3,3,21,60,50,65,43,59,277
Albany,GA,0,0,0,0,0,0,0,6,1,1,1,0,9,45,7,3,1,1,57,11,7,4,1,0,23
Albany,OR,0,4,3,1,0,0,8,0,0,0,0,0,0,8,5,3,1,1,16,41,22,24,8,1,97
Albany--Schenectady,NY,0,34,4,3,3,1,44,8,1,1,1,4,15,14,10,10,3,3,40,61,55,66,35,38,256
Albuquerque,NM,4,19,1,1,0,0,21,0,0,0,0,0,0,23,6,11,5,3,49,44,25,46,38,33,187
Alexandria,LA,1,5,3,2,0,0,11,4,1,1,1,2,10,16,7,7,2,3,36,9,10,19,7,8,54
Allentown,NJ,0,4,1,0,0,0,5,0,0,0,0,0,0,1,1,3,2,2,7,6,4,20,7,4,41
Allentown,PA,0,23,13,7,3,1,47,6,2,3,1,0,11,6,5,6,3,4,23,25,35,63,29,36,187
Altoona,PA,0,12,1,1,0,0,14,0,0,0,0,0,0,4,3,3,0,0,11,12,6,7,4,4,34
Amarillo,TX,2,18,3,1,0,0,22,5,0,0,0,0,5,12,7,6,2,1,28,152,35,46,8,8,250
Ames,IA,3,1,1,0,0,0,2,0,0,0,0,0,0,8,2,3,2,2,17,2,1,9,4,9,26
Anchorage,AK,1,17,1,2,1,1,21,0,0,0,0,0,0,19,13,20,13,10,75,10,10,15,6,8,49
Anderson,IN,20,11,3,4,1,1,19,0,0,0,0,0,0,20,4,5,1,1,32,27,9,4,1,0,42
Anderson,SC,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,7,1,0,16,11,12,20,9,7,60
Ann Arbor,MI,0,17,1,1,0,0,20,19,3,2,0,0,24,6,4,7,6,8,32,149,2,146,6,48,351
Anniston--Oxford,AL,14,13,0,0,0,0,14,0,0,0,0,0,0,11,1,1,0,0,13,13,0,0,0,1,14
Antioch,CA,0,0,0,0,0,0,0,5,2,4,1,0,13,0,1,4,4,4,13,0,0,0,0,61,61
Appleton,WI,1,9,2,6,2,0,18,0,1,1,1,0,3,2,2,4,1,3,12,21,10,15,35,30,112
Arroyo Grande--Grover Beach,CA,0,0,0,0,0,0,0,2,0,0,0,0,2,2,1,3,1,1,8,1,1,8,0,23,33
Asheville,NC,5,57,8,8,2,0,75,18,2,1,0,0,21,51,27,19,5,8,112,40,25,37,16,23,140
Athens-Clarke County,GA,0,0,0,0,0,0,0,10,4,4,1,0,19,35,7,2,1,1,46,14,1,5,1,1,23
Atlanta,GA,0,281,33,19,6,3,341,54,9,8,3,1,75,404,72,60,20,24,580,328,101,75,29,40,573
Atlantic    City,NJ,0,0,0,0,0,0,0,9,2,1,1,0,13,3,3,5,3,7,22,83,27,94,43,38,284
Auburn,AL,15,12,3,2,0,0,16,0,0,0,0,0,0,5,1,0,0,0,6,5,0,0,0,0,6
Augusta-Richmond County,GA,0,25,4,2,1,0,31,0,0,2,0,0,3,76,13,10,3,4,106,6,3,1,0,1,11
Augusta-Richmond    County,SC,0,5,0,5,0,0,10,0,0,0,0,0,0,4,3,7,1,0,15,8,26,43,1,3,81
Austin,TX,9,16,1,1,0,0,18,38,10,5,0,0,53,22,5,7,4,4,43,361,115,491,102,102,"1,171"
Avondale--Goodyear,AZ,40,15,1,1,0,0,17,0,0,0,0,0,0,6,2,3,0,0,12,26,17,40,17,1,101
Bakersfield,CA,0,0,0,0,0,0,0,14,5,4,0,0,23,8,7,8,3,3,28,33,20,79,16,47,194
Baltimore,MD,4,24,3,3,1,1,32,20,3,3,1,1,28,19,4,4,2,8,37,75,99,160,116,151,601
Bangor,ME,0,9,1,2,1,1,13,0,0,0,0,0,0,10,2,4,2,3,21,22,8,9,4,3,46
Barnstable Town,MA,0,0,0,0,0,0,0,11,4,3,0,0,18,3,3,3,2,2,13,4,33,511,4,9,561
Baton Rouge,LA,14,25,14,10,3,2,54,0,0,0,0,0,0,72,28,55,41,43,240,17,33,60,49,63,222
Battle Creek,MI,2,14,1,1,1,0,16,0,0,0,0,0,0,2,1,3,2,1,8,44,1,71,2,20,138
Bay City,MI,0,6,1,0,0,0,7,5,1,0,0,0,7,5,2,3,4,5,18,37,1,43,2,41,123
Beaumont,TX,2,5,2,1,0,0,8,7,1,1,1,0,9,5,1,3,2,2,12,37,0,52,20,69,178
Beckley,WV,3,18,4,4,0,0,26,0,0,0,0,0,0,16,6,3,1,1,27,47,12,35,2,3,100
Bellingham,WA,1,8,7,3,0,0,18,0,0,0,0,0,0,2,1,2,2,2,9,8,3,17,29,13,69
Beloit,IL,0,3,0,0,0,0,3,0,0,0,0,0,0,1,5,6,0,0,12,6,0,13,2,1,22
Beloit,WI,0,4,0,0,0,0,5,0,0,0,0,0,0,0,1,2,2,1,6,6,8,7,5,10,36
Bend,OR,0,0,0,0,0,0,0,0,0,0,0,0,0,19,4,4,1,2,29,52,19,37,5,5,117
Benton Harbor--St. Joseph--Fair Plain,MI,0,9,4,2,2,1,17,0,0,0,0,0,0,3,2,3,3,3,15,64,1,28,4,5,102
Billings,MT,1,4,1,1,0,0,5,0,0,0,0,0,0,2,2,2,2,3,12,17,4,11,9,7,48
Binghamton,NY,3,12,1,1,1,1,16,14,5,4,1,0,24,4,2,0,0,0,7,30,19,63,25,12,149
Binghamton,PA,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Birmingham,AL,46,105,12,18,10,6,151,0,1,0,0,0,1,28,5,4,2,1,40,57,19,14,0,3,94
Bismarck,ND,0,14,1,1,0,0,16,0,0,0,0,0,0,8,6,5,2,2,23,4,9,15,6,13,47
Blacksburg,VA,0,3,1,1,0,0,5,9,2,1,0,0,12,5,4,5,2,1,17,5,8,14,6,1,35
Bloomington,IN,37,0,0,0,0,0,0,0,0,0,0,0,0,15,1,1,1,0,19,0,2,2,0,0,3
