, STATE,GENERAL MEASURES,TRAVEL MEASURES," 2010 LAND AREA (1) 
        (SQUARE MILES)", 2010 POPULATION (1),PERSONAL INCOME (2),GROSS STATE PRODUCT (2), ANNUAL VEHICLE-MILES OF TRAVEL (MILLIONS), LANE-MILES, RURAL, URBAN, PERCENT URBAN," RURAL (1,000)"," URBAN (1,000)", PERCENT URBAN.1,TOTAL PER SQUARE MILE,AMOUNT (BILLIONS OF DOLLARS), PER CAPITA,AMOUNT (BILLIONS OF DOLLARS).1, PER CAPITA.1,RURAL,URBAN,TOTAL PER CAPITA, RURAL.1, URBAN.1,ANNUAL VMT,PERCENT TRUCKS (3),ANNUAL VMT.1,PERCENT TRUCKS (3).1
0,Alabama,48438,2207,4.4,1958,2822,59.0,94,190.0,38452.0,200.0,36750.0,28283,13.1%,38974,7.8%,14071,155405,57722,,,,,,,,,,
1,Alaska,570381,260,0.0,241,469,66.0,1,42.0,56171.0,53.0,66835.0,2126,12.9%,2920,6.5%,7104,26947,6060,,,,,,,,,,
2,Arizona,111407,2187,1.9,651,5741,89.8,56,275.0,39555.0,291.0,38276.0,15589,18.5%,49455,8.3%,10176,82713,61209,,,,,,,,,,
3,Arkansas,50938,1097,2.1,1278,1638,56.2,56,117.0,38599.0,119.0,36259.0,16864,18.7%,18033,13.0%,11968,173419,36963,,,,,,,,,,
4,California,147560,8219,5.3,1880,35374,95.0,239,2172.0,54578.0,2481.0,56851.0,53680,13.8%,281859,6.4%,9007,178765,253319,,,,,,,,,,
5,Colorado,102114,1528,1.5,696,4333,86.2,49,285.0,51224.0,314.0,52558.0,14707,11.0%,35730,4.8%,10029,138636,46035,,,,,,,,,,
6,Connecticut,3016,1826,37.7,429,3145,88.0,738,252.0,69722.0,253.0,62800.0,3158,5.0%,28434,5.5%,8839,11544,34271,,,,,,,,,,
7,Delaware,1542,407,20.9,150,748,83.3,461,46.0,48073.0,69.0,63783.0,3000,8.7%,6931,7.5%,11059,6266,7625,,,,,,,,,,
8,Dist. of Columbia,-,61,100.0,-,602,100.0,9856,51.0,73733.0,122.0,159938.0,-,-,3557,3.9%,5912,-,3438,,,,,,,,,,
9,Florida,46222,7403,13.8,1661,17140,91.2,351,935.0,44888.0,888.0,39218.0,33130,14.3%,173852,5.9%,11009,77592,195585,,,,,,,,,,
10,Georgia,52717,4797,8.3,2416,7272,75.1,168,430.0,40865.0,498.0,43555.0,28590,12.2%,89517,5.6%,12191,160604,111006,,,,,,,,,,
11,Hawaii,6029,393,6.1,110,1250,91.9,212,72.0,48897.0,80.0,49945.0,1773,4.6%,8527,4.7%,7572,3338,6400,,,,,,,,,,
