,STATE,INTERNATIONAL    ROUGHNESS INDEX (IRI)    (1),INTERSTATE SYSTEM,OTHER,NOT REPORTED (2),< 60,60-94,95-119,120-144,145-170,171-194,195-220,> 220,TOTAL REPORTED,NOT REPORTED (2).1,< 60.1,60-94.1,95-119.1,120-144.1,145-170.1,171-194.1,195-220.1,> 220.1,TOTAL REPORTED.1
0,Alabama,2,218,109,32,25,16,11,8,8,427,131,411,431,125,65,41,25,15,24,1138,,,
1,Alaska,-,17,40,11,5,3,2,1,1,79,-,15,48,26,19,14,10,8,16,156,,,
2,Arizona,0,148,71,21,8,3,1,1,0,252,144,154,224,107,68,41,24,14,36,669,,,
3,Arkansas,0,90,101,39,22,18,11,6,6,293,41,57,215,121,86,57,40,25,54,656,,,
4,California,0,349,448,150,110,76,48,26,34,1241,-,510,1073,879,891,868,741,677,2405,8044,,,
5,Colorado,-,67,121,60,32,12,5,3,4,304,1,78,321,225,219,183,112,86,154,1379,,,
6,Connecticut,-,130,104,40,21,11,5,4,3,317,-,55,173,136,125,103,74,60,221,946,,,
7,Delaware,5,3,21,7,2,1,0,0,0,36,5,35,100,36,20,11,6,5,10,222,,,
8,Dist. of Columbia,-,-,-,-,5,2,0,1,4,12,-,-,-,2,3,6,3,5,103,122,,,
9,Florida,98,314,273,51,24,10,5,1,1,680,205,1034,1873,653,345,178,95,59,90,4326,,,
10,Georgia,2,357,216,66,34,17,9,6,5,710,345,620,1031,334,181,97,56,37,96,2451,,,
11,Hawaii,-,1,12,9,10,9,5,4,4,55,-,20,52,50,46,48,29,22,47,314,,,
12,Idaho,-,36,34,11,5,3,1,1,1,90,26,66,120,57,31,28,22,15,32,371,,,
13,Illinois,-,256,469,113,79,17,6,1,2,942,-,201,767,685,590,366,240,192,317,3359,,,
14,Indiana,94,148,105,64,36,21,14,8,10,404,633,309,417,196,133,91,58,40,67,1312,,,
15,Iowa,4,50,75,23,11,7,3,2,1,172,73,69,185,168,130,94,57,48,102,854,,,
16,Kansas,3,101,69,29,16,9,5,2,1,232,13,148,170,62,49,32,19,17,20,517,,,
17,Kentucky,-,114,65,18,12,6,3,2,2,220,117,163,188,84,59,42,20,17,27,600,,,
18,Louisiana,1,105,90,54,49,51,23,17,15,403,106,99,227,153,128,117,88,74,168,1055,,,
19,Maine,-,33,19,6,3,2,1,1,1,66,-,11,56,24,23,15,10,7,21,166,,,
20,Maryland,1,115,131,32,19,13,8,7,10,335,14,233,441,197,149,110,79,58,215,1481,,,
21,Massachusetts,2,300,140,21,11,8,5,6,15,508,54,139,302,293,285,278,212,180,466,2155,,,
22,Michigan,3,182,264,90,52,41,25,17,13,683,32,211,617,427,340,279,212,174,442,2702,,,
23,Minnesota,9,71,130,52,24,15,10,4,6,312,19,202,335,149,85,56,30,26,64,947,,,
24,Mississippi,-,131,63,22,16,11,5,3,2,253,7,132,285,163,112,82,57,40,136,1007,,,
25,Missouri,0,256,179,46,25,16,8,4,3,538,30,269,505,201,130,91,54,36,63,1350,,,
26,Montana,-,39,44,7,3,2,1,0,1,98,6,25,61,40,25,18,13,9,20,211,,,
27,Nebraska,6,20,25,8,4,2,1,1,-,61,136,32,71,46,40,39,30,28,70,356,,,
28,Nevada,0,79,31,18,12,6,2,1,0,150,5,151,122,57,36,19,10,8,13,416,,,
29,New Hampshire,-,64,14,3,1,1,0,0,-,83,1,101,87,40,25,16,12,9,27,317,,,
30,New Jersey,1,128,138,42,23,16,10,11,17,386,3,215,480,296,261,238,177,156,520,2343,,,
31,New Mexico,0,102,27,10,8,4,1,1,1,153,27,85,140,84,76,60,39,29,65,578,,,
32,New York,22,209,378,116,68,46,33,22,48,919,41,133,881,623,477,385,281,238,942,3960,,,
33,North Carolina,34,267,273,82,37,15,6,3,2,686,98,240,882,469,289,168,90,57,151,2344,,,
34,North Dakota,-,17,30,8,3,2,0,-,0,60,-,18,46,34,29,21,12,8,19,186,,,
35,Ohio,0,349,355,96,61,36,16,9,9,931,12,370,871,498,384,302,206,157,404,3192,,,
36,Oklahoma,0,71,119,39,21,15,9,5,8,286,20,99,238,152,123,115,85,76,125,1013,,,
37,Oregon,-,81,106,22,9,7,5,3,2,234,3,122,273,160,102,74,51,39,97,918,,,
38,Pennsylvania,7,211,321,88,58,33,16,12,10,748,11,228,809,588,488,392,256,204,439,3405,,,
39,Rhode Island,-,19,23,5,2,1,1,1,1,52,1,10,51,45,59,58,45,43,111,423,,,
40,South Carolina,-,48,128,65,37,19,5,2,0,304,-,36,316,340,243,132,43,27,23,1161,,,
41,South Dakota,-,11,50,14,7,4,1,0,0,88,0,7,37,25,19,15,15,10,24,152,,,
42,Tennessee,4,371,96,29,15,7,4,2,3,526,45,587,633,249,142,100,59,47,87,1904,,,
43,Texas,1,315,568,235,142,82,38,21,14,1415,91,626,1969,1216,853,651,405,307,813,6841,,,
44,Utah,0,89,96,37,16,10,4,1,0,253,150,114,239,114,64,42,20,13,14,620,,,
45,Vermont,2,35,19,4,1,1,0,-,-,60,5,13,40,22,15,11,6,5,12,125,,,
46,Virginia,15,152,289,104,48,26,12,6,3,638,54,166,670,421,289,207,128,88,128,2096,,,
47,Washington,-,113,122,46,20,12,7,7,7,335,1,160,431,299,213,176,118,106,364,1866,,,
48,West Virginia,3,101,91,21,14,8,3,1,2,241,7,26,156,85,54,35,24,16,22,419,,,
49,Wisconsin,-,105,96,78,37,23,14,6,5,363,3,97,312,303,295,252,156,129,376,1920,,,
50,Wyoming,-,26,45,18,7,4,2,1,2,106,11,24,70,41,28,17,11,10,22,221,,,
51,U.S. Total,321,6615,6834,2259,1310,776,411,249,285,18740,2724,8927,20041,11800,8945,6870,4665,3757,10283,75288,,,
52,Puerto Rico (3),2,-,30,74,47,44,28,8,6,238,2,-,2,7,11,33,21,11,25,109,,,
