"EFFECTIVE DATE OF 
  NEW TAX OR REVISION 
  OF EXISTING TAX","GASOLINE 
  (CENTS PER GALLON)(2)","GASOHOL 
  (CENTS PER GALLON)","DIESEL FUEL 
  (CENTS PER GALLON)(3)","SPECIAL FUEL 
  (CENTS PER GALLON)(4)","LUBRICATING OIL 
  (CENTS PER GALLON)(5)"
"June 21, 1932",1¢ ,(6),?,?,4¢ 
"June 17, 1933",1.5¢ ,?,?,?,?
"January 1,    1934",1¢ ,?,?,?,?
"July 1, 1940",1.5¢ ,?,?,?,4.5¢ 
"November 1,    1942",?,?,?,?,6¢ 
"November 1,    1951",2¢ ,?,2¢ ,2¢ ,?
"September 1,    1955",?,?,?,?,"Cutting oil, 3¢ ; other, 6¢ "
"July 1, 1956",3¢ ,?,3¢ ,3¢ ,?
"October 1,    1959",4¢ ,?,4¢ ,4¢ ,?
"January 1,    1966",?,?,?,?,6¢   (7)
"November 10,    1978",4¢   (8),?,4¢   (8),4¢   (8),6¢   (8)
"January 1,    1979",4¢   (8) (9),(6),?,4¢   (8),6¢   (8) (9)
"January 7,    1983",?,?,?,?,Repealed
"April 1, 1983",9¢   (8) (10),4¢ ,9¢   (8) (10),4¢   (8) (9),?
"August 1,    1984",?,?,15¢   (8) (10) (11),?,?
"January 1,    1985",?,3¢ ,?,?,?
"January 1,    1987",9.1¢   (8) (10) (12),3.1¢   (12),15.1¢   (8) (10) (11) (12),?,?
"December 1,    1990",14.1¢   (8) (10) (12) (13),8.7¢ & 8.1¢      (12) (13) (14),20.1¢   (8) (10) (11) (12) (13),14¢       (4) (8) (13),?
"January 1,    1993",?,8.7¢ & 8.1¢      (12) (13) (14),?,?,?
"October 1,    1993  (16)",18.4¢   (8) (10) (12) (15),13¢ & 12.4¢   (12) (14) (15),24.4¢   (8) (10) (11) (12) (15),18.3¢   (4) (8) (15),?
"January 1,    1996",18.3¢   (8) (10) (15),12.9¢   (14) (15),24.3¢   (8) (10) (15),18.3¢   (4) (8) (15),?
"October 1,    1997",18.4¢ (12) (16),13.0¢  (12) (13) (17),24.4¢ (12),13.6¢   (4) (20),?
"January 1,    2001",?,13.1¢  (12) (13) (20),?,?,?
"January 1, 2003",?,13.2¢   (12) (13) (20),?,?,?
"January 1, 2005",?,18.4¢ ,?,?,?
Termination  (20),"October 1, 2016 ","October 1, 2016 ","October 1, 2016 ","October 1, 2016 ", 
