  STATE ,RURAL ,,,,,,URBAN ,,,,,," 
        TOTAL UNREPORTED "," 
        TOTAL "
,"STATE 
        HIGHWAY 
        AGENCY "," COUNTY 
","TOWN, 
        TOWNSHIP, 
        MUNICIPAL (2)","OTHER 
        JURIS- 
        DICTIONS (3)"," FEDERAL 
        AGENCY (4)"," TOTAL 
","STATE
        HIGHWAY AGENCY ", COUNTY ,"TOWN, 
        TOWNSHIP, 
        MUNICIPAL (2)","OTHER 
        JURIS- 
        DICTIONS (3)"," FEDERAL 
        AGENCY (4)", TOTAL ,,
Alabama," 13,457 "," 96,802 "," 10,119 ", 272 ," 1,319 "," 121,969 "," 4,116 "," 3,314 "," 33,685 ", 0 ," 1,099 "," 42,215 ",-," 164,184 "
Alaska," 7,913 "," 3,724 "," 2,399 "," 3,766 "," 3,595 "," 21,398 "," 1,117 "," 2,783 ", 529 , 12 , 118 ," 4,560 ",-," 25,958 "
Arizona," 8,975 "," 22,081 "," 3,958 "," 6,502 "," 22,536 "," 64,052 "," 2,004 "," 6,835 "," 32,534 ", 605 , 383 ," 42,361 ",-," 106,413 "
Arkansas," 22,664 "," 103,985 "," 7,462 ",-," 3,458 "," 137,568 "," 3,767 "," 2,250 "," 20,755 ",-, 794 ," 27,565 ",-," 165,133 "
California," 16,749 "," 102,595 "," 1,894 "," 1,538 "," 16,191 "," 138,966 "," 7,541 "," 34,931 "," 131,856 ", 231 ," 1,639 "," 176,199 ",-," 315,164 "
Colorado," 12,131 "," 82,563 "," 3,336 "," 1,340 "," 10,502 "," 109,871 "," 2,451 "," 7,639 "," 22,765 ", 32 , 54 ," 32,941 ",-," 142,813 "
Connecticut," 1,882 ",-," 6,807 ", 425 , 32 ," 9,146 "," 4,104 ",-," 21,164 ", 114 , 92 ," 25,474 ",-," 34,620 "
Delaware," 4,578 ",-, 84 , 66 , 116 ," 4,844 "," 4,116 ",-," 1,224 ", 60 , 81 ," 5,481 ",-," 10,325 "
Dist. of Columbia,-,-,-,-,-,-," 2,212 ",-,-, 50 , 163 ," 2,425 ",-," 2,425 "
Florida," 9,082 "," 42,574 "," 4,148 ", 131 ," 2,789 "," 58,723 "," 10,417 "," 70,781 "," 56,731 ", 9 , 739 ," 138,678 ",-," 197,401 "
Georgia," 20,259 "," 93,755 "," 6,563 ", 145 ," 4,465 "," 125,187 "," 8,628 "," 46,923 "," 25,358 ", 49 , 66 ," 81,024 ",-," 206,211 "
Hawaii, 777 ," 1,646 ",-, 79 , 181 ," 2,684 ", 739 ," 3,686 ",-, 33 , 27 ," 4,486 ",-," 7,170 "
Idaho," 7,398 "," 25,810 "," 2,854 "," 23,540 "," 13,189 "," 72,792 ", 636 , 593 ," 6,873 "," 1,442 ", 3 ," 9,546 ",-," 82,338 "
Illinois," 16,789 "," 22,284 "," 114,707 ", 667 , 349 ," 154,794 "," 8,908 "," 4,247 "," 66,072 ", 637 , 47 ," 79,911 ",-," 234,706 "
Indiana," 14,153 "," 86,776 "," 4,544 ", 840 , 477 ," 106,790 "," 3,821 "," 18,133 "," 26,318 ", 128 , 225 ," 48,625 ",-," 155,415 "
Iowa," 12,599 "," 141,831 "," 8,788 ", 700 , 183 ," 164,101 "," 1,692 "," 2,611 "," 15,419 ", 296 , 41 ," 20,059 ", 16 ," 184,176 "
Kansas," 15,257 "," 179,113 "," 8,210 ", 278 ," 1,174 "," 204,032 "," 1,306 "," 3,285 "," 17,627 ", 105 , 5 ," 22,329 ",-," 226,361 "
Kentucky," 39,457 "," 59,785 "," 3,022 ", 778 ," 1,279 "," 104,321 "," 5,019 "," 4,598 "," 14,200 ", 124 , 256 ," 24,197 ",-," 128,518 "
