YEAR,NET INCOME,,,,,,,,,,,,,,EXPENDITURES,CLOSING BALANCE
,FROM EXCISE TAXES,,,,,,,,,,,,,TOTAL (2),,
,MOTOR FUEL,,,,TIRES,INNER TUBES ,TREAD RUBBER ,"TRUCKS, BUSES, AND TRAILERS",USE,LUBRICATING OIL ,PARTS AND ACCESSORIES,TOTAL (2),MISCELLANEOUS (3),,,
,GASOLINE,GASOHOL,DIESEL AND SPECIAL FUELS,TOTAL (2),,,,,,,,,,,,
1957,"1,295,070",-,"30,475","1,325,545","82,182",-,"11,274","34,409","25,499",-,-,"1,478,908","3,094","1,482,002","965,667","516,335"
1958,"1,548,106",-,"49,783","1,597,889","256,306","17,374","10,814","110,506","33,227",-,-,"2,026,115","17,686","2,043,801","1,511,603","1,048,534"
1959,"1,605,691",-,"50,955","1,656,647","247,254","14,874","14,102","107,386","33,852",-,-,"2,074,116","13,584","2,087,700","2,612,576","523,657"
1960,"1,962,135",-,"81,628","2,043,764","281,100","18,830","15,676","141,944","37,712",-,-,"2,539,027","-3,212","2,535,815","2,940,251","119,221"
1961,"2,275,755",-,"84,905","2,360,660","245,984","14,714","13,814","115,598","46,768",-,-,"2,797,538","1,474","2,799,012","2,619,170","299,063"
1962,"2,267,642",-,"105,776","2,373,419","327,006","17,547","22,901","127,974","79,844",-,-,"2,948,690","6,772","2,955,462","2,783,864","470,661"
1963,"2,347,525",-,"114,441","2,461,966","365,966","18,891","24,056","311,120","97,318",-,-,"3,278,698","14,268","3,292,966","3,016,701","746,926"
1964,"2,514,700",-,"128,105","2,642,805","369,520","21,796","21,930","357,345","105,761",-,-,"3,519,157","20,361","3,539,518","3,645,013","641,431"
1965,"2,592,798",-,"143,675","2,736,473","381,540","23,753","24,161","393,304","99,279",-,-,"3,658,509","11,035","3,669,544","4,026,117","284,858"
1966,"2,682,672",-,"163,566","2,846,237","442,154","30,176","24,284","441,969","101,983","23,000","7,000","3,916,803","7,305","3,924,108","3,965,431","243,535"
1967,"2,934,312",-,"190,006","3,124,318","481,951","33,282","28,043","524,549","111,534","68,030","69,155","4,440,862","14,225","4,455,087","9,373,426","725,196"
