,STATE,RURAL,URBAN,TOTAL,INTERSTATE,OTHER FREEWAYS AND EXPRESSWAYS,OTHER PRINCIPAL ARTERIAL,MINOR ARTERIAL,MAJOR COLLECTOR,MINOR COLLECTOR,LOCAL,TOTAL.1,INTERSTATE.1,OTHER FREEWAYS AND EXPRESSWAYS.1,OTHER PRINCIPAL ARTERIAL.1,MINOR ARTERIAL.1,MAJOR COLLECTOR.1,MINOR COLLECTOR.1,LOCAL.1,TOTAL.2
0,Alabama,0.73,,2.01,2.45,3.11,2.3,0.8,1.7,0.49,0.38,0.93,0.9,0.5,8.0,0.29,0.64,0.18,,
1,Alaska,1.8,,1.31,1.71,2.0,3.47,0.24,1.55,1.47,,1.08,0.74,0.84,0.78,0.89,1.06,0.02,,
2,Arizona,1.35,0.0,2.42,2.62,2.87,3.35,2.98,2.15,0.7,0.43,2.88,0.96,0.73,0.71,0.87,1.12,0.01,,
3,Arkansas,1.09,4.06,2.62,2.58,2.87,0.15,2.4,2.22,0.77,1.34,1.09,0.65,0.22,3.1,1.31,0.85,0.01,,
4,California,0.95,9.8,2.57,1.72,2.84,1.59,1.21,2.54,0.38,0.44,1.07,0.88,0.68,0.33,0.41,0.64,0.0,,
5,Colorado,1.04,2.54,1.76,2.76,2.35,2.58,1.43,1.77,0.53,0.36,1.42,0.8,0.5,0.0,0.73,0.79,0.0,,
6,Connecticut,1.49,1.68,1.81,2.21,0.99,1.38,1.18,1.46,0.47,0.53,1.16,1.14,0.81,0.43,0.85,0.76,0.01,,
7,Delaware,,0.33,0.46,3.42,3.63,0.59,3.04,1.77,0.59,0.17,1.46,0.65,0.5,0.0,0.32,0.78,0.19,,
8,Dist. of Columbia,,,,,,,,,0.22,0.0,0.0,0.0,0.0,,2.86,0.65,0.0,,
9,Florida,0.97,1.32,2.5,0.72,0.23,0.07,1.93,1.37,0.46,0.62,1.66,0.46,0.03,0.03,0.43,0.71,0.6,,
10,Georgia,0.83,,1.96,2.35,2.62,3.67,2.25,1.97,0.59,0.54,1.55,1.32,0.46,16.87,0.61,0.97,0.0,,
11,Hawaii,,,3.72,0.18,0.0,0.0,0.0,0.73,0.32,0.0,2.26,2.6,0.0,0.39,0.05,0.95,0.0,,
12,Idaho,1.37,,1.72,1.88,1.54,1.32,1.3,1.57,0.27,,0.68,0.54,0.29,0.0,0.22,0.46,0.2,,
13,Illinois,0.54,2.9,2.2,2.35,2.19,3.57,2.24,1.67,0.32,0.69,1.01,0.96,0.9,0.0,0.62,0.72,0.0,,
