Content Area,Description,Publication Status
FHWA Home Page,Latest News; Top Requests; FHWA Highlights; Special Features,Currently available
What's New,Reverse chronological list of items recently added to the Web site,Currently available
FHWA Programs,Individual links to significant FHWA programs,Currently available
Legislation and Regulations,"SAFETEA-LU, FHWA Directives and Policy Memorandums, Freedom of Information Act (FOIA), DOT Docket Management System, Highway Related Statutes, Highway Related Regulations",Currently available
Electronic Reading Room/FOIA,"Electronic Centralized Agreement Library (E-CAL), Electronic Forms, Freedom of Information Act (FOIA), Intelligent Transportation Systems Electronic Document Library, Publications and Statistics",Currently available
Press Room,"FHWA Press Releases, Speeches and Testimony",Currently available
FHWA Web Sites,Links to FHWA sub-sites and Related Sites and Resources,Currently available
About FHWA,"Information about FHWA, Biographies of Key Officials",Currently available
Employee Phone Directories,Employee Phone Search and Organizational Directory,Currently available
Doing Business with FHWA,Links Procurement Information,Currently available
Search,Search Page,Currently available
Contact Information,Agency Mailing Address,Currently available
Feedback,"E-mail Links to Reports Center, Webmaster, Executive Affairs, and Public Affairs",Currently available
Privacy Policy,Description of privacy practices; Privacy Act Notices; Privacy Impact Assessments; Privacy Officer contact information; how to request Privacy Act information,Currently available
