,FUNCTIONAL SYSTEM,FEDERAL-AID  HIGHWAYS ,"NON- 
        FEDERAL-AID 
        HIGHWAYS ",TOTAL,NATIONAL  HIGHWAY  SYSTEM ,OTHER,TOTAL.1,INTERSTATE,OTHER.1,TOTAL.2
0,Rural:,,,,,,,,,
1,Principal Arterial:,,,,,,,,,
2,Interstate,28990,-,28990.0,-,28990.0,-,28990.0,,
3,Other Freeways and Expressways,-,5917,5917.0,31,5948.0,-,5948.0,,
4,Other,-,87487,87487.0,2132,89618.0,-,89618.0,,
5,Subtotal,28990,93404,122394.0,2162,124556.0,-,124556.0,,
6,Minor Arterial,-,2358,2358.0,130658,133016.0,-,133016.0,,
7,Major Collector,-,854,854.0,408821,409676.0,-,409676.0,,
8,Minor Collector,-,17,17.0,-,17.0,257976,257993.0,,
9,Local,-,41,41.0,-,41.0,2020230,2020272.0,,
10,Total Rural,28990,96674,125664.0,541642,667307.0,2278206,2945513.0,,
11,Small Urban:,,,,,,,,,
12,Principal Arterial:,,,,,,,,,
13,Interstate,2776,-,2776.0,-,2776.0,-,2776.0,,
14,Other Freeways and Expressways,-,1333,1333.0,15,1348.0,-,1348.0,,
15,Other,-,12574,12574.0,1075,13650.0,-,13650.0,,
16,Subtotal,2776,13907,16683.0,1090,17773.0,-,17773.0,,
17,Minor Arterial,-,751,751.0,20678,21429.0,-,21429.0,,
18,Major Collector,-,79,79.0,28380,28459.0,-,28459.0,,
19,Minor Collector,-,7,7.0,4006,4013.0,-,4013.0,,
20,Local,-,18,18.0,-,18.0,151011,151029.0,,
21,Total Small Urban,2776,14762,17538.0,54155,71692.0,151011,222703.0,,
22,Urbanized:,,,,,,,,,
23,Principal Arterial:,,,,,,,,,
24,Interstate,16287,-,16287.0,-,16287.0,-,16287.0,,
25,Other Freeways and Expressways,-,10572,10572.0,119,10690.0,-,10690.0,,
26,Other,-,50340,50340.0,2864,53205.0,-,53205.0,,
27,Subtotal,16287,60912,77199.0,2983,80183.0,-,80183.0,,
28,Minor Arterial,-,1768,1768.0,90395,92163.0,-,92163.0,,
29,Major Collector,-,431,431.0,100787,101218.0,-,101218.0,,
30,Minor Collector,-,10,10.0,9863,9873.0,-,9873.0,,
31,Local,-,133,133.0,-,133.0,702943,703075.0,,
32,Total Urbanized,16287,63253,79541.0,204028,283569.0,702943,986511.0,,
33,Total Urban:,,,,,,,,,
34,Principal Arterial:,,,,,,,,,
35,Interstate,19063,-,19063.0,-,19063.0,-,19063.0,,
36,Other Freeways And Expressways,-,11904,11904.0,134,12038.0,-,12038.0,,
37,Other,-,62915,62915.0,3940,66855.0,-,66855.0,,
38,Subtotal,19063,74819,93882.0,4074,97956.0,-,97956.0,,
39,Minor Arterial,-,2519,2519.0,111073,113592.0,-,113592.0,,
40,Major Collector,-,510,510.0,129167,129677.0,-,129677.0,,
41,Minor Collector,-,16,16.0,13869,13885.0,-,13885.0,,
42,Local,-,151,151.0,-,151.0,853953,854104.0,,
43,Total Urban,19063,78015,97078.0,258182,355261.0,853953,1209214.0,,
44,Total Rural and Urban,48053,174690,222743.0,799825,1022567.0,3132160,4154727.0,,
