EFFECTIVE DATE OF NEW TAX OR    REVISION OF EXISTING TAX,AUTOMOBILES (PERCENT OF MANUFACTURER'S SALES PRICE),MOTORCYCLES (PERCENT OF MANUFACTURER'S SALES PRICE),BUSES (PERCENT OF MANUFACTURER'S SALES PRICE),TRUCKS (2),TRAILERS (2),PARTS AND ACCESSORIES (PERCENT OF MANUFACTURER'S SALES PRICE),TIRES (3),TUBES (3),TREAD RUBBER (CENTS PER POUND) (4),USE
"October    4, 1917",3 percent,3 percent,3 percent,3 percent,?,?,?,?,?,?
"January 1, 1919",?,?,?,?,?,?,?,?,?,Automobiles for hire $10 for 7 or fewer passengers;    $20 for over 7 passengers
"February 25, 1919",5 percent,5 percent,5 percent,?,?,5 percent,5 percent,5 percent,?,?
"July 3, 1924",?,?,?,"Exempted truck chassis    sold for $1,000 or less and    truck bodies for $200 or less ",?,2.5 percent,2.5 percent,2.5 percent,?,?
"February 26, 1926",?,?,?,Repealed,?,Repealed,Repealed,Repealed,?,?
"March 29, 1926",3 percent,3 percent,3 percent,?,?,?,?,?,?,?
"June 30, 1926",?,?,?,?,?,?,?,?,?,Repealed
"May 29, 1928",Repealed,Repealed,Repealed,?,?,?,?,?,?,?
"June 21, 1932",3 percent,3 percent,3 percent,2 percent,?,2 percent,2.25¢ per pound,4¢ per pound,?,?
"July 1, 1940",3.5 percent,3.5 percent,3.5 percent,2.5 percent,?,2.5 percent,2.5¢ per pound,4.5¢ per pound,?,?
"October 1, 1941",7 percent,7 percent,5 percent,5 percent,"House trailers, 7 percent; others, 5 percent ",5 percent,5¢ per pound,9¢ per pound,?,?
"February 1, 1942",?,?,?,?,?,?,?,?,?,"All motor vehicles, $5"
"June 30, 1946",?,?,?,?,?,?,?,?,?,Repealed
"November 1, 1951",10 percent,10 percent,8 percent,8 percent,8    percent (5),8 percent,?,?,?,?
"September 1, 1955",?,Repealed,?,?,?,?,?,?,?,?
"July 1, 1956",?,?,10 percent,10 percent,10    percent (5),?,8¢ per pound,?,3¢,"Annual tax on motor vehicles over 26,000  pounds gross weight, $1.50 per 1,000 pounds (6)"
"July 1, 1961",?,?,?,?,?,?,10¢ per pound,10¢ per pound,5¢,"Annual tax on motor vehicles over 26,000  pounds gross weight,  $3 per 1,000 pounds (6)"
"June 22, 1965",7 percent (7),?,10 percent (5),10 percent (5),?,?,?,?,?,?
"January 1,    1966",6 percent,?,?,?,?,8 percent (8),?,?,?,?
"March 16, 1966",7 percent,?,?,?,?,?,?,?,?,?
"August 16,    1971",Repealed,?,?,?,?,?,?,?,?,?
"November 10,    1978",?,?,Repealed (9),?,?,8 percent (9) (10),10¢ per    pound (9),10¢ per pound (9),5¢ (9),?
"January 1,    1981",?,?,?,?,?,?,9.75¢    per pound (9) (11),?,?,?
"January 7,    1983",?,?,?,10 percent (12),10    percent (5) (12),Repealed,?,?,?,?
"April 1, 1983",?,?,?,12 percent (12),12 percent (5) (12),?,?,?,?,?
"January 1, 1984",?,?,?,?,?,?,15¢ per pound over 40 to 70 pounds; $4.50 plus 30¢ per  pound over 70 to 90 pounds; $10.50 plus 50¢ per pound over 90 pounds (9),Repealed,Repealed,?
"July 1, 1984",?,?,?,?,?,?,?,?,?,"Annual tax on motor vehicles: 55,000 TO 75,000 pounds gross weight, $100 plus $22 per 1,000 pounds over 55,000 pounds; over 75,000 pounds, $550 (13)"
"January 1, 2005",?,?,?,?,?,?,"9.45¢ per 10 pounds max. rated load capacity over 3,500 pounds, (4.725¢ in the case of bias ply  or super-single tires ",?,?,?
