STATE,MINOR ARTERIAL,,,,,,,MAJOR COLLECTOR,,,,,,
,2 LANES,DIVIDED HIGHWAYS -    4 OR    MORE LANES (2),,,,OTHER (3),TOTAL,2 LANES,DIVIDED HIGHWAYS -    4 OR    MORE LANES (2),,,,OTHER (3),TOTAL
,,DEGREE OF ACCESS CONTROL,,,TOTAL,,,,DEGREE OF ACCESS CONTROL,,,TOTAL,,
,,NONE,PARTIAL,FULL,,,,,NONE,PARTIAL,FULL,,,
Alabama,"3,726 ",228 ,-,-,228 ,61 ,"4,014 ","11,934 ",-,-,-,-,267 ,"12,200 "
Alaska,347 ,1 ,-,-,1 ,81 ,429 ,"1,568 ",-,-,-,-,30 ,"1,598 "
Arizona,"1,244 ",20 ,-,-,20 ,21 ,"1,284 ","4,124 ",7 ,-,-,7 ,73 ,"4,204 "
Arkansas,"2,675 ",-,-,-,-,395 ,"3,070 ","11,741 ",-,-,-,-,94 ,"11,835 "
California,"5,998 ",10 ,-,-,10 ,49 ,"6,057 ","11,791 ",11 ,-,-,11 ,14 ,"11,816 "
Colorado,"3,452 ",-,8 ,-,8 ,0 ,"3,460 ","5,448 ",-,-,-,-,-,"5,448 "
Connecticut,221 ,-,-,-,-,-,221 ,857 ,-,-,-,-,-,857 
Delaware,93 ,12 ,-,-,12 ,-,105 ,435 ,-,-,-,-,1 ,435 
Dist. of Columbia,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Florida,"2,101 ",83 ,-,-,83 ,7 ,"2,191 ","3,994 ",2 ,-,-,2 ,24 ,"4,020 "
Georgia,"4,342 ",9 ,-,-,9 ,361 ,"4,712 ","11,627 ",-,-,-,-,41 ,"11,667 "
Hawaii,254 ,0 ,0 ,-,0 ,1 ,255 ,220 ,-,-,-,-,-,220 
Idaho,"1,392 ",4 ,-,-,4 ,65 ,"1,461 ","5,865 ",2 ,-,-,2 ,73 ,"5,940 "
Illinois,"4,461 ",-,44 ,-,44 ,53 ,"4,558 ","13,017 ",-,-,-,-,103 ,"13,120 "
Indiana,"2,004 ",40 ,146 ,-,185 ,49 ,"2,238 ","9,641 ",1 ,116 ,-,116 ,133 ,"9,890 "
