 STATE,GENERAL MEASURES,,,,,,,,,,,TRAVEL MEASURES,,,,,,
," 2010 LAND AREA (1) 
        (SQUARE MILES)",,, 2010 POPULATION (1),,,,PERSONAL INCOME (2),,GROSS STATE PRODUCT (2),, ANNUAL VEHICLE-MILES OF TRAVEL (MILLIONS),,,,, LANE-MILES,
, RURAL, URBAN, PERCENT URBAN," RURAL (1,000)"," URBAN (1,000)", PERCENT URBAN,TOTAL PER SQUARE MILE,AMOUNT (BILLIONS OF DOLLARS), PER CAPITA,AMOUNT (BILLIONS OF DOLLARS), PER CAPITA,RURAL,,URBAN,,TOTAL PER CAPITA, RURAL, URBAN
,,,,,,,,,,,,ANNUAL VMT,PERCENT TRUCKS (3),ANNUAL VMT,PERCENT TRUCKS (3),,,
Alabama,"48,438 ","2,207 ",4.4,"1,958 ","2,822 ",59.0,94 ,190 ,"38,452 ",200 ,"36,750 ","28,283 ",13.1%,"38,974 ",7.8%,"14,071 ","155,405 ","57,722 "
Alaska,"570,381 ",260 ,0.0,241 ,469 ,66.0,1 ,42 ,"56,171 ",53 ,"66,835 ","2,126 ",12.9%,"2,920 ",6.5%,"7,104 ","26,947 ","6,060 "
Arizona,"111,407 ","2,187 ",1.9,651 ,"5,741 ",89.8,56 ,275 ,"39,555 ",291 ,"38,276 ","15,589 ",18.5%,"49,455 ",8.3%,"10,176 ","82,713 ","61,209 "
Arkansas,"50,938 ","1,097 ",2.1,"1,278 ","1,638 ",56.2,56 ,117 ,"38,599 ",119 ,"36,259 ","16,864 ",18.7%,"18,033 ",13.0%,"11,968 ","173,419 ","36,963 "
California,"147,560 ","8,219 ",5.3,"1,880 ","35,374 ",95.0,239 ,"2,172 ","54,578 ","2,481 ","56,851 ","53,680 ",13.8%,"281,859 ",6.4%,"9,007 ","178,765 ","253,319 "
Colorado,"102,114 ","1,528 ",1.5,696 ,"4,333 ",86.2,49 ,285 ,"51,224 ",314 ,"52,558 ","14,707 ",11.0%,"35,730 ",4.8%,"10,029 ","138,636 ","46,035 "
Connecticut,"3,016 ","1,826 ",37.7,429 ,"3,145 ",88.0,738 ,252 ,"69,722 ",253 ,"62,800 ","3,158 ",5.0%,"28,434 ",5.5%,"8,839 ","11,544 ","34,271 "
Delaware,"1,542 ",407 ,20.9,150 ,748 ,83.3,461 ,46 ,"48,073 ",69 ,"63,783 ","3,000 ",8.7%,"6,931 ",7.5%,"11,059 ","6,266 ","7,625 "
Dist. of Columbia,-,61 ,100.0,-,602 ,100.0,"9,856 ",51 ,"73,733 ",122 ,"159,938 ",-,-,"3,557 ",3.9%,"5,912 ",-,"3,438 "
Florida,"46,222 ","7,403 ",13.8,"1,661 ","17,140 ",91.2,351 ,935 ,"44,888 ",888 ,"39,218 ","33,130 ",14.3%,"173,852 ",5.9%,"11,009 ","77,592 ","195,585 "
Georgia,"52,717 ","4,797 ",8.3,"2,416 ","7,272 ",75.1,168 ,430 ,"40,865 ",498 ,"43,555 ","28,590 ",12.2%,"89,517 ",5.6%,"12,191 ","160,604 ","111,006 "
Hawaii,"6,029 ",393 ,6.1,110 ,"1,250 ",91.9,212 ,72 ,"48,897 ",80 ,"49,945 ","1,773 ",4.6%,"8,527 ",4.7%,"7,572 ","3,338 ","6,400 "
Idaho,"82,144 ",499 ,0.6,461 ,"1,106 ",70.6,19 ,65 ,"38,629 ",66 ,"35,455 ","9,537 ",16.4%,"7,124 ",6.2%,"10,629 ","92,209 ","12,627 "
Illinois,"51,573 ","3,946 ",7.1,"1,477 ","11,354 ",88.5,231 ,665 ,"51,135 ",777 ,"53,669 ","25,030 ",20.1%,"80,193 ",9.3%,"8,201 ","195,629 ","110,692 "
Indiana,"33,301 ","2,525 ",7.0,"1,787 ","4,697 ",72.4,181 ,286 ,"42,678 ",336 ,"45,118 ","28,223 ",16.1%,"50,596 ",8.4%,"12,156 ","136,094 ","65,866 "
Iowa,"54,904 ",953 ,1.7,"1,096 ","1,950 ",64.0,55 ,145 ,"46,423 ",174 ,"49,532 ","19,289 ",15.7%,"13,872 ",6.3%,"10,885 ","207,218 ","27,520 "
Kansas,"80,786 ",973 ,1.2,736 ,"2,117 ",74.2,35 ,141 ,"47,427 ",150 ,"46,132 ","14,980 ",18.5%,"16,399 ",7.8%,"10,998 ","255,982 ","31,094 "
Kentucky,"38,076 ","1,411 ",3.6,"1,806 ","2,533 ",58.4,110 ,174 ,"39,271 ",193 ,"38,865 ","26,132 ",12.7%,"22,543 ",9.2%,"11,217 ","133,493 ","33,095 "
Louisiana,"41,236 ","1,968 ",4.6,"1,216 ","3,318 ",73.2,105 ,203 ,"43,206 ",239 ,"44,587 ","18,520 ",20.5%,"29,660 ",12.7%,"10,628 ","90,262 ","39,773 "
Maine,"30,483 ",360 ,1.2,815 ,514 ,38.7,43 ,59 ,"43,619 ",57 ,"38,431 ","10,550 ",9.6%,"4,080 ",6.6%,"11,013 ","40,604 ","6,360 "
Maryland,"7,703 ","2,005 ",20.7,739 ,"5,034 ",87.2,595 ,345 ,"56,708 ",365 ,"54,626 ","10,369 ",8.8%,"47,146 ",6.1%,"9,962 ","27,748 ","42,651 "
Massachusetts,"4,813 ","2,987 ",38.3,526 ,"6,022 ",92.0,839 ,439 ,"63,625 ",485 ,"64,017 ","2,822 ",5.9%,"56,435 ",4.8%,"9,050 ","12,922 ","63,734 "
Michigan,"52,916 ","3,623 ",6.4,"2,514 ","7,370 ",74.6,175 ,439 ,"43,629 ",468 ,"42,401 ","29,116 ",7.8%,"68,727 ",5.2%,"9,900 ","171,083 ","85,976 "
