STATE,MAJOR COLLECTOR,,,,,,MINOR COLLECTOR,,,,,,LOCAL,,,,,
,STATE HIGHWAY AGENCY ,COUNTY ,"TOWN, TOWNSHIP, MUNICIPAL (1)",OTHER JURIS- DICTIONS (2),FEDERAL AGENCY (3),TOTAL,STATE HIGHWAY AGENCY ,COUNTY ,"TOWN, TOWNSHIP, MUNICIPAL (1)",OTHER JURIS- DICTIONS (2),FEDERAL AGENCY (3),TOTAL,STATE HIGHWAY AGENCY ,COUNTY ,"TOWN, TOWNSHIP, MUNICIPAL (1)",OTHER JURIS- DICTIONS (2),FEDERAL AGENCY (3),TOTAL
Alabama,"1,958 ","9,037 ","1,206 ",-,-,"12,201 ",32 ,"6,204 ",400 ,-,-,"6,636 ",1 ,"44,728 ","4,614 ",169 ,819 ,"50,330 "
Alaska,"1,357 ",56 ,126 ,24 ,35 ,"1,598 ",740 ,155 ,253 ,11 ,50 ,"1,209 ",588 ,"2,100 ","1,112 ","2,305 ","2,148 ","8,254 "
Arizona,"1,795 ","1,484 ",171 ,8 ,747 ,"4,204 ",207 ,960 ,70 ,50 ,595 ,"1,882 ",342 ,"11,161 ","2,176 ","3,982 ","12,623 ","30,285 "
Arkansas,"8,335 ","3,360 ",140 ,-,-,"11,835 ",239 ,"6,438 ",212 ,-,-,"6,889 ",103 ,"54,763 ","4,281 ",-,"2,148 ","61,295 "
California,757 ,"10,513 ",183 ,-,364 ,"11,816 ",-,"7,226 ",88 ,13 ,576 ,"7,902 ",-,"44,794 ",814 ,943 ,"9,120 ","55,670 "
Colorado,"1,326 ","3,517 ",108 ,25 ,472 ,"5,448 ",119 ,"7,400 ",235 ,71 ,"1,047 ","8,872 ",21 ,"39,831 ","1,713 ",717 ,"4,964 ","47,246 "
Connecticut,739 ,-,119 ,-,-,857 ,22 ,-,395 ,-,-,417 ,7 ,-,"3,714 ",264 ,20 ,"4,005 "
Delaware,435 ,-,-,-,-,435 ,275 ,-,-,-,-,275 ,"1,883 ",-,52 ,41 ,72 ,"2,048 "
Dist. of Columbia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Florida,405 ,"3,571 ",44 ,-,-,"4,020 ",-,"3,184 ",23 ,-,-,"3,206 ",0 ,"19,246 ","2,502 ",81 ,"1,733 ","23,562 "
Georgia,"5,071 ","6,317 ",279 ,-,0 ,"11,667 ",-,"6,598 ",141 ,1 ,18 ,"6,758 ",2 ,"45,283 ","3,634 ",89 ,"2,756 ","51,764 "
Hawaii,186 ,32 ,-,2 ,-,220 ,12 ,76 ,-,-,-,88 ,-,878 ,-,47 ,101 ,"1,026 "
Idaho,"1,112 ","2,675 ",151 ,"1,975 ",28 ,"5,941 ",-,"1,993 ",65 ,"1,733 ",102 ,"3,892 ",7 ,"11,321 ","1,537 ","10,734 ","8,066 ","31,664 "
Illinois,"2,113 ","10,072 ",926 ,5 ,3 ,"13,120 ",38 ,"2,025 ","1,480 ",4 ,7 ,"3,553 ",310 ,"1,669 ","68,847 ",342 ,206 ,"71,374 "
Indiana,"4,288 ","5,419 ",183 ,-,-,"9,890 ",32 ,"8,511 ",138 ,5 ,-,"8,685 ",74 ,"39,899 ","2,490 ",427 ,296 ,"43,187 "
Iowa,88 ,"13,739 ",408 ,1 ,0 ,"14,236 ",-,"15,863 ",159 ,0 ,0 ,"16,022 ",1 ,"58,355 ","4,885 ",435 ,114 ,"63,790 "
Kansas,"1,748 ","20,294 ",357 ,-,49 ,"22,449 ",7 ,"9,335 ",51 ,-,-,"9,394 ",4 ,"81,643 ","4,691 ",-,681 ,"87,019 "
Kentucky,"5,752 ",9 ,1 ,-,43 ,"5,805 ","9,305 ",16 ,0 ,-,8 ,"9,329 ","4,793 ","37,124 ","1,877 ",483 ,743 ,"45,020 "
Louisiana,"4,712 ",5 ,0 ,1 ,2 ,"4,720 ","3,054 ",209 ,2 ,-,-,"3,264 ","1,739 ","27,748 ","2,207 ",3 ,647 ,"32,344 "
Maine,"3,281 ",-,0 ,-,-,"3,281 ","2,151 ",-,-,-,-,"2,151 ",8 ,369 ,"11,742 ",156 ,162 ,"12,438 "
Maryland,990 ,329 ,8 ,0 ,-,"1,326 ",309 ,"1,315 ",24 ,0 ,2 ,"1,650 ",179 ,"7,973 ",333 ,95 ,703 ,"9,281 "
Massachusetts,150 ,-,709 ,3 ,5 ,867 ,5 ,-,609 ,2 ,1 ,616 ,17 ,-,"4,124 ",236 ,13 ,"4,390 "
Michigan,412 ,"15,584 ",376 ,-,-,"16,372 ",0 ,"4,187 ",41 ,-,-,"4,228 ",10 ,"51,520 ","2,384 ",74 ,"1,808 ","55,796 "
Minnesota,995 ,"14,788 ",128 ,63 ,1 ,"15,976 ",20 ,"11,344 ",376 ,83 ,77 ,"11,901 ",4 ,"16,121 ","58,033 ","1,529 ","2,449 ","78,135 "
