,STATE,INTERSTATE SYSTEM,OTHER  ARTERIALS ,OTHER ,MOTOR- CYCLES ,PASSENGER CARS ,LIGHT TRUCKS , BUSES ,SINGLE-UNIT TRUCKS ,COMBINATION TRUCKS ,TOTAL,MOTOR- CYCLES .1,PASSENGER CARS .1,LIGHT TRUCKS .1, BUSES .1,SINGLE-UNIT TRUCKS .1,COMBINATION TRUCKS .1,TOTAL.1,MOTOR- CYCLES .2,PASSENGER CARS .2,LIGHT TRUCKS .2, BUSES .2,SINGLE-UNIT TRUCKS .2,COMBINATION TRUCKS .2,TOTAL.2
0,Alabama,0.58,58.63,16.99,0.68,5.48,17.64,100.00,0.93,62.56,24.76,0.65,3.78,7.32,100.00,1.14,64.88,25.01,0.61,4.06,4.30,100.00,,,
1,Alaska,0.60,48.94,34.34,0.59,10.03,5.50,100.00,0.92,45.95,36.84,0.52,9.85,5.92,100.00,0.58,54.93,36.31,0.23,6.85,1.10,100.00,,,
2,Arizona,0.62,57.55,16.49,0.85,4.21,20.28,100.00,0.77,64.48,21.43,0.71,4.92,7.69,100.00,0.95,60.97,23.91,0.80,5.35,8.02,100.00,,,
3,Arkansas,0.43,36.22,21.22,1.38,4.75,36.00,100.00,0.71,52.01,32.54,0.59,2.82,11.33,100.00,0.93,50.04,40.62,0.75,3.31,4.35,100.00,,,
4,California,0.57,60.19,17.48,0.36,4.28,17.12,100.00,1.50,63.30,23.68,0.50,4.90,6.12,100.00,1.60,60.94,28.36,0.75,4.40,3.95,100.00,,,
5,Colorado,0.25,64.28,20.30,0.20,2.08,12.89,100.00,1.36,59.52,28.81,0.69,2.40,7.22,100.00,1.37,57.27,34.03,0.91,2.75,3.67,100.00,,,
6,Connecticut,0.04,74.17,13.82,0.29,3.75,7.93,100.00,0.72,78.67,16.07,0.06,2.45,2.03,100.00,1.58,74.94,20.21,0.02,1.79,1.46,100.00,,,
7,Delaware,-,-,-,-,-,-,-,0.38,72.42,17.63,0.85,4.67,4.05,100.00,0.83,70.98,20.76,1.11,4.81,1.51,100.00,,,
8,Dist. of Columbia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
9,Florida,0.27,62.61,18.74,0.72,3.75,13.91,100.00,0.56,61.45,24.08,0.46,5.00,8.45,100.00,0.53,62.62,25.75,0.58,4.44,6.08,100.00,,,
10,Georgia,0.26,61.07,15.93,0.81,2.78,19.15,100.00,0.47,66.88,22.64,0.54,3.58,5.89,100.00,0.58,68.42,23.84,0.49,3.84,2.83,100.00,,,
11,Hawaii,0.11,64.09,30.80,0.45,4.21,0.34,100.00,0.80,77.34,16.42,1.81,2.55,1.08,100.00,0.87,68.97,26.45,0.48,2.83,0.40,100.00,,,
12,Idaho,1.80,39.97,30.61,0.35,5.37,21.90,100.00,1.14,40.78,44.77,0.32,7.46,5.53,100.00,0.91,37.45,49.83,0.25,7.16,4.40,100.00,,,
13,Illinois,0.72,57.52,7.94,1.00,4.33,28.49,100.00,0.73,75.45,7.61,0.55,6.02,9.64,100.00,0.94,81.62,8.17,0.72,4.33,4.22,100.00,,,
14,Indiana,0.56,55.83,18.81,0.37,3.46,20.97,100.00,0.77,58.53,24.08,0.73,4.90,10.99,100.00,1.04,59.65,28.80,0.73,5.88,3.90,100.00,,,
15,Iowa,0.34,57.85,12.63,0.76,3.37,25.05,100.00,0.44,64.58,20.00,0.63,3.89,10.46,100.00,0.00,94.96,0.17,0.02,2.72,2.13,100.00,,,
16,Kansas,0.55,54.50,21.00,0.15,2.50,21.30,100.00,0.55,54.00,26.50,0.05,4.50,14.40,100.00,0.70,48.00,37.50,0.05,5.50,8.25,100.00,,,
17,Kentucky,1.40,59.80,15.50,0.90,3.50,18.90,100.00,1.10,66.20,23.20,0.70,4.10,4.70,100.00,0.80,68.60,23.90,0.60,3.90,2.20,100.00,,,
18,Louisiana,0.33,45.09,24.80,1.05,6.82,21.91,100.00,0.37,51.67,29.88,0.70,6.97,10.41,100.00,0.44,52.29,32.52,0.71,8.06,5.98,100.00,,,
19,Maine,0.31,71.25,13.37,1.00,3.47,10.60,100.00,1.50,74.74,14.00,0.75,4.56,4.45,100.00,1.20,72.29,19.65,0.90,4.96,1.00,100.00,,,
20,Maryland,0.29,74.84,12.46,0.73,3.61,8.07,100.00,0.87,71.91,18.48,0.84,4.52,3.38,100.00,0.82,72.97,19.09,0.80,5.09,1.23,100.00,,,
21,Massachusetts,1.16,75.13,15.95,0.92,3.78,3.06,100.00,1.01,78.36,15.59,0.56,2.80,1.68,100.00,1.26,75.60,17.87,0.67,3.57,1.03,100.00,,,
22,Michigan,0.56,63.73,18.91,0.36,2.16,14.28,100.00,0.84,66.14,26.32,0.15,1.80,4.75,100.00,1.32,63.54,30.22,0.06,2.23,2.63,100.00,,,
23,Minnesota,0.87,61.59,26.00,0.46,2.81,8.27,100.00,0.91,64.14,26.91,0.33,3.41,4.30,100.00,0.91,64.11,26.78,0.83,3.12,4.25,100.00,,,
24,Mississippi,0.20,53.16,19.31,0.66,3.45,23.22,100.00,0.22,59.36,23.25,0.67,4.30,12.20,100.00,0.44,63.62,28.88,0.72,4.67,1.67,100.00,,,
25,Missouri,0.93,49.45,17.44,0.88,4.48,26.82,100.00,0.69,58.56,25.97,0.49,4.42,9.87,100.00,0.44,59.79,29.31,0.31,4.45,5.70,100.00,,,
26,Montana,0.80,43.70,30.10,0.70,3.20,21.50,100.00,1.30,41.50,43.50,0.60,3.40,9.70,100.00,1.20,44.40,45.90,0.40,3.00,5.10,100.00,,,
27,Nebraska,0.32,58.02,21.45,0.12,2.38,17.71,100.00,0.44,53.03,33.30,0.12,3.01,10.10,100.00,0.48,47.06,42.82,0.17,3.54,5.93,100.00,,,
28,Nevada,0.45,66.85,13.38,0.81,4.27,14.24,100.00,0.44,89.42,5.92,0.45,1.68,2.09,100.00,0.29,84.31,11.49,0.45,1.42,2.04,100.00,,,
29,New Hampshire,0.67,65.63,25.09,0.36,3.53,4.72,100.00,1.54,69.59,20.53,0.90,5.10,2.34,100.00,1.76,67.79,22.59,0.71,5.99,1.16,100.00,,,
30,New Jersey,0.04,73.04,15.70,0.31,2.74,8.17,100.00,0.87,68.35,20.93,0.73,6.39,2.73,100.00,0.23,75.16,20.18,0.15,3.26,1.02,100.00,,,
31,New Mexico,0.70,40.30,16.70,1.50,5.60,35.20,100.00,0.90,55.30,25.70,0.90,8.00,9.20,100.00,0.80,52.50,25.90,0.80,11.00,9.00,100.00,,,
32,New York,0.39,63.06,12.08,1.37,3.90,19.20,100.00,0.79,69.15,20.32,0.98,4.73,4.03,100.00,0.89,68.58,23.30,0.75,4.90,1.58,100.00,,,
33,North Carolina,0.38,69.86,14.47,0.54,2.59,12.16,100.00,0.61,70.29,19.80,0.63,3.45,5.22,100.00,0.78,68.72,22.19,0.67,3.84,3.80,100.00,,,
34,North Dakota,0.20,52.36,22.73,0.49,4.45,19.77,100.00,0.23,36.91,33.39,0.60,10.85,18.02,100.00,0.47,36.84,36.85,1.21,9.16,15.47,100.00,,,
35,Ohio,0.46,60.09,14.00,0.36,4.07,21.02,100.00,0.61,63.39,19.90,0.68,4.00,11.42,100.00,0.82,69.31,21.50,0.59,3.43,4.35,100.00,,,
36,Oklahoma,0.31,37.37,27.74,0.54,7.81,26.23,100.00,0.89,44.38,32.36,0.71,8.46,13.20,100.00,0.68,51.96,32.07,0.57,8.97,5.75,100.00,,,
37,Oregon,0.43,51.33,18.84,0.31,5.70,23.39,100.00,1.30,55.12,23.72,1.17,9.18,9.51,100.00,1.38,52.14,26.61,0.92,14.71,4.24,100.00,,,
38,Pennsylvania,0.57,55.34,15.07,1.59,5.53,21.90,100.00,1.25,69.33,19.90,0.63,4.87,4.02,100.00,1.46,70.88,20.25,0.46,5.61,1.34,100.00,,,
39,Rhode Island,0.18,79.56,9.36,0.36,3.61,6.93,100.00,1.07,75.44,15.90,0.87,4.09,2.63,100.00,0.66,65.48,20.46,1.12,11.18,1.10,100.00,,,
