STATE,NATIONAL  HIGHWAY  SYSTEM - RURAL ,,,,,,NATIONAL  HIGHWAY  SYSTEM - URBAN ,,,,,,TOTAL NATIONAL HIGHWAY SYSTEM 
,STATE HIGHWAY AGENCY ,COUNTY ,"TOWN, TOWNSHIP, MUNICIPAL  (2)",OTHER JURIS- DICTIONS (3),FEDERAL AGENCY (4),TOTAL,STATE HIGHWAY AGENCY ,COUNTY ,"TOWN, TOWNSHIP, MUNICIPAL (2)",OTHER JURIS- DICTIONS (3),FEDERAL AGENCY (4),TOTAL,
Alabama," 4,157 ",-,-,-,-," 4,157 "," 2,540 ", 26 , 165 ,-, 2 ," 2,733 "," 6,889 "
Alaska," 3,205 ", 1 , 2 ,-,-," 3,208 ", 347 , 30 , 1 ,-,-, 378 ," 3,586 "
Arizona," 3,369 ", 15 , 4 ,-, 30 ," 3,418 "," 1,200 ", 62 , 453 ,-, 1 ," 1,716 "," 5,133 "
Arkansas," 3,837 ", 1 , 0 ,-,-," 3,838 "," 1,537 ", 1 , 55 ,-,-," 1,593 "," 5,432 "
California," 7,475 ", 273 , 22 ,-, 11 ," 7,781 "," 6,516 ", 841 ," 7,582 ",-, 4 ," 14,943 "," 22,724 "
Colorado," 5,185 ", 4 , 0 ,-,-," 5,189 "," 1,933 ", 111 , 665 ,-,-," 2,710 "," 7,899 "
Connecticut, 286 ,-, 1 ,-,-, 287 ," 1,954 ",-, 79 ,-,-," 2,034 "," 2,321 "
Delaware, 250 ,-,-,-,-, 250 , 432 ,-,-,-,-, 432 , 682 
Dist. of Columbia,-,-,-,-,-,-, 195 ,-,-,-, 21 , 216 , 216 
Florida," 5,512 ", 58 ,-,-,-," 5,570 "," 7,691 ", 520 , 333 ,-,-," 8,543 "," 14,113 "
Georgia," 5,893 ", 7 , 3 ,-,-," 5,903 "," 5,066 ", 335 , 238 , 0 , 6 ," 5,645 "," 11,548 "
Hawaii, 126 , 1 ,-, 2 ,-, 129 , 528 , 45 ,-, 20 ,-, 594 , 723 
Idaho," 3,577 ", 7 , 3 , 15 ,-," 3,602 ", 529 , 8 , 189 , 58 ,-, 783 ," 4,385 "
Illinois," 5,603 ", 12 , 3 , 102 ,-," 5,721 "," 5,799 ", 439 , 322 , 360 , 2 ," 6,921 "," 12,642 "
Indiana," 3,721 ", 19 , 1 , 145 ,-," 3,887 "," 2,901 ", 266 , 657 , 107 ,-," 3,931 "," 7,818 "
Iowa," 6,486 ", 0 , 0 , 1 ,-," 6,487 "," 1,621 ", 7 , 138 , 9 ,-," 1,774 "," 8,262 "
Kansas," 5,629 ",-,-, 278 ,-," 5,907 "," 1,029 ", 12 , 81 , 105 , 5 ," 1,231 "," 7,138 "
Kentucky," 3,769 ", 0 ,-,-,-," 3,770 "," 1,466 ", 5 , 37 ,-,-," 1,508 "," 5,278 "
Louisiana," 2,663 ",-,-, 22 ,-," 2,684 "," 2,339 ", 49 , 114 , 17 ,-," 2,520 "," 5,204 "
Maine," 1,623 ",-,-, 138 , 1 ," 1,762 ", 331 ,-, 0 , 43 ,-, 374 ," 2,136 "
Maryland, 794 ,-, 0 , 19 ,-, 813 ," 2,302 ", 107 , 324 , 171 , 51 ," 2,955 "," 3,768 "
