,STATE,INTERNATIONAL    ROUGHNESS INDEX (IRI) (1),TOTAL URBAN NHS,NOT REPORTED (2),< 60,60-94,95-119,120-144,145-170,171-194,195-220,> 220,TOTAL REPORTED
0,Alabama,2310,19836,14274,4787,3268,1993,1355,968,1123,47604,,
1,Alaska,-,812,1808,689,440,339,224,130,274,4715,,
2,Arizona,3721,20362,19957,5807,3000,1706,937,521,1161,53452,,
3,Arkansas,411,4765,8273,4124,2716,2011,1303,834,1206,25231,,
4,California,4,82996,142636,65788,53297,43313,30541,23581,65702,507855,,
5,Colorado,6,5494,19733,12431,9421,6305,3540,2583,4112,63619,,
6,Connecticut,-,12970,15279,6732,4167,2838,1700,1311,3864,48863,,
7,Delaware,677,1504,5542,1812,799,393,172,112,217,10552,,
8,Dist. of Columbia,-,-,-,166,722,536,123,393,3052,4992,,
9,Florida,20329,62689,93459,26814,13715,6937,3282,1913,2374,211183,,
10,Georgia,7885,48681,37637,11676,6157,3462,1948,1300,2446,113306,,
11,Hawaii,-,486,2342,1927,1944,1824,1160,939,1659,12280,,
12,Idaho,263,2492,3556,1465,712,595,368,230,430,9846,,
13,Illinois,-,11296,46111,22794,19243,9830,4474,4122,6265,124136,,
14,Indiana,14473,13366,13431,7693,4782,2934,1956,1291,1715,47167,,
15,Iowa,1088,3447,5608,3252,2222,1471,852,664,1302,18818,,
16,Kansas,431,7038,6220,2576,1665,1033,572,366,368,19838,,
17,Kentucky,2181,12101,9605,3612,2432,1477,789,527,584,31126,,
18,Louisiana,1778,8159,10241,6586,5811,6001,3624,2921,4966,48308,,
19,Maine,-,1513,1426,513,446,229,176,113,305,4720,,
20,Maryland,375,24589,31464,9995,6891,4720,3040,2223,6198,89120,,
21,Massachusetts,720,33203,20989,7694,6352,6087,4323,4138,10492,93279,,
22,Michigan,515,17287,35981,17427,11507,8814,5964,4688,8882,110549,,
23,Minnesota,1047,8959,18972,8484,4077,2668,1587,948,1580,47276,,
24,Mississippi,126,7940,7220,3445,2318,1707,1052,764,1992,26438,,
25,Missouri,589,24143,23858,7710,4568,3226,1703,1049,1322,67580,,
26,Montana,72,968,1513,646,412,305,184,134,268,4430,,
27,Nebraska,2720,1769,3006,1332,949,902,630,536,1233,10356,,
28,Nevada,66,9683,6344,3651,2442,1313,518,289,286,24527,,
29,New Hampshire,11,7643,2730,858,471,308,205,145,394,12754,,
30,New Jersey,253,25194,36276,14601,10632,8222,5822,4999,12928,118674,,
31,New Mexico,735,5549,3276,1943,1857,1356,814,603,1369,16767,,
32,New York,1553,12988,42738,23859,17539,14166,10197,7935,24916,154336,,
33,North Carolina,4759,24586,40006,16413,8625,4531,2190,1362,3059,100772,,
34,North Dakota,-,530,1161,625,439,335,164,112,260,3627,,
35,Ohio,243,30750,40027,14360,10475,7315,4471,3127,6580,117105,,
36,Oklahoma,287,5309,11472,5314,3563,2933,2196,1629,2639,35056,,
37,Oregon,51,8444,12193,4538,2577,1846,1356,956,1947,33857,,
38,Pennsylvania,966,16936,31869,15813,12061,9131,5507,4076,7123,102516,,
39,Rhode Island,19,1823,3975,1601,1354,1051,905,783,1882,13374,,
40,South Carolina,-,3783,15785,10697,7535,3570,1230,573,339,43512,,
41,South Dakota,1,284,1391,528,352,262,207,120,316,3460,,
42,Tennessee,1261,36672,21546,7694,4416,2673,1608,1254,2145,78008,,
43,Texas,1689,39206,107300,60775,42078,29159,15534,9975,17924,321952,,
44,Utah,2775,7046,12953,6160,3389,2078,771,411,377,33185,,
45,Vermont,81,953,944,376,215,157,85,56,124,2910,,
46,Virginia,2203,15079,39981,19204,11202,7163,4037,2501,3077,102245,,
47,Washington,14,14775,22522,10771,6700,5294,3487,3100,7445,74095,,
48,West Virginia,126,4433,6288,2254,1422,877,493,312,385,16465,,
49,Wisconsin,41,7466,11318,9721,6717,5019,3169,2057,5269,50735,,
50,Wyoming,171,476,1168,645,368,241,164,149,293,3505,,
51,U.S. Total,79025,718473,1073405,480379,330460,232660,142707,105822,236169,3320075,,
52,Puerto Rico (3),71,-,1609,4527,3883,4395,2710,877,1164,19165,,
53,Grand Total,79096,718473,1075014,484905,334343,237055,145418,106699,237333,3339240,,
