STATE,INTERSTATE ,,,OTHER  FREEWAYS  AND  EXPRESSWAYS ,,,,,,OTHER  PRINCIPAL  ARTERIAL ,,,,,
,STATE HIGHWAY AGENCY ,OTHER,TOTAL,STATE HIGHWAY AGENCY ,COUNTY ,"TOWN, TOWNSHIP, MUNICIPAL (2)",OTHER JURIS- DICTIONS (3),FEDERAL AGENCY (4),TOTAL,STATE HIGHWAY AGENCY ,COUNTY ,"TOWN, TOWNSHIP, MUNICIPAL (2)",OTHER JURIS- DICTIONS (3),FEDERAL AGENCY (4),TOTAL
Alabama,691 ,-,691 ,43 ,-,-,-,-,43 ,"1,894 ",26 ,169 ,-,-,"2,088 "
Alaska,127 ,-,127 ,-,-,-,-,-,-,191 ,28 ,-,-,-,220 
Arizona,406 ,-,406 ,327 ,7 ,11 ,-,-,345 ,495 ,147 ,714 ,-,1 ,"1,357 "
Arkansas,472 ,-,472 ,186 ,-,-,-,-,186 ,969 ,-,45 ,-,-,"1,015 "
California,"1,998 ",-,"1,998 ","2,449 ",11 ,77 ,-,-,"2,537 ","2,130 ",850 ,"7,607 ",-,-,"10,588 "
Colorado,489 ,-,489 ,487 ,6 ,29 ,-,-,522 ,985 ,100 ,634 ,-,-,"1,719 "
Connecticut,511 ,-,511 ,392 ,-,-,-,-,392 ,"1,057 ",-,85 ,-,-,"1,143 "
Delaware,65 ,-,65 ,50 ,-,-,-,-,50 ,311 ,-,1 ,-,-,312 
Dist. of Columbia,19 ,-,19 ,21 ,-,-,-,4 ,26 ,155 ,-,-,-,17 ,172 
Florida,"1,252 ",-,"1,252 ",904 ,10 ,7 ,-,-,920 ,"5,581 ",547 ,269 ,-,-,"6,397 "
Georgia,"1,145 ",-,"1,145 ",212 ,38 ,11 ,-,2 ,262 ,"3,298 ",264 ,145 ,-,4 ,"3,711 "
Hawaii,88 ,-,88 ,54 ,-,-,-,-,54 ,383 ,44 ,-,-,-,427 
Idaho,145 ,-,145 ,-,-,-,-,-,-,390 ,24 ,245 ,100 ,-,759 
Illinois,"1,148 ",368 ,"1,515 ",174 ,-,-,1 ,-,175 ,"4,463 ",404 ,199 ,4 ,0 ,"5,070 "
Indiana,694 ,107 ,801 ,246 ,8 ,21 ,-,-,274 ,"1,757 ",266 ,675 ,-,-,"2,698 "
Iowa,277 ,5 ,283 ,-,-,-,-,-,-,"1,340 ",6 ,109 ,4 ,-,"1,458 "
Kansas,272 ,105 ,377 ,293 ,-,9 ,-,0 ,302 ,464 ,12 ,64 ,-,4 ,544 
Kentucky,354 ,-,354 ,118 ,-,-,-,-,118 ,973 ,-,35 ,-,-,"1,008 "
Louisiana,651 ,-,651 ,116 ,-,-,-,-,116 ,"1,552 ",54 ,105 ,17 ,-,"1,729 "
Maine,63 ,43 ,106 ,29 ,-,-,-,-,29 ,216 ,-,-,-,-,216 
Maryland,430 ,114 ,544 ,372 ,1 ,10 ,58 ,50 ,490 ,"1,532 ",88 ,273 ,9 ,1 ,"1,904 "
Massachusetts,821 ,0 ,821 ,456 ,-,49 ,12 ,1 ,518 ,"1,435 ",-,"1,541 ",209 ,-,"3,185 "
Michigan,"1,104 ",-,"1,104 ",574 ,-,-,-,-,574 ,"1,888 ","1,197 ",708 ,7 ,-,"3,799 "
Minnesota,515 ,-,515 ,261 ,1 ,-,-,-,261 ,"1,100 ",140 ,61 ,-,-,"1,301 "
Mississippi,407 ,-,407 ,99 ,-,4 ,-,-,103 ,"1,173 ",31 ,335 ,-,-,"1,538 "
Missouri,866 ,-,866 ,753 ,-,17 ,-,-,770 ,"1,052 ",100 ,298 ,2 ,-,"1,452 "
Montana,157 ,-,157 ,-,-,-,-,-,-,348 ,-,60 ,-,-,408 
Nebraska,108 ,-,108 ,205 ,-,-,-,-,205 ,367 ,28 ,241 ,0 ,-,636 
Nevada,241 ,-,241 ,54 ,25 ,9 ,-,-,88 ,378 ,74 ,121 ,3 ,-,576 
New Hampshire,82 ,52 ,134 ,50 ,-,-,70 ,-,119 ,248 ,-,101 ,7 ,-,357 
