STATE,ALL FEDERAL-AID HIGHWAYS  - RURAL AND URBAN,,,,,,ALL NON-FEDERAL-AID HIGHWAYS  - RURAL AND URBAN,,,,,,TOTAL FEDERAL-AID AND NON-FEDERAL-AID
,STATE HIGHWAY AGENCY ,COUNTY ,"TOWN, TOWNSHIP, MUNICIPAL (1)",OTHER JURIS- DICTIONS (2),FEDERAL AGENCY (3),TOTAL,STATE HIGHWAY AGENCY ,COUNTY ,"TOWN, TOWNSHIP, MUNICIPAL (1)",OTHER JURIS- DICTIONS (2),FEDERAL AGENCY (3),TOTAL,
Alabama," 10,888 "," 10,588 "," 5,229 ",-, 32 ," 26,736 ", 32 ," 51,622 "," 21,990 ", 169 ," 1,470 "," 75,283 "," 102,019 "
Alaska," 4,212 ", 279 , 190 , 26 , 35 ," 4,741 "," 1,400 "," 3,765 "," 1,630 "," 2,322 "," 2,272 "," 11,388 "," 16,129 "
Arizona," 6,066 "," 2,751 "," 4,026 ", 22 , 870 ," 13,735 ", 756 ," 15,216 "," 18,649 "," 4,394 "," 13,371 "," 52,387 "," 66,122 "
Arkansas," 16,013 "," 4,128 "," 2,446 ",-,-," 22,587 ", 411 ," 61,883 "," 15,087 ",-," 2,642 "," 80,022 "," 102,609 "
California," 15,093 "," 17,161 "," 24,093 ",-, 411 ," 56,758 ",-," 68,294 "," 59,015 "," 1,099 "," 10,668 "," 139,076 "," 195,834 "
Colorado," 8,921 "," 4,985 "," 3,100 ", 48 , 526 ," 17,580 ", 140 ," 51,064 "," 13,119 ", 805 ," 6,033 "," 71,160 "," 88,740 "
Connecticut," 3,678 ",-," 2,651 ", 1 ,-," 6,330 ", 42 ,-," 14,729 ", 334 , 77 ," 15,182 "," 21,512 "
Delaware," 1,563 ",-, 15 ,-,-," 1,577 "," 3,840 ",-, 798 , 78 , 122 ," 4,838 "," 6,416 "
Dist. of Columbia, 427 ,-,-, 0 , 27 , 454 , 948 ,-,-, 31 , 74 ," 1,053 "," 1,507 "
Florida," 12,114 "," 10,881 "," 4,572 ",-,-," 27,568 ", 2 ," 59,554 "," 33,257 ", 86 ," 2,192 "," 95,092 "," 122,659 "
Georgia," 17,926 "," 10,993 "," 2,898 ", 4 , 14 ," 31,835 ", 23 ," 76,420 "," 16,937 ", 117 ," 2,801 "," 96,299 "," 128,134 "
Hawaii, 923 , 614 ,-, 16 , 12 ," 1,564 ", 20 ," 2,700 ",-, 54 , 118 ," 2,891 "," 4,455 "
Idaho," 4,985 "," 2,865 "," 1,289 "," 2,486 ", 28 ," 11,653 ", 7 ," 13,541 "," 4,755 "," 13,037 "," 8,169 "," 39,510 "," 51,163 "
Illinois," 15,384 "," 12,610 "," 7,406 ", 320 , 6 ," 35,725 ", 583 ," 3,876 "," 104,925 ", 490 , 240 ," 110,115 "," 145,840 "
Indiana," 11,019 "," 8,258 "," 4,278 ", 157 ,-," 23,711 ", 150 ," 56,930 "," 14,900 ", 444 , 436 ," 72,859 "," 96,571 "
Iowa," 8,879 "," 14,546 "," 2,752 ", 18 , 0 ," 26,196 ", 1 ," 75,205 "," 12,289 ", 612 , 139 ," 88,246 "," 114,442 "
Kansas," 10,281 "," 21,264 "," 2,780 ", 238 , 52 ," 34,615 ", 12 ," 92,073 "," 13,274 ",-, 681 ," 106,039 "," 140,654 "
Kentucky," 13,337 ", 267 , 620 , 3 , 43 ," 14,270 "," 14,299 "," 39,739 "," 10,080 ", 558 , 911 ," 65,588 "," 79,857 "
Louisiana," 11,842 ", 714 ," 1,507 ", 30 , 2 ," 14,095 "," 4,848 "," 31,994 "," 9,825 ", 3 , 653 ," 47,324 "," 61,419 "
Maine," 6,199 ",-, 1 , 113 , 1 ," 6,314 "," 2,159 ", 369 ," 13,725 ", 180 , 164 ," 16,597 "," 22,911 "
Maryland," 4,537 "," 2,413 ", 867 , 135 , 42 ," 7,994 ", 618 ," 19,044 "," 3,453 ", 154 , 774 ," 24,043 "," 32,037 "
Massachusetts," 2,885 ",-," 8,171 ", 227 , 8 ," 11,292 ", 60 ,-," 24,514 ", 468 , 90 ," 25,131 "," 36,423 "
Michigan," 9,649 "," 22,663 "," 4,330 ", 11 ,-," 36,653 ", 19 ," 66,848 "," 16,883 ", 74 ," 1,808 "," 85,633 "," 122,286 "
Minnesota," 11,783 "," 18,783 "," 2,477 ", 65 , 1 ," 33,110 ", 28 ," 27,748 "," 73,704 "," 1,649 "," 2,528 "," 105,657 "," 138,767 "
Mississippi," 10,674 "," 8,685 "," 2,242 ", 0 , 354 ," 21,956 ", 227 ," 44,267 "," 9,620 ", 638 , 68 ," 54,821 "," 76,777 "
Missouri," 26,695 "," 1,017 "," 3,122 ", 5 , 1 ," 30,839 "," 7,178 "," 72,327 "," 19,858 ", 105 ," 1,242 "," 100,710 "," 131,549 "
Montana," 10,234 "," 2,921 ", 620 , 418 , 493 ," 14,685 ", 780 ," 39,674 "," 4,235 "," 3,809 "," 11,825 "," 60,323 "," 75,007 "
Nebraska," 9,935 "," 9,193 "," 1,460 ", 1 , 29 ," 20,617 ", 7 ," 52,073 "," 21,462 ", 121 , 202 ," 73,864 "," 94,481 "
Nevada," 4,841 "," 1,497 "," 1,050 ", 70 , 56 ," 7,514 ", 539 ," 28,074 "," 4,577 ",-," 3,196 "," 36,386 "," 43,900 "
New Hampshire," 2,769 ",-, 678 , 99 ,-," 3,546 "," 1,133 ",-," 11,304 ", 7 , 148 ," 12,592 "," 16,138 "
