STATE,INTERSTATE,,,,OTHER FREEWAYS    AND EXPRESSWAYS,,,,,,,OTHER PRINCIPAL    ARTERIAL,,,,,,
,DIVIDED    HIGHWAYS (2),,OTHER (3),TOTAL,2 LANES,DIVIDED HIGHWAYS -    4 OR    MORE LANES (2),,,,OTHER (3),TOTAL,2 LANES,DIVIDED HIGHWAYS -    4 OR    MORE LANES (2),,,,OTHER (3),TOTAL
,FULL ACCESS CONTROL,,,,,DEGREE OF ACCESS CONTROL,,,TOTAL,,,,DEGREE OF ACCESS CONTROL,,,TOTAL,,
,4 LANES,> 4 LANES,,,,NONE,PARTIAL,FULL,,,,,NONE,PARTIAL,FULL,,,
Alabama,440 ,106 ,25 ,571 ,-,-,-,-,-,-,-,921 ,"1,019 ",-,-,"1,019 ",90 ,"2,029 "
Alaska,12 ,2 ,988 ,"1,002 ",-,-,-,-,-,-,-,791 ,-,-,-,-,10 ,801 
Arizona,882 ,28 ,6 ,916 ,0 ,-,-,18 ,18 ,-,18 ,674 ,374 ,62 ,-,436 ,100 ,"1,210 "
Arkansas,410 ,-,-,410 ,-,-,2 ,82 ,84 ,-,84 ,"1,341 ",-,195 ,-,195 ,361 ,"1,896 "
California,990 ,195 ,22 ,"1,206 ",35 ,18 ,125 ,229 ,372 ,-,408 ,"2,303 ",217 ,292 ,242 ,752 ,232 ,"3,287 "
Colorado,638 ,10 ,-,648 ,1 ,-,18 ,3 ,20 ,7 ,28 ,"2,236 ",-,157 ,-,157 ,173 ,"2,566 "
Connecticut,11 ,17 ,-,29 ,-,-,-,35 ,35 ,0 ,36 ,114 ,-,-,-,-,5 ,119 
Delaware,-,-,-,-,-,-,11 ,14 ,25 ,-,25 ,33 ,73 ,13 ,-,86 ,2 ,121 
Dist. of Columbia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Florida,477 ,240 ,-,717 ,8 ,-,-,163 ,163 ,-,171 ,"1,506 ","1,113 ",-,-,"1,113 ",1 ,"2,619 "
Georgia,380 ,154 ,2 ,536 ,-,-,-,-,-,-,-,"1,055 ",885 ,5 ,-,891 ,404 ,"2,350 "
Hawaii,-,-,-,-,-,-,-,-,-,-,-,77 ,-,-,-,-,1 ,78 
Idaho,520 ,-,1 ,521 ,-,-,-,-,-,-,-,"1,447 ",34 ,51 ,-,85 ,219 ,"1,751 "
Illinois,"1,206 ",37 ,-,"1,243 ",-,-,-,-,-,-,-,"1,832 ",170 ,155 ,123 ,448 ,13 ,"2,293 "
Indiana,689 ,9 ,70 ,768 ,0 ,4 ,132 ,5 ,140 ,-,141 ,919 ,220 ,309 ,-,529 ,0 ,"1,448 "
Iowa,611 ,1 ,-,612 ,-,-,-,-,-,-,-,"2,652 ",-,389 ,311 ,700 ,63 ,"3,415 "
Kansas,628 ,11 ,-,640 ,9 ,-,219 ,176 ,395 ,1 ,404 ,"2,533 ",-,48 ,-,48 ,46 ,"2,627 "
Kentucky,418 ,205 ,-,622 ,32 ,-,-,460 ,460 ,-,492 ,785 ,215 ,184 ,-,399 ,32 ,"1,216 "
Louisiana,459 ,42 ,-,502 ,-,12 ,4 ,9 ,24 ,-,24 ,414 ,427 ,42 ,-,469 ,134 ,"1,017 "
Maine,259 ,40 ,0 ,299 ,-,-,-,-,-,-,-,756 ,1 ,0 ,2 ,4 ,29 ,789 
Maryland,60 ,82 ,-,142 ,-,-,-,-,-,-,-,106 ,109 ,95 ,7 ,211 ,19 ,335 
Massachusetts,49 ,11 ,-,60 ,6 ,-,-,-,-,-,6 ,97 ,-,-,-,-,7 ,104 
Michigan,524 ,39 ,1 ,564 ,-,-,-,344 ,344 ,-,344 ,"1,969 ",3 ,65 ,-,68 ,93 ,"2,130 "
Minnesota,586 ,4 ,4 ,594 ,1 ,0 ,2 ,-,3 ,-,4 ,"2,668 ",473 ,143 ,7 ,623 ,191 ,"3,481 "
Mississippi,543 ,1 ,10 ,554 ,-,-,-,-,-,-,-,294 ,"1,123 ",339 ,22 ,"1,484 ",6 ,"1,783 "
Missouri,836 ,-,-,836 ,-,-,663 ,257 ,919 ,-,919 ,"1,593 ",0 ,329 ,39 ,368 ,72 ,"2,032 "
Montana,"1,095 ",-,-,"1,095 ",-,-,-,-,-,-,-,"2,553 ",-,26 ,-,26 ,195 ,"2,773 "
Nebraska,386 ,28 ,-,415 ,0 ,34 ,283 ,16 ,333 ,-,333 ,"2,296 ",16 ,29 ,-,45 ,12 ,"2,353 "
Nevada,421 ,18 ,8 ,448 ,-,-,-,-,-,-,-,"1,319 ",6 ,100 ,-,105 ,78 ,"1,502 "
New Hampshire,133 ,3 ,6 ,142 ,-,-,-,9 ,9 ,-,9 ,302 ,-,-,-,-,21 ,324 
New Jersey,13 ,31 ,-,45 ,1 ,-,-,34 ,34 ,-,35 ,134 ,2 ,-,13 ,15 ,8 ,157 
New Mexico,731 ,27 ,88 ,847 ,-,-,-,-,-,-,-,736 ,961 ,2 ,-,963 ,242 ,"1,941 "
New York,770 ,15 ,18 ,803 ,-,-,0 ,113 ,113 ,-,113 ,"1,802 ",102 ,102 ,9 ,213 ,116 ,"2,132 "
North Carolina,499 ,45 ,8 ,551 ,4 ,0 ,53 ,342 ,394 ,8 ,407 ,788 ,407 ,146 ,34 ,587 ,172 ,"1,547 "
North Dakota,511 ,-,-,511 ,-,-,-,-,-,-,-,"2,440 ",13 ,446 ,-,458 ,65 ,"2,963 "
Ohio,490 ,152 ,-,643 ,0 ,11 ,37 ,257 ,306 ,25 ,331 ,930 ,100 ,468 ,10 ,578 ,8 ,"1,516 "
Oklahoma,639 ,8 ,-,646 ,-,-,-,-,-,-,-,"1,178 ",588 ,113 ,286 ,987 ,87 ,"2,252 "
Oregon,469 ,26 ,0 ,495 ,-,-,-,-,-,-,-,"2,415 ",88 ,3 ,-,91 ,152 ,"2,657 "
