STATE,INTERNATIONAL    ROUGHNESS INDEX (IRI)    (1),,,,,,,,,
,TOTAL RURAL NHS,,,,,,,,,
,NOT REPORTED (2),< 60,60-94,95-119,120-144,145-170,171-194,195-220,> 220,TOTAL REPORTED
Alabama,5 ,"1,264 ",960 ,183 ,89 ,41 ,20 ,11 ,11 ,"2,578 "
Alaska,263 ,290 ,537 ,244 ,191 ,148 ,99 ,73 ,148 ,"1,730 "
Arizona,33 ,916 ,737 ,227 ,116 ,54 ,22 ,11 ,10 ,"2,091 "
Arkansas,2 ,455 ,996 ,421 ,237 ,138 ,65 ,36 ,35 ,"2,383 "
California,-,"1,567 ","1,887 ",660 ,320 ,182 ,73 ,51 ,96 ,"4,835 "
Colorado,-,657 ,"1,331 ",629 ,307 ,151 ,78 ,36 ,35 ,"3,225 "
Connecticut,-,22 ,50 ,32 ,26 ,20 ,12 ,6 ,10 ,178 
Delaware,2 ,47 ,85 ,17 ,3 ,1 ,1 ,0 ,0 ,154 
Dist. of Columbia,-,-,-,-,-,-,-,-,-,-
Florida,186 ,"1,385 ","1,472 ",286 ,88 ,31 ,7 ,4 ,3 ,"3,275 "
Georgia,20 ,"1,146 ","1,786 ",442 ,156 ,63 ,25 ,12 ,17 ,"3,648 "
Hawaii,-,1 ,19 ,14 ,13 ,15 ,8 ,6 ,5 ,80 
Idaho,37 ,723 ,982 ,288 ,113 ,48 ,22 ,12 ,12 ,"2,201 "
Illinois,-,"1,016 ","1,569 ",530 ,265 ,107 ,52 ,12 ,4 ,"3,555 "
Indiana,178 ,"1,017 ",723 ,234 ,125 ,64 ,33 ,18 ,23 ,"2,237 "
Iowa,33 ,"1,097 ","1,304 ",666 ,394 ,243 ,126 ,87 ,80 ,"3,998 "
Kansas,8 ,"2,110 ","1,187 ",211 ,83 ,38 ,15 ,9 ,10 ,"3,663 "
Kentucky,177 ,"1,206 ",670 ,156 ,72 ,35 ,13 ,7 ,7 ,"2,166 "
Louisiana,8 ,359 ,607 ,279 ,184 ,107 ,59 ,31 ,35 ,"1,660 "
Maine,-,345 ,457 ,129 ,68 ,50 ,18 ,14 ,14 ,"1,095 "
Maryland,1 ,200 ,221 ,41 ,18 ,11 ,7 ,2 ,5 ,504 
Massachusetts,-,35 ,74 ,35 ,20 ,9 ,5 ,3 ,5 ,185 
Michigan,5 ,"1,322 ","1,124 ",296 ,139 ,78 ,40 ,19 ,25 ,"3,044 "
Minnesota,11 ,"1,363 ","1,379 ",584 ,324 ,191 ,102 ,55 ,52 ,"4,050 "
Mississippi,2 ,840 ,896 ,281 ,163 ,96 ,42 ,22 ,25 ,"2,365 "
Missouri,1 ,"1,505 ","1,611 ",410 ,160 ,78 ,38 ,19 ,10 ,"3,830 "
Montana,-,"1,101 ","1,891 ",472 ,190 ,92 ,54 ,29 ,38 ,"3,867 "
Nebraska,268 ,"1,391 ",885 ,287 ,150 ,87 ,42 ,24 ,27 ,"2,892 "
Nevada,14 ,"1,234 ",524 ,107 ,30 ,20 ,17 ,16 ,24 ,"1,973 "
New Hampshire,0 ,288 ,149 ,36 ,17 ,12 ,10 ,7 ,11 ,530 
New Jersey,0 ,60 ,74 ,32 ,26 ,18 ,11 ,7 ,11 ,238 
New Mexico,34 ,"1,347 ",795 ,216 ,115 ,61 ,24 ,14 ,12 ,"2,585 "
New York,36 ,532 ,"1,411 ",514 ,256 ,141 ,75 ,42 ,48 ,"3,020 "
North Carolina,67 ,787 ,"1,221 ",338 ,158 ,68 ,25 ,16 ,23 ,"2,635 "
North Dakota,3 ,"1,329 ","1,367 ",437 ,173 ,87 ,33 ,20 ,26 ,"3,472 "
Ohio,5 ,862 ,"1,029 ",321 ,133 ,65 ,27 ,14 ,14 ,"2,465 "
Oklahoma,7 ,730 ,"1,174 ",439 ,234 ,145 ,74 ,43 ,46 ,"2,885 "
Oregon,0 ,842 ,"1,501 ",468 ,179 ,77 ,38 ,23 ,25 ,"3,153 "
Pennsylvania,2 ,872 ,"1,348 ",407 ,183 ,112 ,53 ,32 ,39 ,"3,044 "
Rhode Island,-,18 ,17 ,16 ,19 ,19 ,13 ,9 ,14 ,126 
