STATE,MINOR ARTERIAL,,,,,,,MAJOR COLLECTOR,,,,,,
,LANE WIDTH IN  FEET,,,,,,TOTAL,LANE WIDTH IN  FEET,,,,,,TOTAL
,< 9,9,10,11,12,> 12,,< 9,9,10,11,12,> 12,
Alabama,-,49 ,0 ,770 ,"3,135 ",60 ,"4,014 ",460 ,856 ,"5,020 ","3,072 ","2,771 ",20 ,"12,200 "
Alaska,-,-,18 ,33 ,271 ,110 ,431 ,1 ,7 ,88 ,192 ,"1,050 ",254 ,"1,592 "
Arizona,-,-,11 ,-,"1,272 ",1 ,"1,284 ",-,-,41 ,233 ,"3,725 ",205 ,"4,204 "
Arkansas,-,-,816 ,892 ,"1,363 ",-,"3,070 ",763 ,589 ,"6,097 ","3,171 ","1,215 ",-,"11,835 "
California,-,-,-,-,"6,057 ",-,"6,057 ",-,-,-,-,"11,816 ",-,"11,816 "
Colorado,-,3 ,158 ,700 ,"2,583 ",16 ,"3,460 ",64 ,69 ,420 ,"1,483 ","3,283 ",130 ,"5,448 "
Connecticut,-,-,-,-,221 ,-,221 ,16 ,48 ,74 ,81 ,586 ,52 ,857 
Delaware,-,-,14 ,16 ,74 ,1 ,105 ,-,21 ,167 ,109 ,118 ,20 ,435 
Dist. of Columbia,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Florida,-,-,179 ,146 ,"1,858 ",8 ,"2,191 ",50 ,210 ,917 ,972 ,"1,825 ",46 ,"4,020 "
Georgia,215 ,1 ,38 ,504 ,"2,758 ","1,197 ","4,712 ",189 ,"1,604 ","4,249 ","1,527 ","2,883 ","1,215 ","11,667 "
Hawaii,-,27 ,32 ,72 ,122 ,1 ,255 ,16 ,57 ,54 ,37 ,55 ,1 ,220 
Idaho,-,-,-,111 ,"1,350 ",-,"1,461 ",100 ,7 ,668 ,472 ,"4,693 ",-,"5,940 "
Illinois,-,36 ,74 ,760 ,"2,900 ",787 ,"4,558 ",177 ,905 ,"2,786 ","6,840 ","2,120 ",292 ,"13,120 "
Indiana,12 ,56 ,9 ,65 ,"2,063 ",33 ,"2,238 ",669 ,695 ,"3,143 ",304 ,"5,079 ",-,"9,890 "
Iowa,-,-,66 ,532 ,"2,901 ",389 ,"3,889 ",0 ,-,467 ,"9,262 ","3,699 ",801 ,"14,228 "
Kansas,-,11 ,-,383 ,"3,744 ",111 ,"4,249 ",-,646 ,"3,002 ","8,699 ","9,340 ",763 ,"22,449 "
Kentucky,-,202 ,927 ,503 ,680 ,26 ,"2,338 ",90 ,"1,409 ","3,452 ",501 ,339 ,14 ,"5,805 "
Louisiana,-,-,15 ,391 ,"1,481 ",-,"1,887 ",-,9 ,775 ,"2,549 ","1,388 ",-,"4,720 "
