STATE,RURAL,,,,,,,,URBAN,,,,,,,,TOTAL
,INTERSTATE,OTHER FREEWAYS AND EXPRESSWAYS,OTHER PRINCIPAL ARTERIAL,MINOR ARTERIAL,MAJOR COLLECTOR,MINOR COLLECTOR,LOCAL,TOTAL,INTERSTATE,OTHER FREEWAYS AND EXPRESSWAYS,OTHER PRINCIPAL ARTERIAL,MINOR ARTERIAL,MAJOR COLLECTOR,MINOR COLLECTOR,LOCAL,TOTAL,
Alabama,0.73, ,2.01,2.45,3.11,2.30,0.80,1.70,0.49,0.38,0.93,0.90,0.50,8.00,0.29,0.64,0.18
Alaska,1.80, ,1.31,1.71,2.00,3.47,0.24,1.55,1.47, ,1.08,0.74,0.84,0.78,0.89,1.06,0.02
Arizona,1.35,0.00,2.42,2.62,2.87,3.35,2.98,2.15,0.70,0.43,2.88,0.96,0.73,0.71,0.87,1.12,0.01
Arkansas,1.09,4.06,2.62,2.58,2.87,0.15,2.40,2.22,0.77,1.34,1.09,0.65,0.22,3.10,1.31,0.85,0.01
California,0.95,9.80,2.57,1.72,2.84,1.59,1.21,2.54,0.38,0.44,1.07,0.88,0.68,0.33,0.41,0.64,0.00
Colorado,1.04,2.54,1.76,2.76,2.35,2.58,1.43,1.77,0.53,0.36,1.42,0.80,0.50,0.00,0.73,0.79,0.00
Connecticut,1.49,1.68,1.81,2.21,0.99,1.38,1.18,1.46,0.47,0.53,1.16,1.14,0.81,0.43,0.85,0.76,0.01
Delaware, ,0.33,0.46,3.42,3.63,0.59,3.04,1.77,0.59,0.17,1.46,0.65,0.50,0.00,0.32,0.78,0.19
Dist. of Columbia, , , , , , , , ,0.22,0.00,0.00,0.00,0.00, ,2.86,0.65,0.00
Florida,0.97,1.32,2.50,0.72,0.23,0.07,1.93,1.37,0.46,0.62,1.66,0.46,0.03,0.03,0.43,0.71,0.60
Georgia,0.83, ,1.96,2.35,2.62,3.67,2.25,1.97,0.59,0.54,1.55,1.32,0.46,16.87,0.61,0.97,0.00
Hawaii, , ,3.72,0.18,0.00,0.00,0.00,0.73,0.32,0.00,2.26,2.60,0.00,0.39,0.05,0.95,0.00
Idaho,1.37, ,1.72,1.88,1.54,1.32,1.30,1.57,0.27, ,0.68,0.54,0.29,0.00,0.22,0.46,0.20
Illinois,0.54,2.90,2.20,2.35,2.19,3.57,2.24,1.67,0.32,0.69,1.01,0.96,0.90,0.00,0.62,0.72,0.00
Indiana,0.76,0.41,2.54,2.47,2.72,1.16,2.00,1.85,0.36,0.43,0.72,0.54,0.54,0.24,0.74,0.59,0.00
Iowa,0.42, ,1.11,1.61,1.69,1.59,1.95,1.19,0.45, ,0.66,0.65,0.09, ,1.20,0.65,0.00
Kansas,0.56,1.04,3.68,1.28,1.28,2.37,3.17,1.84,0.35,0.26,1.33,0.40,0.05,2.18,0.76,0.48,0.00
Kentucky,0.64,2.18,2.43,1.95,4.81,3.71,2.36,2.27,0.33,1.26,1.27,0.46,0.19,7.55,1.33,0.74,0.00
Louisiana,0.67,1.47,1.39,2.34,2.88,3.12,3.18,1.91,0.64,0.52,1.47,1.43,1.25,6.43,2.23,1.23,0.01
Maine,0.22, ,1.70,1.08,1.63,1.27,1.62,1.23,0.00,0.00,1.03,0.81,0.52,0.00,1.34,0.64,0.00
Maryland,0.29, ,0.36,0.38,0.63,0.11,0.59,0.41,0.22,0.08,0.42,0.59,0.34,2.24,0.64,0.35,0.53
Massachusetts,0.25,3.13,1.48,0.43,0.56,2.42,0.53,0.67,0.29,0.12,0.85,0.69,0.50, ,0.45,0.51,0.00
Michigan,0.78,0.59,2.74,2.28,1.65,2.71,4.32,1.95,0.24,0.37,0.84,0.55,0.38,46.17,0.72,0.55,0.02
Minnesota,0.36,33.16,0.82,1.64,1.59,1.93,1.27,1.17,0.17,0.14,0.68,0.58,0.47,0.00,0.31,0.40,0.00
