STATE,MINOR ARTERIAL,,,,,,MAJOR COLLECTOR,,,,,,MINOR COLLECTOR,,,,,,LOCAL,,,,,
,STATE HIGHWAY AGENCY ,COUNTY ,"TOWN, TOWNSHIP, MUNICIPAL (2)",OTHER JURIS- DICTIONS (3),FEDERAL AGENCY (4),TOTAL,STATE HIGHWAY AGENCY ,COUNTY ,"TOWN, TOWNSHIP, MUNICIPAL (2)",OTHER JURIS- DICTIONS (3),FEDERAL AGENCY (4),TOTAL,STATE HIGHWAY AGENCY ,COUNTY ,"TOWN, TOWNSHIP, MUNICIPAL (2)",OTHER JURIS- DICTIONS (3),FEDERAL AGENCY (4),TOTAL,STATE HIGHWAY AGENCY ,COUNTY ,"TOWN, TOWNSHIP, MUNICIPAL (2)",OTHER JURIS- DICTIONS (3),FEDERAL AGENCY (4),TOTAL
Alabama,"1,361 ",398 ,"1,977 ",-,37 ,"3,774 ",127 ,"1,584 ","4,105 ",-,13 ,"5,829 ",-,195 ,104 ,-,-,299 ,0 ,"1,111 ","27,330 ",0 ,"1,048 ","29,489 "
Alaska,252 ,55 ,19 ,-,0 ,326 ,269 ,96 ,40 ,1 ,-,406 ,161 ,174 ,43 ,2 ,-,381 ,117 ,"2,429 ",427 ,10 ,117 ,"3,101 "
Arizona,327 ,730 ,"3,156 ",2 ,25 ,"4,240 ",113 ,809 ,"2,085 ",18 ,101 ,"3,127 ",4 ,161 ,169 ,3 ,11 ,347 ,332 ,"4,981 ","26,398 ",583 ,246 ,"32,540 "
Arkansas,"1,402 ",215 ,"1,327 ",-,-,"2,944 ",615 ,711 ,"2,173 ",-,-,"3,500 ",11 ,224 ,155 ,-,-,390 ,111 ,"1,099 ","17,054 ",-,794 ,"19,058 "
California,874 ,"2,272 ","14,784 ",-,5 ,"17,935 ",89 ,"5,102 ","15,723 ",-,47 ,"20,960 ",1 ,498 ,112 ,-,8 ,619 ,-,"26,199 ","93,553 ",231 ,"1,580 ","121,562 "
Colorado,367 ,545 ,"1,997 ",0 ,-,"2,910 ",124 ,779 ,"2,070 ",5 ,10 ,"2,988 ",0 ,42 ,56 ,-,8 ,107 ,-,"6,168 ","17,977 ",26 ,35 ,"24,207 "
Connecticut,"1,515 ",-,"1,176 ",1 ,-,"2,693 ",591 ,-,"2,327 ",1 ,-,"2,919 ",17 ,-,483 ,-,-,500 ,20 ,-,"17,091 ",112 ,92 ,"17,316 "
Delaware,325 ,-,4 ,-,-,329 ,578 ,-,12 ,-,-,590 ,81 ,-,7 ,-,-,87 ,"2,706 ",-,"1,201 ",60 ,81 ,"4,047 "
Dist. of Columbia,250 ,-,-,-,14 ,263 ,242 ,-,-,1 ,8 ,251 ,-,-,-,-,-,-,"1,526 ",-,-,50 ,120 ,"1,695 "
Florida,"2,414 ","2,751 ","1,595 ",-,-,"6,760 ",257 ,"5,900 ","4,218 ",-,-,"10,375 ",6 ,"1,826 ","1,177 ",-,-,"3,008 ",4 ,"59,748 ","49,466 ",9 ,739 ,"109,965 "
Georgia,"3,340 ","2,813 ","1,819 ",-,16 ,"7,988 ",598 ,"3,333 ","2,055 ",6 ,1 ,"5,993 ",1 ,981 ,121 ,-,-,"1,103 ",34 ,"39,495 ","21,206 ",43 ,44 ,"60,822 "
