State,Payments Into The Fund (2),,,,Apportionments And Allocations From The Fund (3),,,,"Ratio Of 
 Apportionments And 
 Allocations To Payments (4)",
,Fiscal Year 2015,Percent Of Total,Cumulated Since 7?1?56,Percent Of Total,Fiscal Year 2015,Percent Of Total,Cumulated Since 7?1?56,Percent Of Total,Fiscal Year 2015,Cumulated Since 7?1?56 
Alabama,"686,513 ",1.920 ,"17,777,333 ",1.968 ,"756,763 ",1.918 ,"20,570,579 ",1.948 ,1.10 ,1.16 
Alaska,"114,378 ",0.320 ,"2,235,256 ",0.247 ,"507,052 ",1.285 ,"13,381,676 ",1.268 ,4.43 ,5.99 
Arizona,"696,605 ",1.948 ,"16,085,802 ",1.781 ,"770,945 ",1.954 ,"17,732,115 ",1.680 ,1.11 ,1.10 
Arkansas,"445,617 ",1.246 ,"11,730,745 ",1.299 ,"513,228 ",1.301 ,"13,421,864 ",1.271 ,1.15 ,1.14 
California,"3,343,184 ",9.348 ,"90,593,734 ",10.028 ,"3,662,857 ",9.284 ,"96,674,922 ",9.157 ,1.10 ,1.07 
Colorado,"569,227 ",1.592 ,"12,628,322 ",1.398 ,"522,061 ",1.323 ,"14,733,998 ",1.396 ,0.92 ,1.17 
Connecticut,"319,408 ",0.893 ,"9,514,606 ",1.053 ,"500,027 ",1.267 ,"16,078,878 ",1.523 ,1.57 ,1.69 
Delaware,"88,245 ",0.247 ,"2,487,043 ",0.275 ,"177,656 ",0.450 ,"4,450,434 ",0.422 ,2.01 ,1.79 
Dist. of Col.,"22,390 ",0.063 ,"1,073,045 ",0.119 ,"160,900 ",0.408 ,"5,147,135 ",0.488 ,7.19 ,4.80 
Florida,"1,810,384 ",5.062 ,"44,837,719 ",4.963 ,"1,887,552 ",4.784 ,"46,113,028 ",4.368 ,1.04 ,1.03 
Georgia,"1,186,063 ",3.316 ,"31,805,475 ",3.521 ,"1,271,040 ",3.222 ,"32,373,286 ",3.066 ,1.07 ,1.02 
Hawaii,"87,435 ",0.244 ,"2,302,257 ",0.255 ,"168,880 ",0.428 ,"6,449,764 ",0.611 ,1.93 ,2.80 
Idaho,"206,632 ",0.578 ,"4,786,338 ",0.530 ,"284,370 ",0.721 ,"7,907,098 ",0.749 ,1.38 ,1.65 
Illinois,"1,273,366 ",3.560 ,"34,244,831 ",3.791 ,"1,417,278 ",3.592 ,"38,440,759 ",3.641 ,1.11 ,1.12 
Indiana,"943,968 ",2.639 ,"24,099,334 ",2.668 ,"940,152 ",2.383 ,"23,689,115 ",2.244 ,1.00 ,0.98 
Iowa,"495,109 ",1.384 ,"11,711,415 ",1.296 ,"492,664 ",1.249 ,"13,209,350 ",1.251 ,1.00 ,1.13 
Kansas,"387,762 ",1.084 ,"10,247,305 ",1.134 ,"378,943 ",0.960 ,"11,501,282 ",1.089 ,0.98 ,1.12 
