,STATE,INTERSTATE ,OTHER  FREEWAYS  AND  EXPRESSWAYS ,OTHER  PRINCIPAL  ARTERIAL ,MINOR  ARTERIAL ,STATE HIGHWAY AGENCY ,OTHER,TOTAL,STATE HIGHWAY AGENCY .1,COUNTY ,"TOWN, TOWNSHIP, MUNICIPAL (1)",OTHER JURIS- DICTIONS (2),FEDERAL AGENCY (3),TOTAL.1,STATE HIGHWAY AGENCY .2,COUNTY .1,"TOWN, TOWNSHIP, MUNICIPAL (1).1",OTHER JURIS- DICTIONS (2).1,FEDERAL AGENCY (3).1,TOTAL.2,STATE HIGHWAY AGENCY .3,COUNTY .2,"TOWN, TOWNSHIP, MUNICIPAL (1).2",OTHER JURIS- DICTIONS (2).2,FEDERAL AGENCY (3).2,TOTAL.3
0,Alabama,571,-,571,-,-,-,-,-,-,2033,1,2,-,-,2035,3768,180,67,-,-,4015,,,,
1,Alaska,1002,-,1002,-,-,-,-,-,-,802,-,-,-,-,802,428,3,-,-,-,431,,,,
2,Arizona,917,-,917,18,-,-,-,-,18,1181,16,7,-,6,1210,1117,99,35,-,32,1284,,,,
3,Arkansas,410,-,410,85,-,-,-,-,85,1897,-,-,-,-,1897,3015,52,3,-,-,3070,,,,
4,California,1209,-,1209,405,2,0,-,-,408,3116,158,13,-,-,3287,4920,1057,79,-,1,6057,,,,
5,Colorado,648,-,648,28,-,-,-,-,28,2567,1,1,-,-,2569,2829,553,16,20,43,3460,,,,
6,Connecticut,29,-,29,36,-,-,-,-,36,118,-,1,-,-,119,219,-,2,-,-,221,,,,
7,Delaware,-,-,-,25,-,-,-,-,25,121,-,-,-,-,121,105,-,0,-,-,105,,,,
8,Dist. of Columbia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,
9,Florida,717,-,717,173,-,-,-,-,173,2587,33,-,-,-,2619,1761,420,9,-,-,2191,,,,
10,Georgia,536,-,536,-,-,-,-,-,-,2345,3,2,-,-,2350,4635,55,22,-,-,4712,,,,
11,Hawaii,-,-,-,-,-,-,-,-,-,77,1,-,-,-,78,207,36,-,-,12,255,,,,
12,Idaho,521,-,521,-,-,-,-,-,-,1721,6,3,21,-,1751,1237,43,17,165,-,1461,,,,
13,Illinois,1180,63,1243,30,-,-,-,-,30,2286,7,2,-,-,2295,4476,73,21,-,-,4570,,,,
14,Indiana,678,90,768,141,-,-,-,-,141,1431,16,2,-,-,1448,2152,76,11,-,-,2238,,,,
15,Iowa,612,-,612,-,-,-,-,-,-,3418,0,0,1,-,3419,3709,172,9,0,-,3891,,,,
16,Kansas,467,173,639,404,-,-,-,-,404,2627,-,-,-,-,2627,4223,23,2,-,-,4248,,,,
17,Kentucky,622,-,622,492,-,-,-,-,492,1216,-,-,-,-,1216,2338,-,-,-,-,2338,,,,
18,Louisiana,532,-,532,24,-,-,-,-,24,1017,-,-,13,-,1031,1885,4,0,3,-,1893,,,,
19,Maine,214,85,299,-,-,-,-,-,-,789,-,-,-,-,789,953,-,-,-,0,953,,,,
20,Maryland,133,10,142,-,-,-,-,-,-,333,-,0,2,-,335,716,10,-,-,-,726,,,,
21,Massachusetts,64,-,64,8,-,3,-,-,10,102,-,3,-,-,105,218,-,97,-,-,315,,,,
22,Michigan,561,4,566,344,-,-,-,-,344,2130,0,-,-,-,2130,3396,1454,36,-,-,4886,,,,
23,Minnesota,594,-,594,4,-,-,-,-,4,3454,28,-,-,-,3481,5187,1337,9,-,-,6533,,,,
24,Mississippi,554,-,554,-,-,-,-,-,-,1764,16,3,-,-,1783,3457,17,8,-,264,3746,,,,
25,Missouri,842,-,842,926,-,-,-,-,926,2029,1,2,0,-,2032,3959,12,15,1,-,3987,,,,
26,Montana,1094,-,1094,-,-,-,-,-,-,2773,0,-,-,-,2773,2784,0,-,0,58,2843,,,,
27,Nebraska,415,-,415,333,-,-,-,-,333,2353,-,-,-,-,2353,4135,0,6,0,-,4141,,,,
28,Nevada,448,-,448,-,-,-,-,-,-,1493,11,-,-,-,1504,680,42,-,0,-,723,,,,
29,New Hampshire,139,3,142,9,-,-,-,-,9,315,-,-,9,-,324,622,-,3,-,-,626,,,,
30,New Jersey,41,4,45,2,-,-,34,-,35,148,9,-,0,-,157,153,131,6,-,-,290,,,,
31,New Mexico,847,-,847,-,-,-,-,-,-,1923,7,10,-,-,1941,2089,66,59,-,38,2252,,,,
32,New York,546,257,803,103,-,-,10,-,113,2122,6,-,4,-,2132,2787,54,4,28,-,2873,,,,
33,North Carolina,551,-,551,408,-,-,-,-,408,1547,-,-,-,-,1547,2862,-,0,-,230,3092,,,,
34,North Dakota,511,-,511,-,-,-,-,-,-,2961,3,-,-,-,2963,2516,-,-,-,-,2516,,,,
35,Ohio,492,151,643,331,-,-,-,-,331,1516,1,0,-,-,1518,2593,48,9,-,-,2649,,,,
36,Oklahoma,427,220,646,-,-,-,-,-,-,1988,-,-,264,-,2252,2659,1,5,-,-,2665,,,,
37,Oregon,495,-,495,-,-,-,-,-,-,2643,15,-,-,-,2658,1810,382,1,0,32,2225,,,,
38,Pennsylvania,857,255,1112,332,-,-,26,-,357,1555,-,8,-,0,1563,4489,1,32,0,21,4543,,,,
39,Rhode Island,18,-,18,11,-,-,-,-,11,97,-,-,-,-,97,72,-,0,-,-,72,,,,
40,South Carolina,546,-,546,45,-,-,-,-,45,1546,0,-,-,-,1546,2973,2,6,-,4,2986,,,,
41,South Dakota,591,-,591,291,-,-,-,-,291,2586,-,-,-,6,2593,2926,-,0,-,36,2962,,,,
42,Tennessee,573,-,573,-,-,-,-,-,-,1737,-,-,-,-,1737,2938,28,4,-,-,2969,,,,
43,Texas,2001,-,2001,-,-,-,4,-,4,8417,18,2,0,-,8438,10379,54,32,-,-,10465,,,,
44,Utah,684,-,684,9,-,-,-,-,9,1152,-,-,-,12,1164,1258,41,5,-,17,1321,,,,
45,Vermont,259,-,259,2,-,-,-,-,2,301,-,11,-,-,312,702,-,26,-,-,728,,,,
46,Virginia,469,-,469,88,-,-,-,-,88,1297,-,-,-,-,1297,3067,-,31,-,86,3183,,,,
47,Washington,429,-,429,614,-,-,-,-,614,1310,2,-,-,-,1312,1683,287,10,1,41,2021,,,,
48,West Virginia,264,45,309,9,-,-,-,-,9,995,-,-,-,-,995,1310,-,-,-,-,1310,,,,
49,Wisconsin,512,-,512,142,-,-,-,-,142,2920,10,-,-,-,2931,4611,134,1,-,-,4746,,,,
50,Wyoming,808,-,808,-,-,-,-,-,-,1922,-,-,-,62,1983,951,1,-,-,275,1227,,,,
51,U.S. Total,27630,1360,28990,5870,2,3,73,-,5948,88774,370,73,315,86,89618,123959,6950,697,219,1191,133016,,,,
52,Puerto Rico (4),31,-,31,,,,,,-,53,,,,,53,231,,1,,,232,,,,
53,Grand Total,27661,1360,29021,5870,2,3,73,-,5948,88827,370,73,315,86,89671,124190,6950,698,219,1191,133248,,,,
