STATE,MINOR ARTERIAL,,,,,,MAJOR COLLECTOR,,,,,,MINOR COLLECTOR,,,,,,LOCAL,,,,,
,STATE HIGHWAY AGENCY ,COUNTY ,"TOWN, TOWNSHIP, MUNICIPAL (1)",OTHER JURIS- DICTIONS (2),FEDERAL AGENCY (3),TOTAL,STATE HIGHWAY AGENCY ,COUNTY ,"TOWN, TOWNSHIP, MUNICIPAL (1)",OTHER JURIS- DICTIONS (2),FEDERAL AGENCY (3),TOTAL,STATE HIGHWAY AGENCY ,COUNTY ,"TOWN, TOWNSHIP, MUNICIPAL (1)",OTHER JURIS- DICTIONS (2),FEDERAL AGENCY (3),TOTAL,STATE HIGHWAY AGENCY ,COUNTY ,"TOWN, TOWNSHIP, MUNICIPAL (1)",OTHER JURIS- DICTIONS (2),FEDERAL AGENCY (3),TOTAL
Alabama,846 ,248 ,"1,229 ",-,23 ,"2,345 ",79 ,984 ,"2,551 ",-,8 ,"3,622 ",-,121 ,65 ,-,-,186 ,0 ,690 ,"16,982 ",0 ,651 ,"18,324 "
Alaska,156 ,34 ,12 ,-,0 ,203 ,167 ,60 ,25 ,0 ,-,252 ,100 ,108 ,27 ,1 ,-,236 ,73 ,"1,509 ",266 ,6 ,73 ,"1,927 "
Arizona,203 ,454 ,"1,961 ",1 ,15 ,"2,635 ",70 ,503 ,"1,296 ",11 ,63 ,"1,943 ",2 ,100 ,105 ,2 ,7 ,216 ,207 ,"3,095 ","16,403 ",362 ,153 ,"20,219 "
Arkansas,871 ,134 ,825 ,-,-,"1,830 ",382 ,442 ,"1,350 ",-,-,"2,175 ",7 ,139 ,96 ,-,-,242 ,69 ,683 ,"10,597 ",-,493 ,"11,842 "
California,543 ,"1,412 ","9,186 ",-,3 ,"11,144 ",55 ,"3,170 ","9,770 ",-,29 ,"13,024 ",1 ,309 ,70 ,-,5 ,385 ,-,"16,279 ","58,131 ",143 ,981 ,"75,535 "
Colorado,228 ,339 ,"1,241 ",0 ,-,"1,808 ",77 ,484 ,"1,286 ",3 ,6 ,"1,856 ",0 ,26 ,35 ,-,5 ,67 ,-,"3,833 ","11,171 ",16 ,22 ,"15,042 "
Connecticut,942 ,-,731 ,1 ,-,"1,673 ",367 ,-,"1,446 ",0 ,-,"1,814 ",10 ,-,300 ,-,-,311 ,13 ,-,"10,620 ",70 ,57 ,"10,760 "
Delaware,202 ,-,2 ,-,-,204 ,359 ,-,7 ,-,-,366 ,50 ,-,4 ,-,-,54 ,"1,681 ",-,746 ,37 ,50 ,"2,515 "
Dist. of Columbia,155 ,-,-,-,8 ,164 ,150 ,-,-,0 ,5 ,156 ,-,-,-,-,-,-,948 ,-,-,31 ,74 ,"1,053 "
Florida,"1,500 ","1,709 ",991 ,-,-,"4,200 ",160 ,"3,666 ","2,621 ",-,-,"6,447 ",4 ,"1,134 ",731 ,-,-,"1,869 ",2 ,"37,126 ","30,736 ",5 ,459 ,"68,329 "
Georgia,"2,075 ","1,748 ","1,130 ",-,10 ,"4,963 ",372 ,"2,071 ","1,277 ",4 ,0 ,"3,724 ",1 ,609 ,75 ,-,-,685 ,21 ,"24,541 ","13,177 ",27 ,27 ,"37,793 "
Hawaii,82 ,110 ,-,-,-,192 ,30 ,232 ,-,-,-,262 ,13 ,175 ,-,-,-,188 ,8 ,"1,746 ",-,21 ,17 ,"1,791 "
Idaho,47 ,66 ,434 ,127 ,-,674 ,16 ,57 ,528 ,136 ,-,736 ,-,3 ,3 ,1 ,-,7 ,0 ,228 ,"3,153 ",570 ,2 ,"3,953 "
Illinois,"1,314 ","1,294 ","1,887 ",8 ,1 ,"4,503 ",379 ,853 ,"4,128 ",19 ,1 ,"5,380 ",9 ,60 ,303 ,0 ,-,372 ,239 ,182 ,"34,607 ",145 ,27 ,"35,199 "
Indiana,476 ,987 ,"1,714 ",-,-,"3,177 ",174 ,"1,420 ","1,723 ",0 ,-,"3,317 ",-,171 ,212 ,-,-,383 ,49 ,"8,520 ","12,272 ",13 ,140 ,"20,993 "
Iowa,46 ,280 ,"1,327 ",5 ,0 ,"1,658 ",1 ,351 ,939 ,6 ,-,"1,297 ",-,-,-,-,-,-,-,988 ,"7,247 ",176 ,25 ,"8,436 "
Kansas,142 ,206 ,"1,010 ",-,-,"1,358 ",30 ,622 ,"1,105 ",-,-,"1,757 ",-,112 ,261 ,-,-,372 ,-,"1,095 ","8,533 ",-,-,"9,627 "
Kentucky,"1,166 ",55 ,173 ,1 ,-,"1,395 ",682 ,196 ,408 ,2 ,-,"1,289 ",167 ,7 ,16 ,-,-,190 ,205 ,"2,600 ","8,204 ",74 ,159 ,"11,243 "
Louisiana,"1,232 ",220 ,506 ,1 ,-,"1,959 ",785 ,448 ,928 ,1 ,-,"2,162 ",212 ,2 ,1 ,-,-,215 ,56 ,"4,039 ","7,622 ",-,7 ,"11,724 "
Maine,235 ,-,0 ,-,-,236 ,518 ,-,0 ,0 ,-,519 ,18 ,-,-,-,-,18 ,0 ,-,"1,983 ",25 ,2 ,"2,010 "
Maryland,622 ,624 ,295 ,4 ,6 ,"1,551 ",268 ,"1,304 ",371 ,14 ,5 ,"1,961 ",24 ,88 ,8 ,-,-,121 ,131 ,"9,758 ","3,098 ",60 ,70 ,"13,117 "
Massachusetts,622 ,-,"3,339 ",69 ,3 ,"4,032 ",35 ,-,"3,028 ",16 ,-,"3,078 ",-,-,-,-,-,-,39 ,-,"19,784 ",232 ,76 ,"20,132 "
Michigan,570 ,"2,668 ","1,714 ",-,-,"4,952 ",20 ,"2,138 ","1,745 ",2 ,-,"3,905 ",-,75 ,19 ,-,-,93 ,9 ,"11,141 ","14,460 ",-,-,"25,610 "
Minnesota,354 ,"1,681 ",661 ,0 ,-,"2,697 ",30 ,775 ,"1,629 ",0 ,-,"2,434 ",-,87 ,11 ,-,-,98 ,4 ,283 ,"15,296 ",39 ,1 ,"15,624 "
Mississippi,219 ,150 ,663 ,-,49 ,"1,080 ",92 ,373 ,"1,100 ",-,2 ,"1,566 ",-,7 ,3 ,0 ,-,10 ,48 ,"2,154 ","6,710 ",13 ,9 ,"8,935 "
Missouri,597 ,255 ,"1,308 ",1 ,-,"2,161 ",523 ,463 ,"1,475 ",0 ,1 ,"2,462 ",22 ,32 ,39 ,-,-,93 ,308 ,"2,852 ","14,502 ",28 ,59 ,"17,748 "
Montana,132 ,-,158 ,-,-,290 ,39 ,-,365 ,-,-,404 ,2 ,-,53 ,-,-,54 ,25 ,-,"3,061 ",-,-,"3,086 "
Nebraska,27 ,123 ,641 ,-,-,791 ,1 ,116 ,436 ,-,-,553 ,-,7 ,1 ,-,-,9 ,-,485 ,"4,642 ",7 ,71 ,"5,204 "
Nevada,193 ,292 ,393 ,10 ,-,887 ,29 ,11 ,1 ,7 ,3 ,50 ,70 ,446 ,572 ,33 ,22 ,"1,143 ",7 ,"2,576 ","4,410 ",-,1 ,"6,995 "
New Hampshire,221 ,-,264 ,5 ,-,490 ,210 ,-,325 ,1 ,-,536 ,-,-,-,-,-,-,50 ,-,"3,599 ",2 ,-,"3,651 "
New Jersey,286 ,"2,596 ",768 ,1 ,-,"3,651 ",13 ,"1,348 ","1,563 ",0 ,-,"2,925 ",-,93 ,312 ,1 ,-,405 ,13 ,509 ,"23,029 ",73 ,134 ,"23,756 "
New Mexico,171 ,23 ,539 ,-,1 ,734 ,119 ,83 ,643 ,-,2 ,847 ,65 ,47 ,191 ,-,1 ,305 ,6 ,"3,459 ","2,155 ",-,2 ,"5,622 "
