STATE,INTERSTATE ,,,OTHER  FREEWAYS  AND  EXPRESSWAYS ,,,,,,OTHER  PRINCIPAL  ARTERIAL ,,,,,,MINOR  ARTERIAL ,,,,,
,STATE HIGHWAY AGENCY ,OTHER,TOTAL,STATE HIGHWAY AGENCY ,COUNTY ,"TOWN, TOWNSHIP, MUNICIPAL (2)",OTHER JURIS- DICTIONS (3),FEDERAL AGENCY (4),TOTAL,STATE HIGHWAY AGENCY ,COUNTY ,"TOWN, TOWNSHIP, MUNICIPAL (2)",OTHER JURIS- DICTIONS (3),FEDERAL AGENCY (4),TOTAL,STATE HIGHWAY AGENCY ,COUNTY ,"TOWN, TOWNSHIP, MUNICIPAL (2)",OTHER JURIS- DICTIONS (3),FEDERAL AGENCY (4),TOTAL
Alabama,919 ,-,919 ,-,-,-,-,-,-,"3,271 ",1 ,3 ,-,-,"3,275 ","6,064 ",290 ,107 ,-,-,"6,462 "
Alaska,"1,613 ",-,"1,613 ",-,-,-,-,-,-,"1,290 ",-,-,-,-,"1,290 ",689 ,5 ,-,-,-,694 
Arizona,"1,475 ",-,"1,475 ",28 ,-,-,-,-,28 ,"1,900 ",26 ,12 ,-,9 ,"1,948 ","1,798 ",159 ,57 ,-,52 ,"2,067 "
Arkansas,659 ,-,659 ,137 ,-,-,-,-,137 ,"3,052 ",-,-,-,-,"3,052 ","4,852 ",84 ,5 ,-,-,"4,941 "
California,"1,946 ",-,"1,946 ",652 ,4 ,0 ,-,-,656 ,"5,014 ",255 ,20 ,-,-,"5,289 ","7,917 ","1,701 ",128 ,-,2 ,"9,748 "
Colorado,"1,043 ",-,"1,043 ",45 ,-,-,-,-,45 ,"4,131 ",2 ,1 ,-,-,"4,134 ","4,552 ",890 ,26 ,32 ,69 ,"5,569 "
Connecticut,46 ,-,46 ,57 ,-,-,-,-,57 ,190 ,-,1 ,-,-,191 ,353 ,-,3 ,-,-,356 
Delaware,-,-,-,40 ,-,-,-,-,40 ,195 ,-,-,-,-,195 ,169 ,-,0 ,-,-,169 
Dist. of Columbia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Florida,"1,154 ",-,"1,154 ",278 ,-,-,-,-,278 ,"4,163 ",53 ,-,-,-,"4,215 ","2,834 ",676 ,15 ,-,-,"3,526 "
